,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
18,18,2015,2015-09-20,2,2,24.176,OAK,,BAL,W 37-33,*,30,46,65.22,351,3,1,100.9,1,0,7.63,7.96,2,23,11.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,,Derek Carr,CarrDe02
19,19,2015,2015-09-27,3,3,24.183,OAK,@,CLE,W 27-20,*,20,32,62.50,314,2,0,115.9,0,0,9.81,11.06,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,,Derek Carr,CarrDe02
20,20,2015,2015-10-04,4,4,24.190,OAK,@,CHI,L 20-22,*,20,33,60.61,196,2,1,84.9,2,23,5.94,5.79,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,-9,0,58,100%,0,0%,0,0%,,Derek Carr,CarrDe02
21,21,2015,2015-10-11,5,5,24.197,OAK,,DEN,L 10-16,*,26,39,66.67,249,1,1,82.1,4,26,6.38,5.74,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,70,100%,0,0%,0,0%,,Derek Carr,CarrDe02
22,22,2015,2015-10-25,6,7,24.211,OAK,@,SDG,W 37-29,*,24,31,77.42,289,3,0,137.7,1,7,9.32,11.26,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Derek Carr,CarrDe02
23,23,2015,2015-11-01,7,8,24.218,OAK,,NYJ,W 34-20,*,23,36,63.89,333,4,0,130.9,0,0,9.25,11.47,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Derek Carr,CarrDe02
24,24,2015,2015-11-08,8,9,24.225,OAK,@,PIT,L 35-38,*,24,44,54.55,301,4,1,96.9,0,0,6.84,7.64,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Derek Carr,CarrDe02
25,25,2015,2015-11-15,9,10,24.232,OAK,,MIN,L 14-30,*,29,43,67.44,302,2,2,83.7,2,15,7.02,5.86,2,12,6.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,,Derek Carr,CarrDe02
26,26,2015,2015-11-22,10,11,24.239,OAK,@,DET,L 13-18,*,13,25,52.00,169,0,0,73.6,1,5,6.76,6.76,1,8,8.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,51,100%,0,0%,0,0%,,Derek Carr,CarrDe02
27,27,2015,2015-11-29,11,12,24.246,OAK,@,TEN,W 24-21,*,24,37,64.86,330,3,0,120.3,1,7,8.92,10.54,4,5,1.25,0,0,0,0,,0,0.0%,,0,0,2,1,0,1,-4,0,70,99%,0,0%,0,0%,,Derek Carr,CarrDe02
