,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 48_level_0,qb,qb_tag
18,18,2000,2000-09-10,2,2,23.041,CLE,@,CIN,W 24-7,*,19,31,61.29,259,2,1,96.0,1,10,8.35,8.19,4,7,1.75,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,0,0,0,,Tim Couch,CoucTi00
19,19,2000,2000-09-17,3,3,23.048,CLE,,PIT,W 23-20,*,23,31,74.19,316,2,0,127.9,0,0,10.19,11.48,1,3,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
20,20,2000,2000-09-24,4,4,23.055,CLE,@,OAK,L 10-36,*,16,29,55.17,141,1,2,51.1,2,12,4.86,2.45,3,3,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,0,-8,0,,Tim Couch,CoucTi00
21,21,2000,2000-10-01,5,5,23.062,CLE,,BAL,L 0-12,*,20,35,57.14,203,0,3,38.2,0,0,5.80,1.94,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
22,22,2000,2000-10-08,6,6,23.069,CLE,@,ARI,L 21-29,*,16,22,72.73,138,0,0,88.8,1,2,6.27,6.27,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
23,23,2000,2000-10-15,7,7,23.076,CLE,@,DEN,L 10-44,*,24,40,60.00,266,1,3,56.9,5,47,6.65,3.78,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,Tim Couch,CoucTi00
24,24,2000,2000-10-22,8,8,,CLE,@,PIT,L 0-22,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Tim Couch,CoucTi00
25,25,2000,2000-10-29,9,9,,CLE,,CIN,L 3-12,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Tim Couch,CoucTi00
26,26,2000,2000-11-05,10,10,,CLE,,NYG,L 3-24,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Tim Couch,CoucTi00
27,27,2000,2000-11-12,11,11,,CLE,,NWE,W 19-11,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Tim Couch,CoucTi00
28,28,2000,2000-11-19,12,12,,CLE,@,TEN,L 10-24,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Tim Couch,CoucTi00
29,29,2000,2000-11-26,13,13,,CLE,@,BAL,L 7-44,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Tim Couch,CoucTi00
