,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 48_level_0,qb,qb_tag
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Tim Couch,CoucTi00
68,65,2003,2003-09-07,1,1,,CLE,,IND,L 6-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tim Couch,CoucTi00
69,66,2003,2003-09-14,2,2,,CLE,@,BAL,L 13-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tim Couch,CoucTi00
70,67,2003,2003-09-21,3,3,,CLE,@,SFO,W 13-12,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tim Couch,CoucTi00
71,68,2003,2003-09-28,4,4,26.059,CLE,,CIN,L 14-21,*,23,36,63.89,280,2,1,94.7,2,10,7.78,7.64,2,3,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,2,0,0,2,-3,0,,Tim Couch,CoucTi00
72,69,2003,2003-10-05,5,5,26.066,CLE,@,PIT,W 33-13,*,20,25,80.00,208,2,1,111.3,1,8,8.32,8.12,4,11,2.75,1,0,0,0,,0,0.0%,,,1,6,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
73,70,2003,2003-10-12,6,6,26.073,CLE,,OAK,W 13-7,*,16,26,61.54,127,0,0,73.7,2,14,4.88,4.88,2,1,0.50,0,1,1,-3,-3.00,0,100.0%,-3.00,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
74,71,2003,2003-10-19,7,7,26.080,CLE,,SDG,L 20-26,*,13,24,54.17,102,0,2,30.2,3,16,4.25,0.50,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
75,72,2003,2003-10-26,8,8,26.087,CLE,@,NWE,L 3-9,*,7,11,63.64,40,0,0,70.3,1,13,3.64,3.64,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
76,73,2003,2003-11-09,9,10,,CLE,@,KAN,L 20-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tim Couch,CoucTi00
77,74,2003,2003-11-16,10,11,,CLE,,ARI,W 44-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tim Couch,CoucTi00
78,75,2003,2003-11-23,11,12,,CLE,,PIT,L 6-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tim Couch,CoucTi00
79,76,2003,2003-11-30,12,13,26.122,CLE,@,SEA,L 7-34,,1,3,33.33,5,0,0,42.4,,,1.67,1.67,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
80,77,2003,2003-12-08,13,14,26.130,CLE,,STL,L 20-26,,6,9,66.67,98,1,0,140.0,3,17,10.89,13.11,1,8,8.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,2,1,0,0,0,0,,Tim Couch,CoucTi00
81,78,2003,2003-12-14,14,15,26.136,CLE,@,DEN,L 20-23,*,8,18,44.44,181,2,1,94.9,2,8,10.06,9.78,1,17,17.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
82,79,2003,2003-12-21,15,16,26.143,CLE,,BAL,L 0-35,*,17,33,51.52,163,0,1,53.0,5,30,4.94,3.58,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,2,2,0,0,0,0,,Tim Couch,CoucTi00
83,80,2003,2003-12-28,16,17,26.150,CLE,@,CIN,W 22-14,*,9,18,50.00,115,0,0,70.4,,,6.39,6.39,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
84,,,62 Games,,,,,,,22-40-0,,1025,1714,59.80,11131,64,67,75.1,166,1119,6.49,5.48,124,556,4.48,2,2,2,-13,-6.50,0,100.0%,-6.50,1,2,14,0.0,0,1,1,0,,37,11,0,13,-37,0,,Tim Couch,CoucTi00
