,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Punting,Punting,Punting,Punting,Unnamed: 46_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,,
20,20,1986,1986-12-07,14,14,23.255,PHI,,STL,T 10-10,*,11,20,55.00,147,0,0,78.5,10,95,7.35,7.35,4,25,6.25,1,,0,0,,0,,,,1,6,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
21,21,1986,1986-12-21,16,16,23.269,PHI,,WAS,L 14-21,*,12,24,50.00,153,0,0,70.3,5,41,6.38,6.38,6,33,5.50,1,,0,0,,0,,,,1,6,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
22,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Randall Cunningham,CunnRa00
23,22,1987,1987-09-13,1,1,24.170,PHI,@,WAS,L 24-34,*,21,36,58.33,269,1,2,67.9,4,30,7.47,5.53,7,39,5.57,1,,0,0,,0,,,,1,6,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
24,23,1987,1987-09-20,2,2,24.177,PHI,,NOR,W 27-17,*,19,34,55.88,195,2,1,79.9,3,20,5.74,5.59,8,32,4.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
25,24,1987,1987-10-25,6,7,24.212,PHI,,DAL,W 37-20,*,10,24,41.67,127,2,0,86.6,4,31,5.29,6.96,8,39,4.88,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
26,25,1987,1987-11-01,7,8,24.219,PHI,@,STL,W 28-23,*,17,32,53.13,291,3,1,102.5,3,18,9.09,9.56,5,20,4.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
27,26,1987,1987-11-08,8,9,24.226,PHI,,WAS,W 31-27,*,18,31,58.06,268,3,3,79.2,4,36,8.65,6.23,7,80,11.43,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
28,27,1987,1987-11-15,9,10,24.233,PHI,,NYG,L 17-20,*,17,34,50.00,177,1,1,63.0,6,31,5.21,4.47,10,71,7.10,1,,1,-3,-3.00,0,,,,1,6,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
29,28,1987,1987-11-22,10,11,24.240,PHI,,STL,L 19-31,*,26,51,50.98,272,2,2,63.5,6,32,5.33,4.35,4,43,10.75,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
