,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 32_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Fmb,FL,FF,FR,Yds,TD,Status,,
11,11,1991,1991-11-10,10,11,24.175,SDG,,SEA,W 17-14,*,17,25,68.00,229,0,0,96.9,3,16,9.16,9.16,0,0,,0,0,,0,0,0,0,,John Friesz,FrieJo00
12,12,1991,1991-11-17,11,12,24.182,SDG,,NOR,W 24-21,*,16,30,53.33,175,0,1,56.9,2,16,5.83,4.33,1,5,5.00,0,0,,0,0,0,0,,John Friesz,FrieJo00
13,13,1991,1991-11-24,12,13,24.189,SDG,@,NYJ,L 3-24,*,7,9,77.78,61,0,1,55.3,1,10,6.78,1.78,1,-1,-1.00,0,0,,0,0,0,0,,John Friesz,FrieJo00
14,14,1991,1991-12-01,13,14,24.196,SDG,,RAI,L 7-9,*,12,27,44.44,150,0,1,46.8,3,26,5.56,3.89,0,0,,0,0,,0,0,0,0,,John Friesz,FrieJo00
15,15,1991,1991-12-08,14,15,24.203,SDG,@,KAN,L 17-20,*,19,37,51.35,208,1,1,66.0,0,0,5.62,4.95,1,0,0.00,0,1,,0,0,0,0,,John Friesz,FrieJo00
16,16,1991,1991-12-15,15,16,24.210,SDG,,MIA,W 38-30,*,17,25,68.00,185,2,0,116.2,2,15,7.40,9.00,0,0,,0,2,,0,0,0,0,,John Friesz,FrieJo00
17,17,1991,1991-12-22,16,17,24.217,SDG,,DEN,L 14-17,*,12,34,35.29,123,1,3,19.6,3,16,3.62,0.24,1,4,4.00,0,0,,0,0,0,0,,John Friesz,FrieJo00
18,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Fmb,FL,FF,FR,Yds,TD,Status,John Friesz,FrieJo00
19,18,1993,1993-09-05,1,1,,SDG,,SEA,W 18-12,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,John Friesz,FrieJo00
20,19,1993,1993-09-12,2,2,26.116,SDG,@,DEN,L 17-34,,3,6,50.00,40,0,0,71.5,0,0,6.67,6.67,0,0,,0,0,,0,0,0,0,,John Friesz,FrieJo00
21,20,1993,1993-09-19,3,3,26.123,SDG,,HOU,W 18-17,,8,15,53.33,110,0,0,77.1,0,0,7.33,7.33,0,0,,0,0,,0,0,0,0,,John Friesz,FrieJo00
22,21,1993,1993-10-03,4,5,26.137,SDG,@,SEA,L 14-31,,9,14,64.29,103,1,0,110.1,1,7,7.36,8.79,0,0,,0,0,,0,0,0,0,,John Friesz,FrieJo00
23,22,1993,1993-10-10,5,6,26.144,SDG,@,PIT,L 3-16,*,15,26,57.69,107,0,1,51.3,0,0,4.12,2.38,2,4,2.00,0,0,,0,0,0,0,,John Friesz,FrieJo00
24,23,1993,1993-10-17,6,7,26.151,SDG,,KAN,L 14-17,*,18,35,51.43,218,1,1,68.5,3,28,6.23,5.51,1,0,0.00,0,1,,0,0,-3,0,,John Friesz,FrieJo00
25,24,1993,1993-10-31,7,9,26.165,SDG,@,RAI,W 30-23,*,13,25,52.00,162,1,0,85.7,1,3,6.48,7.28,2,0,0.00,0,0,,0,0,0,0,,John Friesz,FrieJo00
26,25,1993,1993-11-07,8,10,26.172,SDG,@,MIN,W 30-17,*,20,32,62.50,268,2,0,109.9,1,5,8.38,9.63,1,-1,-1.00,0,0,,0,0,0,0,,John Friesz,FrieJo00
27,26,1993,1993-11-14,9,11,26.179,SDG,,CHI,L 13-16,*,19,37,51.35,184,0,0,65.6,3,32,4.97,4.97,1,1,1.00,0,0,,0,0,0,0,,John Friesz,FrieJo00
28,27,1993,1993-11-21,10,12,26.186,SDG,,RAI,L 7-12,*,3,8,37.50,38,0,0,53.1,2,8,4.75,4.75,2,0,0.00,0,1,,0,1,0,0,,John Friesz,FrieJo00
