,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Unnamed: 28_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Punting,Punting,Punting,Punting,Unnamed: 44_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,,
66,64,2006,2006-12-31,16,17,,BAL,,BUF,W 19-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Kyle Boller,BollKy00
68,65,2007,2007-09-10,1,1,26.085,BAL,@,CIN,L 20-27,,2,6,33.33,19,0,1,3.5,0,0,3.17,-4.33,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
69,66,2007,2007-09-16,2,2,26.091,BAL,,NYJ,W 20-13,*,23,35,65.71,185,2,0,97.9,0,0,5.29,6.43,3,7,2.33,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
70,67,2007,2007-09-23,3,3,26.098,BAL,,ARI,W 26-23,,8,10,80.00,83,0,0,101.2,2,7,8.30,8.30,1,2,2.00,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
71,68,2007,2007-09-30,4,4,,BAL,@,CLE,L 13-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
72,69,2007,2007-10-07,5,5,,BAL,@,SFO,W 9-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
73,70,2007,2007-10-14,6,6,26.119,BAL,,STL,W 22-3,*,18,30,60.00,184,0,1,63.8,2,13,6.13,4.63,2,6,3.00,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
74,71,2007,2007-10-21,7,7,26.126,BAL,@,BUF,L 14-19,*,21,36,58.33,191,1,0,82.1,1,10,5.31,5.86,1,7,7.00,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
75,72,2007,2007-11-05,8,9,26.141,BAL,@,PIT,L 7-38,,3,9,33.33,21,0,0,42.4,1,7,2.33,2.33,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
76,73,2007,2007-11-11,9,10,26.147,BAL,,CIN,L 7-21,,6,8,75.00,89,0,1,71.4,0,0,11.13,5.50,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
77,74,2007,2007-11-18,10,11,26.154,BAL,,CLE,L 30-33,*,22,41,53.66,279,1,2,63.0,6,39,6.80,5.10,2,19,9.50,0,0,0,0.0,,,,,,1,1,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
78,75,2007,2007-11-25,11,12,26.161,BAL,@,SDG,L 14-32,*,21,33,63.64,191,1,0,89.3,4,37,5.79,6.39,0,0,,0,0,0,0.0,,,,,,2,1,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
79,76,2007,2007-12-03,12,13,26.169,BAL,,NWE,L 24-27,*,15,23,65.22,210,2,1,105.3,0,0,9.13,8.91,1,4,4.00,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
80,77,2007,2007-12-09,13,14,26.175,BAL,,IND,L 20-44,*,19,25,76.00,132,1,3,61.2,4,20,5.28,0.68,8,33,4.13,0,0,0,0.0,,,,,,1,1,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
81,78,2007,2007-12-16,14,15,26.182,BAL,@,MIA,L 16-22,*,10,19,52.63,159,1,1,76.4,4,26,8.37,7.05,1,11,11.00,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
82,79,2007,2007-12-23,15,16,,BAL,@,SEA,L 6-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
83,80,2007,2007-12-30,16,17,,BAL,,PIT,W 27-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
84,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Kyle Boller,BollKy00
85,81,2009,2009-09-13,1,1,,STL,@,SEA,L 0-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
86,82,2009,2009-09-20,2,2,,STL,@,WAS,L 7-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
87,83,2009,2009-09-27,3,3,28.102,STL,,GNB,L 17-36,,16,31,51.61,164,2,1,75.2,0,0,5.29,5.13,4,31,7.75,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
88,84,2009,2009-10-04,4,4,28.109,STL,@,SFO,L 0-35,*,13,24,54.17,108,0,1,48.6,5,26,4.50,2.63,2,5,2.50,0,0,0,0.0,0,0,0,,,1,1,0,0,-9,0,0,0,,0,,Kyle Boller,BollKy00
89,85,2009,2009-10-11,5,5,28.116,STL,,MIN,L 10-38,*,20,31,64.52,209,0,1,70.5,2,19,6.74,5.29,3,1,0.33,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
90,86,2009,2009-10-18,6,6,,STL,@,JAX,L 20-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
91,87,2009,2009-10-25,7,7,,STL,,IND,L 6-42,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
92,88,2009,2009-11-01,8,8,,STL,@,DET,W 17-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
93,89,2009,2009-11-15,9,10,,STL,,NOR,L 23-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
94,90,2009,2009-11-22,10,11,,STL,,ARI,L 13-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
95,91,2009,2009-11-29,11,12,28.165,STL,,SEA,L 17-27,*,28,46,60.87,282,1,2,67.5,4,31,6.13,4.61,3,26,8.67,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
96,92,2009,2009-12-06,12,13,28.172,STL,@,CHI,L 9-17,*,17,32,53.13,113,0,1,48.0,3,15,3.53,2.13,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
97,93,2009,2009-12-13,13,14,,STL,@,TEN,L 7-47,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
98,94,2009,2009-12-20,14,15,,STL,,HOU,L 13-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
99,95,2009,2009-12-27,15,16,28.193,STL,@,ARI,L 10-31,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
100,96,2009,2010-01-03,16,17,28.200,STL,,SFO,L 6-28,,4,11,36.36,23,0,0,44.9,3,26,2.09,2.09,1,13,13.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
101,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Kyle Boller,BollKy00
102,97,2010,2010-09-12,1,1,,OAK,@,TEN,L 13-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
103,98,2010,2010-09-19,2,2,,OAK,,STL,W 16-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
104,99,2010,2010-09-26,3,3,,OAK,@,ARI,L 23-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
105,100,2010,2010-10-03,4,4,,OAK,,HOU,L 24-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
106,101,2010,2010-10-10,5,5,,OAK,,SDG,W 35-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
107,102,2010,2010-10-17,6,6,,OAK,@,SFO,L 9-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
108,103,2010,2010-10-24,7,7,29.129,OAK,@,DEN,W 59-14,,0,0,,0,0,0,,,,,,6,11,1.83,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
109,104,2010,2010-10-31,8,8,,OAK,,SEA,W 33-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
110,105,2010,2010-11-07,9,9,,OAK,,KAN,W 23-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
111,106,2010,2010-11-21,10,11,,OAK,@,PIT,L 3-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
112,107,2010,2010-11-28,11,12,,OAK,,MIA,L 17-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
113,108,2010,2010-12-05,12,13,29.171,OAK,@,SDG,W 28-13,,,,,,,,,0,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0,,,,Kyle Boller,BollKy00
114,109,2010,2010-12-12,13,14,29.178,OAK,@,JAX,L 31-38,,1,3,33.33,20,0,1,18.1,0,0,6.67,-8.33,1,7,7.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
115,110,2010,2010-12-19,14,15,29.185,OAK,,DEN,W 39-23,,,,,,,,,0,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0,,,,Kyle Boller,BollKy00
116,111,2010,2010-12-26,15,16,,OAK,,IND,L 26-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
117,112,2010,2011-01-02,16,17,29.199,OAK,@,KAN,W 31-10,,1,1,100.00,5,0,0,87.5,1,6,5.00,5.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
118,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Kyle Boller,BollKy00
119,113,2011,2011-09-12,1,1,,OAK,@,DEN,W 23-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
120,114,2011,2011-09-18,2,2,,OAK,@,BUF,L 35-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
121,115,2011,2011-09-25,3,3,,OAK,,NYJ,W 34-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
122,116,2011,2011-10-02,4,4,,OAK,,NWE,L 19-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
123,117,2011,2011-10-09,5,5,,OAK,@,HOU,W 25-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
124,118,2011,2011-10-16,6,6,30.121,OAK,,CLE,W 24-17,,8,14,57.14,100,0,0,79.5,2,9,7.14,7.14,5,9,1.80,0,0,0,0.0,0,0,0,0,0,2,0,0,1,-5,0,0,0,,0,,Kyle Boller,BollKy00
125,119,2011,2011-10-23,7,7,30.128,OAK,,KAN,L 0-28,*,7,14,50.00,61,0,3,22.3,1,10,4.36,-5.29,4,29,7.25,0,0,0,0.0,0,0,0,0,0,1,0,0,1,-1,0,0,0,,0,,Kyle Boller,BollKy00
126,120,2011,2011-11-06,8,9,,OAK,,DEN,L 24-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
127,121,2011,2011-11-10,9,10,,OAK,@,SDG,W 24-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
128,122,2011,2011-11-20,10,11,,OAK,@,MIN,W 27-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
129,123,2011,2011-11-27,11,12,,OAK,,CHI,W 25-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kyle Boller,BollKy00
