,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Punting,Punting,Punting,Punting,Unnamed: 46_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,,
138,131,1991,1991-12-15,15,16,31.170,DEN,,PHO,W 24-19,*,19,33,57.58,245,1,3,53.2,1,2,7.42,3.94,3,13,4.33,1,,0,0,,0,,,,1,6,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
139,132,1991,1991-12-22,16,17,31.177,DEN,@,SDG,W 17-14,*,14,32,43.75,196,0,1,51.0,5,30,6.13,4.72,3,16,5.33,0,,0,0,,0,,,,0,0,1,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
140,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,John Elway,ElwaJo00
141,133,1992,1992-09-06,1,1,32.070,DEN,,RAI,W 17-13,*,10,24,41.67,171,0,1,49.1,4,18,7.13,5.25,5,16,3.20,0,,0,0,,0,0.0%,,,0,0,3,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
142,134,1992,1992-09-13,2,2,32.077,DEN,,SDG,W 21-13,*,14,24,58.33,186,2,1,93.4,2,24,7.75,7.54,2,16,8.00,1,,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
143,135,1992,1992-09-20,3,3,32.084,DEN,@,PHI,L 0-30,*,8,18,44.44,59,0,1,29.6,3,15,3.28,0.78,4,8,2.00,0,,0,0,,0,0.0%,,,0,0,1,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
144,136,1992,1992-09-27,4,4,32.091,DEN,@,CLE,W 12-0,*,10,17,58.82,157,0,1,65.1,5,45,9.24,6.59,8,18,2.25,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
145,137,1992,1992-10-04,5,5,32.098,DEN,,KAN,W 20-19,*,23,38,60.53,311,2,0,104.2,5,32,8.18,9.24,4,8,2.00,0,,0,0,,0,0.0%,,,0,0,3,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
146,138,1992,1992-10-12,6,6,32.106,DEN,@,WAS,L 3-34,*,15,32,46.88,128,0,2,31.8,5,36,4.00,1.19,1,2,2.00,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
147,139,1992,1992-10-18,7,7,32.112,DEN,,HOU,W 27-21,*,13,21,61.90,192,1,0,107.6,4,40,9.14,10.10,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
148,140,1992,1992-10-25,8,8,32.119,DEN,@,SDG,L 21-24,*,21,39,53.85,260,2,3,59.8,0,0,6.67,4.23,3,12,4.00,1,,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
149,141,1992,1992-11-08,9,10,32.133,DEN,,NYJ,W 27-16,*,18,33,54.55,261,1,2,65.3,0,0,7.91,5.79,4,-2,-0.50,0,,0,0,,0,0.0%,,,0,0,1,,0,1,0,0,0,0,,0,,John Elway,ElwaJo00
150,142,1992,1992-11-15,10,11,32.140,DEN,,NYG,W 27-13,*,6,9,66.67,96,1,1,99.5,0,0,10.67,7.89,1,9,9.00,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
