,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 40_level_0,qb,qb_tag
13,14,2005,2005-12-18,14,15,,WAS,,DAL,W 35-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jason Campbell,CampJa00
14,15,2005,2005-12-24,15,16,,WAS,,NYG,W 35-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jason Campbell,CampJa00
15,16,2005,2006-01-01,16,17,,WAS,@,PHI,W 31-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jason Campbell,CampJa00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Jason Campbell,CampJa00
17,17,2006,2006-09-11,1,1,,WAS,,MIN,L 16-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jason Campbell,CampJa00
18,18,2006,2006-09-17,2,2,,WAS,@,DAL,L 10-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jason Campbell,CampJa00
19,19,2006,2006-09-24,3,3,,WAS,@,HOU,W 31-15,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jason Campbell,CampJa00
20,20,2006,2006-10-01,4,4,,WAS,,JAX,W 36-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jason Campbell,CampJa00
21,21,2006,2006-10-08,5,5,,WAS,@,NYG,L 3-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jason Campbell,CampJa00
22,22,2006,2006-10-15,6,6,,WAS,,TEN,L 22-25,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jason Campbell,CampJa00
23,23,2006,2006-10-22,7,7,,WAS,@,IND,L 22-36,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jason Campbell,CampJa00
24,24,2006,2006-11-05,8,9,,WAS,,DAL,W 22-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jason Campbell,CampJa00
25,25,2006,2006-11-12,9,10,,WAS,@,PHI,L 3-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jason Campbell,CampJa00
26,26,2006,2006-11-19,10,11,24.323,WAS,@,TAM,L 17-20,*,19,34,55.88,196,2,0,92.3,1,3,5.76,6.94,6,6,1.00,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
27,27,2006,2006-11-26,11,12,24.330,WAS,,CAR,W 17-13,*,11,23,47.83,118,2,1,74.2,1,8,5.13,4.91,4,7,1.75,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
28,28,2006,2006-12-03,12,13,24.337,WAS,,ATL,L 14-24,*,18,38,47.37,217,1,2,52.2,1,13,5.71,3.87,2,15,7.50,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
29,29,2006,2006-12-10,13,14,24.344,WAS,,PHI,L 19-21,*,15,27,55.56,182,1,2,57.9,2,17,6.74,4.15,4,38,9.50,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
30,30,2006,2006-12-17,14,15,24.351,WAS,@,NOR,W 16-10,*,13,28,46.43,204,1,0,83.0,1,11,7.29,8.00,4,4,1.00,0,0,0,1,0,0,1,0,0,,,,,,,,Jason Campbell,CampJa00
31,31,2006,2006-12-24,15,16,24.358,WAS,@,STL,L 31-37,*,13,26,50.00,160,1,0,82.2,0,0,6.15,6.92,1,7,7.00,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
32,32,2006,2006-12-30,16,17,24.364,WAS,,NYG,L 28-34,*,21,31,67.74,220,2,1,96.2,1,3,7.10,6.94,3,30,10.00,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Jason Campbell,CampJa00
34,33,2007,2007-09-09,1,1,25.252,WAS,,MIA,W 16-13,*,12,21,57.14,222,0,2,54.2,2,13,10.57,6.29,4,29,7.25,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
35,34,2007,2007-09-17,2,2,25.260,WAS,@,PHI,W 20-12,*,16,29,55.17,209,1,1,75.2,1,2,7.21,6.34,6,39,6.50,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
36,35,2007,2007-09-23,3,3,25.266,WAS,,NYG,L 17-24,*,16,34,47.06,190,1,0,74.4,2,12,5.59,6.18,4,12,3.00,0,0,0,3,1,0,1,-3,0,,,,,,,,Jason Campbell,CampJa00
37,36,2007,2007-10-07,4,5,25.280,WAS,,DET,W 34-3,*,23,29,79.31,248,2,0,125.3,0,0,8.55,9.93,2,0,0.00,0,0,0,1,0,0,1,-1,0,,,,,,,,Jason Campbell,CampJa00
38,37,2007,2007-10-14,5,6,25.287,WAS,@,GNB,L 14-17,*,21,37,56.76,217,1,1,71.6,3,7,5.86,5.19,2,6,3.00,1,1,6,1,0,0,1,-5,0,,,,,,,,Jason Campbell,CampJa00
39,38,2007,2007-10-21,6,7,25.294,WAS,,ARI,W 21-19,*,12,18,66.67,95,0,1,56.5,1,8,5.28,2.78,2,7,3.50,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
40,39,2007,2007-10-28,7,8,25.301,WAS,@,NWE,L 7-52,*,21,36,58.33,197,1,1,71.2,3,20,5.47,4.78,1,7,7.00,0,0,0,3,3,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
41,40,2007,2007-11-04,8,9,25.308,WAS,@,NYJ,W 23-20,*,12,23,52.17,142,0,1,53.2,1,7,6.17,4.22,2,31,15.50,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
42,41,2007,2007-11-11,9,10,25.315,WAS,,PHI,L 25-33,*,23,34,67.65,215,3,0,114.2,1,12,6.32,8.09,4,16,4.00,0,0,0,1,1,0,1,0,0,,,,,,,,Jason Campbell,CampJa00
43,42,2007,2007-11-18,10,11,25.322,WAS,@,DAL,L 23-28,*,33,54,61.11,348,2,1,84.5,1,6,6.44,6.35,2,18,9.00,0,0,0,1,1,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
44,43,2007,2007-11-25,11,12,25.329,WAS,@,TAM,L 13-19,*,30,49,61.22,301,1,2,68.5,2,9,6.14,4.71,2,4,2.00,0,0,0,1,1,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
45,44,2007,2007-12-02,12,13,25.336,WAS,,BUF,L 16-17,*,21,37,56.76,216,0,1,62.4,4,14,5.84,4.62,3,18,6.00,0,0,0,1,1,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
46,45,2007,2007-12-06,13,14,25.340,WAS,,CHI,W 24-16,*,10,16,62.50,100,0,0,80.2,0,0,6.25,6.25,2,-2,-1.00,0,0,0,1,0,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
47,46,2007,2007-12-16,14,15,,WAS,@,NYG,W 22-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jason Campbell,CampJa00
48,47,2007,2007-12-23,15,16,,WAS,@,MIN,W 32-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jason Campbell,CampJa00
49,48,2007,2007-12-30,16,17,,WAS,,DAL,W 27-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jason Campbell,CampJa00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Jason Campbell,CampJa00
51,49,2008,2008-09-04,1,1,26.248,WAS,@,NYG,L 7-16,*,15,27,55.56,133,1,0,81.2,1,8,4.93,5.67,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
52,50,2008,2008-09-14,2,2,26.258,WAS,,NOR,W 29-24,*,24,36,66.67,321,1,0,104.1,2,15,8.92,9.47,3,1,0.33,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
53,51,2008,2008-09-21,3,3,26.265,WAS,,ARI,W 24-17,*,22,30,73.33,193,2,0,112.2,2,17,6.43,7.77,4,26,6.50,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
54,52,2008,2008-09-28,4,4,26.272,WAS,@,DAL,W 26-24,*,20,31,64.52,231,2,0,108.4,2,11,7.45,8.74,4,3,0.75,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
55,53,2008,2008-10-05,5,5,26.279,WAS,@,PHI,W 23-17,*,16,29,55.17,176,0,0,73.3,1,9,6.07,6.07,6,14,2.33,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
56,54,2008,2008-10-12,6,6,26.286,WAS,,STL,L 17-19,*,18,26,69.23,208,0,0,93.1,4,21,8.00,8.00,2,19,9.50,0,0,0,1,0,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
57,55,2008,2008-10-19,7,7,26.293,WAS,,CLE,W 14-11,*,14,23,60.87,164,1,0,97.0,1,6,7.13,8.00,2,1,0.50,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
58,56,2008,2008-10-26,8,8,26.300,WAS,@,DET,W 25-17,*,23,28,82.14,328,1,0,127.4,3,24,11.71,12.43,3,-2,-0.67,0,0,0,2,1,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
59,57,2008,2008-11-03,9,9,26.308,WAS,,PIT,L 6-23,*,24,43,55.81,206,0,2,49.2,7,45,4.79,2.70,1,5,5.00,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
60,58,2008,2008-11-16,10,11,26.321,WAS,,DAL,L 10-14,*,22,34,64.71,162,1,1,73.4,3,26,4.76,4.03,1,22,22.00,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
61,59,2008,2008-11-23,11,12,26.328,WAS,@,SEA,W 20-17,*,20,33,60.61,206,1,0,88.7,2,7,6.24,6.85,6,32,5.33,0,0,0,1,0,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
62,60,2008,2008-11-30,12,13,26.335,WAS,,NYG,L 7-23,*,23,38,60.53,232,0,1,67.0,4,21,6.11,4.92,5,38,7.60,0,0,0,1,0,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
63,61,2008,2008-12-07,13,14,26.342,WAS,@,BAL,L 10-24,*,21,37,56.76,218,1,2,60.4,2,26,5.89,4.00,2,11,5.50,0,0,0,1,0,0,1,0,0,,,,,,,,Jason Campbell,CampJa00
64,62,2008,2008-12-14,14,15,26.349,WAS,@,CIN,L 13-20,*,17,28,60.71,167,1,0,89.4,0,0,5.96,6.68,2,21,10.50,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
65,63,2008,2008-12-21,15,16,26.356,WAS,,PHI,W 10-3,*,18,33,54.55,144,0,0,65.7,3,17,4.36,4.36,2,28,14.00,0,0,0,1,0,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
66,64,2008,2008-12-28,16,17,26.363,WAS,@,SFO,L 24-27,*,18,30,60.00,156,1,0,84.9,1,13,5.20,5.87,4,39,9.75,1,1,6,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Jason Campbell,CampJa00
68,65,2009,2009-09-13,1,1,27.256,WAS,@,NYG,L 17-23,*,19,26,73.08,211,1,1,93.6,2,13,8.12,7.15,1,16,16.00,0,0,0,2,1,0,1,0,0,,,,,,,,Jason Campbell,CampJa00
69,66,2009,2009-09-20,2,2,27.263,WAS,,STL,W 9-7,*,23,35,65.71,242,0,0,85.7,1,5,6.91,6.91,7,28,4.00,0,0,0,1,0,0,0,-5,0,,,,,,,,Jason Campbell,CampJa00
70,67,2009,2009-09-27,3,3,27.270,WAS,@,DET,L 14-19,*,27,41,65.85,340,2,1,97.6,2,15,8.29,8.17,1,21,21.00,0,0,0,2,0,0,2,0,0,,,,,,,,Jason Campbell,CampJa00
71,68,2009,2009-10-04,4,4,27.277,WAS,,TAM,W 16-13,*,12,22,54.55,170,2,3,70.5,3,18,7.73,3.41,7,20,2.86,0,0,0,2,1,0,0,-2,0,,,,,,,,Jason Campbell,CampJa00
72,69,2009,2009-10-11,5,5,27.284,WAS,@,CAR,L 17-20,*,17,23,73.91,145,1,0,104.4,5,21,6.30,7.17,2,4,2.00,0,0,0,1,0,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
73,70,2009,2009-10-18,6,6,27.291,WAS,,KAN,L 6-14,*,9,16,56.25,89,0,1,46.1,1,6,5.56,2.75,2,6,3.00,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
74,71,2009,2009-10-26,7,7,27.299,WAS,,PHI,L 17-27,*,29,43,67.44,284,2,1,91.6,6,38,6.60,6.49,4,8,2.00,0,0,0,2,1,0,1,-6,0,,,,,,,,Jason Campbell,CampJa00
75,72,2009,2009-11-08,8,9,27.312,WAS,@,ATL,L 17-31,*,15,22,68.18,196,1,1,92.2,5,32,8.91,7.77,5,40,8.00,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
76,73,2009,2009-11-15,9,10,27.319,WAS,,DEN,W 27-17,*,17,26,65.38,193,1,0,100.3,3,14,7.42,8.19,2,15,7.50,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
77,74,2009,2009-11-22,10,11,27.326,WAS,@,DAL,L 6-7,*,24,37,64.86,256,0,1,73.7,1,10,6.92,5.70,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
78,75,2009,2009-11-29,11,12,27.333,WAS,@,PHI,L 24-27,*,22,37,59.46,231,2,2,73.1,1,10,6.24,4.89,2,2,1.00,1,1,6,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
79,76,2009,2009-12-06,12,13,27.340,WAS,,NOR,L 30-33,*,30,42,71.43,367,3,1,111.9,0,0,8.74,9.10,1,-1,-1.00,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
80,77,2009,2009-12-13,13,14,27.347,WAS,@,OAK,W 34-13,*,16,28,57.14,222,2,0,106.5,3,27,7.93,9.36,4,20,5.00,0,0,0,0,,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
81,78,2009,2009-12-21,14,15,27.355,WAS,,NYG,L 12-45,*,15,28,53.57,192,1,2,57.4,5,36,6.86,4.36,2,36,18.00,0,0,0,1,0,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
82,79,2009,2009-12-27,15,16,27.361,WAS,,DAL,L 0-17,*,24,39,61.54,199,0,1,63.9,4,34,5.10,3.95,3,13,4.33,0,0,0,1,0,0,0,0,0,,,,,,,,Jason Campbell,CampJa00
83,80,2009,2010-01-03,16,17,28.003,WAS,@,SDG,L 20-23,*,28,42,66.67,281,2,0,101.4,1,6,6.69,7.64,3,8,2.67,0,0,0,1,0,0,1,-2,0,,,,,,,,Jason Campbell,CampJa00
84,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Jason Campbell,CampJa00
85,81,2010,2010-09-12,1,1,28.255,OAK,@,TEN,L 13-38,*,22,37,59.46,180,1,1,69.7,4,30,4.86,4.19,7,35,5.00,0,0,0,2,1,0,1,0,0,,,,,,,,Jason Campbell,CampJa00
86,82,2010,2010-09-19,2,2,28.262,OAK,,STL,W 16-14,*,8,15,53.33,87,0,1,42.9,2,18,5.80,2.80,3,19,6.33,0,0,0,2,0,0,1,0,0,,,,,,,,Jason Campbell,CampJa00
87,83,2010,2010-09-26,3,3,,OAK,@,ARI,L 23-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jason Campbell,CampJa00
