,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
99,95,1998,1998-12-20,15,16,,NWE,,SFO,W 24-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Drew Bledsoe,BledDr00
100,96,1998,1998-12-27,16,17,,NWE,@,NYJ,L 10-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Drew Bledsoe,BledDr00
101,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Drew Bledsoe,BledDr00
102,97,1999,1999-09-12,1,1,27.210,NWE,@,NYJ,W 30-28,*,21,30,70.00,340,1,1,104.9,2,14,11.33,10.50,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,Drew Bledsoe,BledDr00
103,98,1999,1999-09-19,2,2,27.217,NWE,,IND,W 31-28,*,27,45,60.00,299,4,0,109.4,1,7,6.64,8.42,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Drew Bledsoe,BledDr00
104,99,1999,1999-09-26,3,3,27.224,NWE,,NYG,W 16-14,*,20,28,71.43,233,0,0,96.3,1,10,8.32,8.32,3,0,0.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Drew Bledsoe,BledDr00
105,100,1999,1999-10-03,4,4,27.231,NWE,@,CLE,W 19-7,*,29,43,67.44,393,1,0,104.1,4,32,9.14,9.60,4,-1,-0.25,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,-13,0,,Drew Bledsoe,BledDr00
106,101,1999,1999-10-10,5,5,27.238,NWE,@,KAN,L 14-16,*,23,45,51.11,334,2,2,71.9,3,18,7.42,6.31,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,2,1,0,2,0,0,,Drew Bledsoe,BledDr00
107,102,1999,1999-10-17,6,6,27.245,NWE,,MIA,L 30-31,*,17,36,47.22,225,1,1,65.2,2,12,6.25,5.56,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Drew Bledsoe,BledDr00
108,103,1999,1999-10-24,7,7,27.252,NWE,,DEN,W 24-23,*,13,22,59.09,214,0,0,91.9,4,22,9.73,9.73,3,-2,-0.67,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Drew Bledsoe,BledDr00
