,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 38_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
88,79,1991,1991-12-08,14,15,,RAI,,BUF,L 27-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
89,80,1991,1991-12-16,15,16,36.185,RAI,@,NOR,L 0-27,,0,3,0.00,0,0,1,0.0,1,9,0.00,-15.00,1,11,11.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
90,81,1991,1991-12-22,16,17,,RAI,,KAN,L 21-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
91,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Vince Evans,EvanVi00
92,82,1992,1992-10-11,6,6,,RAI,,BUF,W 20-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Vince Evans,EvanVi00
93,83,1992,1992-10-25,8,8,,RAI,,DAL,L 13-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Vince Evans,EvanVi00
94,84,1992,1992-11-08,9,10,,RAI,@,PHI,L 10-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Vince Evans,EvanVi00
95,85,1992,1992-11-15,10,11,,RAI,,SEA,W 20-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Vince Evans,EvanVi00
96,86,1992,1992-11-22,11,12,,RAI,,DEN,W 24-0,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
97,87,1992,1992-11-29,12,13,37.168,RAI,@,SDG,L 3-27,,2,5,40.00,25,0,0,56.2,0,0,5.00,5.00,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
98,88,1992,1992-12-06,13,14,37.175,RAI,,KAN,W 28-7,,0,0,,0,0,0,,,0,,,2,-3,-1.50,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
99,89,1992,1992-12-14,14,15,37.183,RAI,@,MIA,L 7-20,,3,6,50.00,18,0,0,56.2,1,12,3.00,3.00,1,16,16.00,0,0,0,,0,0,0,1,,0,0,0,0,,Vince Evans,EvanVi00
100,90,1992,1992-12-20,15,16,37.189,RAI,,SDG,L 14-36,,9,20,45.00,115,2,2,57.3,2,14,5.75,3.25,3,24,8.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
101,91,1992,1992-12-26,16,17,37.195,RAI,@,WAS,W 21-20,,15,22,68.18,214,2,1,110.8,0,0,9.73,9.50,5,42,8.40,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
102,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Vince Evans,EvanVi00
103,92,1993,1993-09-05,1,1,38.083,RAI,,MIN,W 24-7,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,Vince Evans,EvanVi00
104,93,1993,1993-09-12,2,2,,RAI,@,SEA,W 17-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
105,94,1993,1993-09-19,3,3,38.097,RAI,,CLE,L 16-19,,2,2,100.00,30,0,0,118.7,1,4,15.00,15.00,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
106,95,1993,1993-10-03,4,5,38.111,RAI,@,KAN,L 9-24,*,15,26,57.69,192,1,0,93.7,6,46,7.38,8.15,4,23,5.75,0,0,0,,0,0,0,3,,0,0,0,0,,Vince Evans,EvanVi00
107,96,1993,1993-10-10,5,6,38.118,RAI,,NYJ,W 24-20,,14,22,63.64,247,2,1,113.3,0,0,11.23,11.00,3,24,8.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
108,97,1993,1993-10-18,6,7,38.126,RAI,@,DEN,W 23-20,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
109,98,1993,1993-10-31,7,9,,RAI,,SDG,L 23-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
110,99,1993,1993-11-07,8,10,,RAI,@,CHI,W 16-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
111,100,1993,1993-11-14,9,11,,RAI,,KAN,L 20-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
112,101,1993,1993-11-21,10,12,38.160,RAI,@,SDG,W 12-7,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,Vince Evans,EvanVi00
113,102,1993,1993-11-28,11,13,,RAI,@,CIN,L 10-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
114,103,1993,1993-12-05,12,14,,RAI,@,BUF,W 25-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
115,104,1993,1993-12-12,13,15,38.181,RAI,,SEA,W 27-23,,3,5,60.00,39,0,1,45.0,1,8,7.80,-1.20,3,0,0.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
116,105,1993,1993-12-19,14,16,,RAI,,TAM,W 27-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
117,106,1993,1993-12-26,15,17,38.195,RAI,@,GNB,L 0-28,,11,20,55.00,132,0,1,54.6,4,29,6.60,4.35,4,4,1.00,0,0,0,,0,0,0,1,,0,0,0,0,,Vince Evans,EvanVi00
118,107,1993,1994-01-02,16,18,,RAI,,DEN,W 33-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
119,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Vince Evans,EvanVi00
120,108,1994,1994-09-05,1,1,39.083,RAI,@,SFO,L 14-44,,2,5,40.00,28,0,0,58.7,2,18,5.60,5.60,2,4,2.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
121,109,1994,1994-09-11,2,2,39.089,RAI,,SEA,L 9-38,,4,7,57.14,50,0,0,79.5,3,25,7.14,7.14,1,23,23.00,0,0,0,,0,0,0,1,0,0,0,0,0,,Vince Evans,EvanVi00
122,110,1994,1994-09-18,3,3,39.096,RAI,@,DEN,W 48-16,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
123,111,1994,1994-09-25,4,4,39.103,RAI,,SDG,L 24-26,,1,1,100.00,1,0,0,79.2,0,0,1.00,1.00,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
124,112,1994,1994-10-09,5,6,,RAI,@,NWE,W 21-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
125,113,1994,1994-10-16,6,7,39.124,RAI,@,MIA,L 17-20,,1,4,25.00,8,0,0,39.6,1,7,2.00,2.00,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
126,114,1994,1994-10-23,7,8,,RAI,,ATL,W 30-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
127,115,1994,1994-10-30,8,9,,RAI,,HOU,W 17-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
128,116,1994,1994-11-06,9,10,,RAI,@,KAN,L 3-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
129,117,1994,1994-11-13,10,11,39.152,RAI,@,RAM,W 20-17,,0,1,0.00,0,0,0,39.6,1,0,0.00,0.00,3,-3,-1.00,0,0,0,,0,0,0,0,,0,1,0,0,,Vince Evans,EvanVi00
130,118,1994,1994-11-20,11,12,,RAI,,NOR,W 24-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
131,119,1994,1994-11-27,12,13,39.166,RAI,,PIT,L 3-21,,7,11,63.64,61,0,0,78.2,2,7,5.55,5.55,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,,Vince Evans,EvanVi00
132,120,1994,1994-12-05,13,14,39.174,RAI,@,SDG,W 24-17,,2,2,100.00,9,1,0,125.0,0,0,4.50,14.50,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
133,121,1994,1994-12-11,14,15,,RAI,,DEN,W 23-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
134,122,1994,1994-12-18,15,16,,RAI,@,SEA,W 17-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
135,123,1994,1994-12-24,16,17,39.193,RAI,,KAN,L 9-19,,1,1,100.00,65,1,0,158.3,0,0,65.00,85.00,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
136,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Vince Evans,EvanVi00
137,124,1995,1995-09-03,1,1,,OAK,,SDG,W 17-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
138,125,1995,1995-09-10,2,2,,OAK,@,WAS,W 20-8,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
139,126,1995,1995-09-17,3,3,,OAK,@,KAN,L 17-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
140,127,1995,1995-09-24,4,4,40.102,OAK,,PHI,W 48-17,,3,4,75.00,79,1,0,156.2,0,0,19.75,24.75,1,-1,-1.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
141,128,1995,1995-10-01,5,5,40.109,OAK,@,NYJ,W 47-10,,0,0,,0,0,0,,,,,,2,-2,-1.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
142,129,1995,1995-10-08,6,6,,OAK,,SEA,W 34-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
143,130,1995,1995-10-16,7,7,40.124,OAK,@,DEN,L 0-27,,5,14,35.71,64,0,1,21.1,1,9,4.57,1.36,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
144,131,1995,1995-10-22,8,8,40.130,OAK,,IND,W 30-17,*,23,35,65.71,335,2,1,103.9,3,13,9.57,9.43,4,15,3.75,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
145,132,1995,1995-11-05,9,10,40.144,OAK,@,CIN,W 20-17,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
146,133,1995,1995-11-12,10,11,,OAK,@,NYG,W 17-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
147,134,1995,1995-11-19,11,12,40.158,OAK,,DAL,L 21-34,,20,41,48.78,232,2,1,72.4,0,0,5.66,5.54,3,10,3.33,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
148,135,1995,1995-11-27,12,13,40.166,OAK,@,SDG,L 6-12,*,17,32,53.13,192,0,3,32.3,3,28,6.00,1.78,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,,Vince Evans,EvanVi00
149,136,1995,1995-12-03,13,14,40.172,OAK,,KAN,L 23-29,*,23,37,62.16,227,0,2,56.9,4,20,6.14,3.70,1,1,1.00,0,0,0,,0,0,0,3,2,0,0,0,0,,Vince Evans,EvanVi00
150,137,1995,1995-12-10,14,15,,OAK,,PIT,L 10-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
151,138,1995,1995-12-17,15,16,,OAK,@,SEA,L 10-44,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Vince Evans,EvanVi00
152,139,1995,1995-12-24,16,17,40.193,OAK,,DEN,L 28-31,,9,11,81.82,107,1,0,137.5,0,0,9.73,11.55,3,13,4.33,0,0,0,,0,0,0,1,1,0,0,-4,0,,Vince Evans,EvanVi00
153,,,100 Games,,,,,,,43-57-0,,704,1390,50.65,9485,52,74,63.0,118,895,6.82,5.18,212,1129,5.33,14,13,253,19.46,0,14,84,12,5,0,1,-4,0,,Vince Evans,EvanVi00
