,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 38_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
18,16,1980,1980-09-28,4,4,25.106,CHI,@,PIT,L 3-38,,2,7,28.57,24,0,3,1.8,,,3.43,-15.86,1,7,7.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
19,17,1980,1980-10-12,6,6,25.120,CHI,@,MIN,L 7-13,,0,1,0.00,0,0,0,39.6,,,0.00,0.00,,,,,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
20,18,1980,1980-10-19,7,7,25.127,CHI,,DET,W 24-7,*,5,8,62.50,172,1,1,106.2,1,1,21.50,18.38,5,15,3.00,1,0,0,,0,1,6,0,,0,0,0,0,,Vince Evans,EvanVi00
21,19,1980,1980-10-26,8,8,25.134,CHI,@,PHI,L 14-17,*,10,18,55.56,113,0,2,35.0,2,7,6.28,1.28,8,23,2.88,1,0,0,,0,1,6,0,,0,0,0,0,,Vince Evans,EvanVi00
22,20,1980,1980-11-03,9,9,25.142,CHI,@,CLE,L 21-27,*,18,33,54.55,201,2,1,80.5,2,12,6.09,5.94,6,46,7.67,1,0,0,,0,1,6,0,,0,0,0,0,,Vince Evans,EvanVi00
23,21,1980,1980-11-09,10,10,25.148,CHI,,WAS,W 35-21,*,11,18,61.11,210,3,1,118.1,,,11.67,12.50,7,6,0.86,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
24,22,1980,1980-11-16,11,11,25.155,CHI,,HOU,L 6-10,*,12,23,52.17,165,0,1,57.3,2,17,7.17,5.22,4,80,20.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
25,23,1980,1980-11-23,12,12,25.162,CHI,@,ATL,L 17-28,*,19,33,57.58,184,0,0,73.3,3,33,5.58,5.58,7,40,5.71,1,0,0,,0,1,6,0,,0,0,0,0,,Vince Evans,EvanVi00
26,24,1980,1980-11-27,13,13,25.166,CHI,@,DET,W 23-17,*,11,22,50.00,167,1,0,90.5,5,43,7.59,8.50,4,27,6.75,1,0,0,,0,1,6,0,,0,0,0,0,,Vince Evans,EvanVi00
27,25,1980,1980-12-07,14,14,25.176,CHI,,GNB,W 61-7,*,18,22,81.82,316,3,0,158.3,1,9,14.36,17.09,4,8,2.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
28,26,1980,1980-12-14,15,15,25.183,CHI,,CIN,L 14-17,*,13,28,46.43,132,0,4,20.8,4,32,4.71,-1.71,4,11,2.75,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
29,27,1980,1980-12-20,16,16,25.189,CHI,@,TAM,W 14-13,*,15,31,48.39,151,0,2,35.8,1,11,4.87,1.97,6,10,1.67,2,0,0,,0,2,12,0,,0,0,0,0,,Vince Evans,EvanVi00
30,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Vince Evans,EvanVi00
31,28,1981,1981-09-06,1,1,26.084,CHI,,GNB,L 9-16,*,17,35,48.57,185,0,0,64.6,3,24,5.29,5.29,2,4,2.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
32,29,1981,1981-09-13,2,2,26.091,CHI,@,SFO,L 17-28,*,19,33,57.58,216,1,1,74.8,1,0,6.55,5.79,2,7,3.50,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
33,30,1981,1981-09-20,3,3,26.098,CHI,,TAM,W 28-17,*,13,23,56.52,126,1,1,68.4,0,0,5.48,4.39,3,9,3.00,1,0,0,,0,1,6,0,,0,0,0,0,,Vince Evans,EvanVi00
34,31,1981,1981-09-28,4,4,26.106,CHI,,RAM,L 7-24,*,1,8,12.50,3,0,0,39.6,1,2,0.38,0.38,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
35,32,1981,1981-10-04,5,5,26.112,CHI,@,MIN,L 21-24,*,26,43,60.47,307,2,1,88.0,0,0,7.14,7.02,5,23,4.60,1,0,0,,0,1,6,0,,0,0,0,0,,Vince Evans,EvanVi00
36,33,1981,1981-10-11,6,6,26.119,CHI,,WAS,L 7-24,*,8,37,21.62,131,0,4,2.3,2,12,3.54,-1.32,1,1,1.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
37,34,1981,1981-10-19,7,7,26.127,CHI,@,DET,L 17-48,*,18,31,58.06,298,1,1,87.8,1,10,9.61,8.81,2,3,1.50,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
38,35,1981,1981-10-25,8,8,26.133,CHI,,SDG,W 20-17,*,17,39,43.59,219,0,0,61.8,0,0,5.62,5.62,3,24,8.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
39,36,1981,1981-11-01,9,9,26.140,CHI,@,TAM,L 10-20,*,21,36,58.33,239,0,2,55.2,1,6,6.64,4.14,1,0,0.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
40,37,1981,1981-11-08,10,10,26.147,CHI,@,KAN,W 16-13,*,7,30,23.33,77,1,0,50.7,0,0,2.57,3.23,5,10,2.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
41,38,1981,1981-11-15,11,11,26.154,CHI,@,GNB,L 17-21,*,13,29,44.83,114,0,3,16.2,3,26,3.93,-0.72,4,31,7.75,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
42,39,1981,1981-11-22,12,12,26.161,CHI,,DET,L 7-23,*,4,19,21.05,21,0,2,0.0,4,39,1.11,-3.63,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
43,40,1981,1981-11-26,13,13,26.165,CHI,@,DAL,L 9-10,*,6,18,33.33,60,0,1,20.6,2,17,3.33,0.83,4,9,2.25,1,0,0,,0,1,6,0,,0,0,0,0,,Vince Evans,EvanVi00
44,41,1981,1981-12-06,14,14,26.175,CHI,,MIN,W 10-9,*,0,3,0.00,0,0,1,0.0,2,18,0.00,-15.00,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
45,42,1981,1981-12-13,15,15,26.182,CHI,@,OAK,W 23-6,*,15,32,46.88,240,3,1,90.6,2,12,7.50,7.97,5,47,9.40,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
46,43,1981,1981-12-20,16,16,26.189,CHI,,DEN,W 35-24,*,10,20,50.00,118,2,2,62.1,1,7,5.90,3.40,6,50,8.33,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
47,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Vince Evans,EvanVi00
48,44,1982,1982-09-12,1,1,27.090,CHI,@,DET,L 10-17,,7,15,46.67,89,0,0,65.7,1,5,5.93,5.93,2,0,0.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
