,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Unnamed: 34_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 46_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,,
64,59,2000,2000-10-08,5,6,37.351,BUF,@,MIA,L 13-22,,3,6,50.00,44,0,1,34.7,1,4,7.33,-0.17,0,0,,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
65,60,2000,2000-10-15,6,7,37.358,BUF,,SDG,W 27-24,,2,3,66.67,30,0,0,99.3,0,0,10.00,10.00,0,0,,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
66,61,2000,2000-10-22,7,8,37.365,BUF,@,MIN,L 27-31,*,28,43,65.12,294,2,0,100.3,1,8,6.84,7.77,1,8,8.00,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
67,62,2000,2000-10-29,8,9,38.006,BUF,,NYJ,W 23-20,*,18,35,51.43,253,0,0,75.1,1,1,7.23,7.23,4,15,3.75,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
68,63,2000,2000-11-05,9,10,38.013,BUF,@,NWE,W 16-13,*,18,37,48.65,179,1,0,71.8,1,5,4.84,5.38,5,23,4.60,0,,,,,,,0,0,0.0,0,1,1,0,,1,1,0,0,-1,0,,Doug Flutie,FlutDo00
69,64,2000,2000-11-12,10,11,38.020,BUF,,CHI,W 20-3,*,16,26,61.54,171,0,1,64.7,1,6,6.58,4.85,6,6,1.00,1,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
70,65,2000,2000-11-19,11,12,,BUF,@,KAN,W 21-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
71,66,2000,2000-11-26,12,13,38.034,BUF,@,TAM,L 17-31,,4,10,40.00,57,0,0,59.2,0,0,5.70,5.70,2,11,5.50,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,Doug Flutie,FlutDo00
72,67,2000,2000-12-03,13,14,38.041,BUF,,MIA,L 6-33,,2,9,22.22,31,0,1,1.9,1,13,3.44,-1.56,1,17,17.00,0,,,,,,,0,0,0.0,0,0,0,0,,1,0,0,1,0,0,,Doug Flutie,FlutDo00
73,68,2000,2000-12-11,14,15,38.049,BUF,@,IND,L 20-44,,6,12,50.00,82,1,0,100.0,1,5,6.83,8.50,0,0,,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
74,69,2000,2000-12-17,15,16,38.055,BUF,,NWE,L 10-13,,15,25,60.00,193,1,0,97.6,3,26,7.72,8.52,9,50,5.56,0,,,,,,,0,0,0.0,0,0,0,0,,3,1,0,1,-8,0,,Doug Flutie,FlutDo00
75,70,2000,2000-12-23,16,17,38.061,BUF,@,SEA,W 42-23,*,20,25,80.00,366,3,0,158.3,0,0,14.64,17.04,8,31,3.88,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
76,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Doug Flutie,FlutDo00
77,71,2001,2001-09-09,1,1,38.321,SDG,,WAS,W 30-3,*,10,18,55.56,129,0,2,38.7,1,7,7.17,2.17,4,0,0.00,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
78,72,2001,2001-09-23,2,2,38.335,SDG,@,DAL,W 32-21,*,23,38,60.53,348,2,0,108.2,1,3,9.16,10.21,6,15,2.50,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
79,73,2001,2001-09-30,3,3,38.342,SDG,,CIN,W 28-14,*,12,19,63.16,133,1,0,101.4,2,21,7.00,8.05,5,3,0.60,0,,,,,,,0,0,0.0,0,0,0,0,,1,0,0,1,0,0,,Doug Flutie,FlutDo00
80,74,2001,2001-10-07,4,4,38.349,SDG,@,CLE,L 16-20,*,17,37,45.95,149,0,0,57.2,1,6,4.03,4.03,3,9,3.00,0,,,,,,,0,0,0.0,0,0,0,0,,0,0,0,1,0,0,,Doug Flutie,FlutDo00
81,75,2001,2001-10-14,5,5,38.356,SDG,@,NWE,L 26-29,*,20,32,62.50,270,1,0,99.7,1,12,8.44,9.06,2,1,0.50,0,,,,,,,0,0,0.0,0,0,0,0,,1,0,0,1,-2,0,,Doug Flutie,FlutDo00
82,76,2001,2001-10-21,6,6,38.363,SDG,,DEN,W 27-10,*,21,32,65.63,280,2,1,101.0,3,8,8.75,8.59,4,10,2.50,0,,,,,,,0,0,0.0,,,,,,1,0,0,0,0,0,,Doug Flutie,FlutDo00
83,77,2001,2001-10-28,7,7,39.005,SDG,,BUF,W 27-24,*,21,33,63.64,254,1,0,97.3,1,11,7.70,8.30,2,12,6.00,1,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
84,78,2001,2001-11-04,8,8,39.012,SDG,,KAN,L 20-25,*,6,16,37.50,61,0,1,23.2,1,11,3.81,1.00,1,3,3.00,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
85,79,2001,2001-11-11,9,9,39.019,SDG,@,DEN,L 16-26,*,12,31,38.71,165,1,4,27.7,1,18,5.32,0.16,2,5,2.50,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
86,80,2001,2001-11-18,10,10,39.026,SDG,@,OAK,L 24-34,*,12,27,44.44,98,0,1,38.8,0,0,3.63,1.96,4,8,2.00,0,,,,,,,0,0,0.0,0,0,0,0,,2,1,0,1,-6,0,,Doug Flutie,FlutDo00
87,81,2001,2001-11-25,11,11,39.033,SDG,,ARI,L 17-20,*,33,44,75.00,308,2,0,108.9,0,0,7.00,7.91,2,9,4.50,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
88,82,2001,2001-12-02,12,12,39.040,SDG,@,SEA,L 10-13,*,19,33,57.58,195,0,2,49.4,1,10,5.91,3.18,2,22,11.00,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
89,83,2001,2001-12-09,13,13,39.047,SDG,@,PHI,L 14-24,*,20,44,45.45,307,2,2,65.2,2,10,6.98,5.84,8,45,5.63,0,,,,,,,0,0,0.0,,,,,,1,1,0,0,0,0,,Doug Flutie,FlutDo00
90,84,2001,2001-12-15,14,14,39.053,SDG,,OAK,L 6-13,*,19,37,51.35,215,0,3,35.3,4,9,5.81,2.16,4,16,4.00,0,,,,,,,0,0,0.0,0,0,0,0,,1,0,0,1,0,0,,Doug Flutie,FlutDo00
91,85,2001,2001-12-23,15,15,39.061,SDG,@,KAN,L 17-20,*,15,27,55.56,175,2,0,100.1,2,11,6.48,7.96,2,20,10.00,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
92,86,2001,2001-12-30,16,16,39.068,SDG,,SEA,L 22-25,*,34,53,64.15,377,1,2,75.7,4,31,7.11,5.79,2,14,7.00,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
93,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Doug Flutie,FlutDo00
94,87,2002,2002-09-08,1,1,,SDG,@,CIN,W 34-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
95,88,2002,2002-09-15,2,2,,SDG,,HOU,W 24-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
96,89,2002,2002-09-22,3,3,,SDG,@,ARI,W 23-15,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
97,90,2002,2002-09-29,4,4,,SDG,,NWE,W 21-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
98,91,2002,2002-10-06,5,5,,SDG,@,DEN,L 9-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
99,92,2002,2002-10-13,6,6,,SDG,,KAN,W 35-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
100,93,2002,2002-10-20,7,7,,SDG,@,OAK,W 27-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
101,94,2002,2002-11-03,8,9,,SDG,,NYJ,L 13-44,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
102,95,2002,2002-11-10,9,10,,SDG,@,STL,L 24-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
103,96,2002,2002-11-17,10,11,,SDG,,SFO,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
104,97,2002,2002-11-24,11,12,,SDG,@,MIA,L 3-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
105,98,2002,2002-12-01,12,13,,SDG,,DEN,W 30-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
106,99,2002,2002-12-08,13,14,,SDG,,OAK,L 7-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
107,100,2002,2002-12-15,14,15,40.053,SDG,@,BUF,L 13-20,,3,11,27.27,64,0,0,51.3,0,0,5.82,5.82,1,6,6.00,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
108,101,2002,2002-12-22,15,16,,SDG,@,KAN,L 22-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
109,102,2002,2002-12-29,16,17,,SDG,,SEA,L 28-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
110,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Doug Flutie,FlutDo00
111,103,2003,2003-09-07,1,1,,SDG,@,KAN,L 14-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
112,104,2003,2003-09-14,2,2,,SDG,,DEN,L 13-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
113,105,2003,2003-09-21,3,3,,SDG,,BAL,L 10-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
114,106,2003,2003-09-28,4,4,,SDG,@,OAK,L 31-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
115,107,2003,2003-10-05,5,5,,SDG,@,JAX,L 21-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
116,108,2003,2003-10-19,6,7,,SDG,@,CLE,W 26-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
117,109,2003,2003-10-27,7,8,,SDG,,MIA,L 10-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
118,110,2003,2003-11-02,8,9,41.010,SDG,@,CHI,L 7-20,,8,11,72.73,70,0,0,89.2,0,0,6.36,6.36,2,19,9.50,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
119,111,2003,2003-11-09,9,10,41.017,SDG,,MIN,W 42-28,*,21,29,72.41,248,2,0,121.0,2,1,8.55,9.93,6,18,3.00,2,,,,,,,2,12,0.0,0,0,0,0,,2,0,0,1,-9,0,,Doug Flutie,FlutDo00
120,112,2003,2003-11-16,10,11,41.024,SDG,@,DEN,L 8-37,*,9,25,36.00,70,1,1,41.2,2,14,2.80,1.80,5,11,2.20,0,,,,,,,0,0,0.0,,,,,,3,0,0,0,-3,0,,Doug Flutie,FlutDo00
121,113,2003,2003-11-23,11,12,41.031,SDG,,CIN,L 27-34,*,15,33,45.45,210,2,0,86.7,2,3,6.36,7.58,2,14,7.00,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
122,114,2003,2003-11-30,12,13,41.038,SDG,,KAN,L 24-28,*,16,34,47.06,213,2,2,62.5,1,2,6.26,4.79,8,53,6.63,0,,,,,,,0,0,0.0,,,,,,1,1,0,0,-4,0,,Doug Flutie,FlutDo00
123,115,2003,2003-12-07,13,14,41.045,SDG,@,DET,W 14-7,*,17,25,68.00,244,2,1,109.4,0,0,9.76,9.56,7,30,4.29,0,,,,,,,0,0,0.0,,,,,,1,1,0,0,0,0,,Doug Flutie,FlutDo00
124,116,2003,2003-12-14,14,15,,SDG,,GNB,L 21-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
125,117,2003,2003-12-21,15,16,41.059,SDG,@,PIT,L 24-40,,5,10,50.00,42,0,0,61.2,1,7,4.20,4.20,3,23,7.67,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
126,118,2003,2003-12-28,16,17,,SDG,,OAK,W 21-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
127,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Doug Flutie,FlutDo00
128,119,2004,2004-09-12,1,1,,SDG,@,HOU,W 27-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
129,120,2004,2004-09-19,2,2,41.332,SDG,,NYJ,L 28-34,,7,16,43.75,77,0,0,58.6,0,0,4.81,4.81,2,14,7.00,1,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
