,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Unnamed: 34_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 46_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,,
19,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Doug Flutie,FlutDo00
20,18,1989,1989-10-01,4,4,26.343,NWE,@,BUF,L 10-31,*,15,41,36.59,176,1,1,48.4,2,21,4.29,3.68,7,43,6.14,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
21,19,1989,1989-10-08,5,5,26.350,NWE,,HOU,W 23-13,*,9,18,50.00,145,0,0,77.3,1,7,8.06,8.06,6,24,4.00,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
22,20,1989,1989-10-15,6,6,26.357,NWE,@,ATL,L 15-16,*,12,30,40.00,172,1,3,30.8,3,24,5.73,1.90,2,11,5.50,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
23,21,1989,1989-11-26,12,12,27.034,NWE,@,RAI,L 21-24,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
24,22,1989,1989-12-03,13,13,27.041,NWE,,IND,W 22-16,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,9,9.00,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
25,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Doug Flutie,FlutDo00
26,23,1998,1998-09-06,1,1,35.318,BUF,@,SDG,L 14-16,,12,20,60.00,158,2,1,97.5,2,15,7.90,7.65,3,8,2.67,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
27,24,1998,1998-09-13,2,2,,BUF,@,MIA,L 7-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
28,25,1998,1998-09-20,3,3,35.332,BUF,,STL,L 33-34,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
29,26,1998,1998-10-04,4,5,,BUF,,SFO,W 26-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
30,27,1998,1998-10-11,5,6,35.353,BUF,@,IND,W 31-24,,23,28,82.14,213,2,0,122.2,0,0,7.61,9.04,3,23,7.67,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
31,28,1998,1998-10-18,6,7,35.360,BUF,,JAX,W 17-16,*,18,39,46.15,228,1,0,73.5,1,1,5.85,6.36,3,22,7.33,1,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
32,29,1998,1998-10-25,7,8,36.002,BUF,@,CAR,W 30-14,*,18,22,81.82,282,2,1,130.1,0,0,12.82,12.59,5,27,5.40,0,,,,,,,0,0,0.0,,,,,,1,0,0,1,0,0,,Doug Flutie,FlutDo00
