,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,,
30,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,Sammy Baugh,BaugSa00
31,26,1947,1947-09-28,1,1,33.195,WAS,@,PHI,L 42-45,,21,34,61.76,364,5,2,113.2,,,10.71,11.00,0,0,,0,0,0,,,,,Sammy Baugh,BaugSa00
32,27,1947,1947-11-23,9,9,33.251,WAS,,CRD,W 45-21,,25,33,75.76,355,6,2,124.4,,,10.76,11.67,0,0,,0,0,0,,,,,Sammy Baugh,BaugSa00
33,28,1947,1947-12-14,12,12,33.272,WAS,,BOS,W 40-13,,25,41,60.98,343,3,1,102.0,,,8.37,8.73,0,0,,0,0,0,,,,,Sammy Baugh,BaugSa00
34,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,Sammy Baugh,BaugSa00
35,29,1948,1948-09-26,1,2,34.193,WAS,,PIT,W 17-14,,11,19,57.89,188,1,0,109.1,,,9.89,10.95,,,,,0,0,,,,,Sammy Baugh,BaugSa00
36,30,1948,1948-10-03,2,3,34.200,WAS,,NYG,W 41-10,,16,24,66.67,269,2,3,92.5,,,11.21,7.25,1,1,1.00,1,1,6,,,,,Sammy Baugh,BaugSa00
37,31,1948,1948-10-10,3,4,34.207,WAS,@,PIT,L 7-10,,13,23,56.52,121,1,3,46.0,,,5.26,0.26,,,,,0,0,,,,,Sammy Baugh,BaugSa00
38,32,1948,1948-10-17,4,5,34.214,WAS,,PHI,L 0-45,,11,22,50.00,116,0,3,26.1,,,5.27,-0.86,,,,,0,0,,,,,Sammy Baugh,BaugSa00
39,33,1948,1948-10-24,5,6,34.221,WAS,@,GNB,W 23-7,,5,9,55.56,60,0,1,36.6,,,6.67,1.67,,,,,0,0,,,,,Sammy Baugh,BaugSa00
40,34,1948,1948-10-31,6,6,34.228,WAS,,BOS,W 59-21,,17,24,70.83,446,4,0,152.8,,,18.58,21.92,,,,,0,0,,,,,Sammy Baugh,BaugSa00
41,35,1948,1948-11-07,7,8,34.235,WAS,@,BOS,W 23-7,,16,28,57.14,171,2,1,84.1,,,6.11,5.93,,,,,0,0,,,,,Sammy Baugh,BaugSa00
42,36,1948,1948-11-14,8,8,34.242,WAS,,DET,W 46-21,,23,31,74.19,266,4,2,112.4,,,8.58,8.26,,,,,0,0,,,,,Sammy Baugh,BaugSa00
43,37,1948,1948-11-21,9,10,34.249,WAS,@,PHI,L 21-42,,11,25,44.00,210,2,2,67.1,,,8.40,6.40,1,7,7.00,0,0,0,,,,,Sammy Baugh,BaugSa00
44,38,1948,1948-11-28,10,11,34.256,WAS,@,CHI,L 13-48,,16,35,45.71,210,1,3,39.0,,,6.00,2.71,,,,,0,0,,,,,Sammy Baugh,BaugSa00
45,39,1948,1948-12-05,11,12,34.263,WAS,,RAM,L 13-41,,21,33,63.64,188,2,2,73.8,,,5.70,4.18,,,,,0,0,,,,,Sammy Baugh,BaugSa00
46,40,1948,1948-12-12,12,12,34.270,WAS,@,NYG,W 28-21,,25,42,59.52,354,3,3,80.9,,,8.43,6.64,2,-4,-2.00,0,0,0,,,,,Sammy Baugh,BaugSa00
47,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,Sammy Baugh,BaugSa00
48,41,1949,1949-09-26,1,1,35.193,WAS,@,CRD,L 7-38,,16,29,55.17,192,1,2,58.4,,,6.62,4.21,,,,,0,0,,,,,Sammy Baugh,BaugSa00
49,42,1949,1949-10-03,2,2,35.200,WAS,@,PIT,W 27-14,,8,14,57.14,182,3,0,141.4,,,13.00,17.29,,,,,0,0,,,,,Sammy Baugh,BaugSa00
50,43,1949,1949-10-09,3,3,35.206,WAS,,NYG,L 35-45,,8,17,47.06,169,2,2,82.4,,,9.94,7.00,1,17,17.00,0,0,0,,,,,Sammy Baugh,BaugSa00
51,44,1949,1949-10-16,4,4,35.213,WAS,,NYY,W 38-14,,16,20,80.00,264,4,0,158.3,,,13.20,17.20,,,,,0,0,,,,,Sammy Baugh,BaugSa00
52,45,1949,1949-10-23,5,5,35.220,WAS,@,PHI,L 14-49,,4,13,30.77,39,1,2,26.3,,,3.00,-2.38,1,4,4.00,0,0,0,,,,,Sammy Baugh,BaugSa00
53,46,1949,1949-10-30,6,6,35.227,WAS,@,NYY,T 14-14,,17,27,62.96,285,1,3,71.3,,,10.56,6.30,,,,,0,0,,,,,Sammy Baugh,BaugSa00
54,47,1949,1949-11-06,7,7,35.234,WAS,,PIT,W 27-14,,8,15,53.33,101,0,2,35.0,,,6.73,0.73,1,1,1.00,0,0,0,,,,,Sammy Baugh,BaugSa00
55,48,1949,1949-11-13,8,8,35.241,WAS,,PHI,L 21-44,,3,6,50.00,12,0,0,56.2,,,2.00,2.00,,,,,0,0,,,,,Sammy Baugh,BaugSa00
56,49,1949,1949-11-20,9,9,35.248,WAS,,CHI,L 21-31,,9,19,47.37,121,2,0,103.2,,,6.37,8.47,1,4,4.00,0,0,0,,,,,Sammy Baugh,BaugSa00
57,50,1949,1949-11-27,10,10,35.255,WAS,@,NYG,L 7-23,,16,27,59.26,131,1,1,68.6,,,4.85,3.93,1,2,2.00,0,0,0,,,,,Sammy Baugh,BaugSa00
58,51,1949,1949-12-04,11,11,35.262,WAS,,GNB,W 30-0,,11,20,55.00,99,0,0,68.5,,,4.95,4.95,3,22,7.33,1,1,6,,,,,Sammy Baugh,BaugSa00
59,52,1949,1949-12-11,12,12,35.269,WAS,@,RAM,L 27-53,,29,48,60.42,308,3,2,82.6,,,6.42,5.79,2,6,3.00,1,1,6,,,,,Sammy Baugh,BaugSa00
60,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,Sammy Baugh,BaugSa00
61,53,1950,1950-09-17,1,1,36.184,WAS,@,BCL,W 38-14,*,10,15,66.67,192,3,0,149.3,,8,12.80,16.80,,,,,0,0,,,,,Sammy Baugh,BaugSa00
62,54,1950,1950-09-24,2,2,36.191,WAS,@,GNB,L 21-35,*,16,28,57.14,173,1,1,72.5,,9,6.18,5.29,1,11,11.00,0,0,0,,,,,Sammy Baugh,BaugSa00
63,55,1950,1950-10-01,3,3,36.198,WAS,,PIT,L 7-26,*,6,14,42.86,65,0,1,27.4,,4,4.64,1.43,,,,,0,0,,,,,Sammy Baugh,BaugSa00
64,56,1950,1950-10-22,5,6,36.219,WAS,,CRD,L 28-38,,,,,,,,,,,,,,,,,0,0,,,,,Sammy Baugh,BaugSa00
