,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
26,25,1958,1958-12-14,12,12,27.055,CHI,,DET,W 21-16,,0,1,0.00,0,0,0,39.6,,8,0.00,0.00,,,,,0,0,0,0,,,Zeke Bratkowski,BratZe00
27,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Zeke Bratkowski,BratZe00
28,26,1959,1959-09-27,1,1,27.342,CHI,@,GNB,L 6-9,*,3,7,42.86,25,0,0,52.7,,7,3.57,3.57,1,0,0.00,0,0,0,0,0,,,Zeke Bratkowski,BratZe00
29,27,1959,1959-10-03,2,2,27.348,CHI,@,BAL,W 26-21,,0,1,0.00,0,0,0,39.6,,,0.00,0.00,,,,,0,0,0,0,,,Zeke Bratkowski,BratZe00
30,28,1959,1959-10-18,4,4,27.363,CHI,,BAL,L 7-21,,16,24,66.67,214,0,3,55.2,,,8.92,3.29,3,31,10.33,0,0,0,0,0,,,Zeke Bratkowski,BratZe00
31,29,1959,1959-10-25,5,5,28.005,CHI,@,SFO,L 17-20,,2,5,40.00,24,0,1,15.8,,,4.80,-4.20,1,10,10.00,0,0,0,0,0,,,Zeke Bratkowski,BratZe00
32,30,1959,1959-11-01,6,6,28.012,CHI,@,RAM,W 26-21,*,5,11,45.45,92,1,0,105.1,,8,8.36,10.18,,,,,0,0,0,0,,,Zeke Bratkowski,BratZe00
33,31,1959,1959-11-08,7,7,28.019,CHI,,GNB,W 28-17,*,5,10,50.00,48,1,1,57.5,,,4.80,2.30,2,45,22.50,0,0,0,0,0,,,Zeke Bratkowski,BratZe00
34,32,1959,1959-11-22,9,9,28.033,CHI,@,DET,W 24-14,*,0,4,0.00,0,0,0,39.6,,10,0.00,0.00,,,,,0,0,0,0,,,Zeke Bratkowski,BratZe00
35,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Zeke Bratkowski,BratZe00
36,33,1960,1960-09-25,1,1,28.341,CHI,@,GNB,W 17-14,,13,24,54.17,178,0,2,43.4,2,27,7.42,3.67,1,1,1.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
37,34,1960,1960-10-02,2,2,28.348,CHI,@,BAL,L 7-42,,12,28,42.86,178,1,7,36.6,4,20,6.36,-4.18,2,11,5.50,0,0,0,3,128,42.67,0,Zeke Bratkowski,BratZe00
38,35,1960,1960-10-16,4,4,28.362,CHI,,SFO,W 27-10,,1,1,100.00,2,0,0,79.2,,,2.00,2.00,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
39,36,1960,1960-10-23,5,5,29.003,CHI,@,RAM,T 24-24,,18,35,51.43,248,3,1,91.1,1,12,7.09,7.51,2,18,9.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
40,37,1960,1960-10-30,6,6,29.010,CHI,@,SFO,L 7-25,,5,11,45.45,60,0,0,62.7,1,6,5.45,5.45,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
41,38,1960,1960-11-13,7,8,29.024,CHI,,BAL,L 20-24,,10,13,76.92,104,0,0,99.5,,13,8.00,8.00,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
42,39,1960,1960-11-20,8,9,29.031,CHI,,DET,W 28-7,*,9,14,64.29,82,1,2,64.3,,,5.86,0.86,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
43,40,1960,1960-11-27,9,10,29.038,CHI,,DAL,W 17-7,,3,7,42.86,20,0,1,10.7,1,6,2.86,-3.57,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
44,41,1960,1960-12-04,10,11,29.045,CHI,,GNB,L 13-41,,9,19,47.37,151,1,2,52.6,1,7,7.95,4.26,2,-8,-4.00,0,0,0,2,84,42.00,0,Zeke Bratkowski,BratZe00
45,42,1960,1960-12-11,11,12,29.052,CHI,@,CLE,L 0-42,,5,16,31.25,27,0,5,1.0,,14,1.69,-12.38,1,-2,-2.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
46,43,1960,1960-12-18,12,13,29.059,CHI,@,DET,L 0-36,,2,7,28.57,1,0,1,0.0,,,0.14,-6.29,,,,,0,0,2,39,19.50,0,Zeke Bratkowski,BratZe00
47,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Zeke Bratkowski,BratZe00
48,44,1961,1961-09-17,1,1,29.332,RAM,@,BAL,L 24-27,*,10,17,58.82,140,2,0,124.6,1,9,8.24,10.59,4,10,2.50,1,1,6,2,68,34.00,0,Zeke Bratkowski,BratZe00
49,45,1961,1961-09-23,2,2,29.338,RAM,,CHI,L 17-21,*,18,29,62.07,245,0,2,60.3,2,26,8.45,5.34,1,9,9.00,0,0,0,6,238,39.67,0,Zeke Bratkowski,BratZe00
50,46,1961,1961-10-01,3,3,29.346,RAM,,PIT,W 24-14,*,6,9,66.67,31,0,1,32.4,,,3.44,-1.56,2,-1,-0.50,1,1,6,4,152,38.00,0,Zeke Bratkowski,BratZe00
51,47,1961,1961-10-08,4,4,29.353,RAM,@,SFO,L 0-35,*,5,13,38.46,62,0,1,22.0,1,14,4.77,1.31,1,1,1.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
52,48,1961,1961-10-15,5,5,29.360,RAM,@,DET,L 13-14,*,5,14,35.71,34,0,2,4.8,3,25,2.43,-4.00,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
53,49,1961,1961-10-22,6,6,30.002,RAM,@,NYG,L 14-24,*,1,4,25.00,12,0,0,39.6,,,3.00,3.00,1,0,0.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
54,50,1961,1961-11-05,8,8,30.016,RAM,,MIN,W 31-17,,3,10,30.00,31,0,0,40.0,,,3.10,3.10,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
55,51,1961,1961-11-12,9,9,30.023,RAM,,SFO,W 17-7,,7,10,70.00,76,0,0,92.1,,,7.60,7.60,1,1,1.00,1,1,6,0,0,,0,Zeke Bratkowski,BratZe00
56,52,1961,1961-11-19,10,10,30.030,RAM,@,GNB,L 17-35,*,8,12,66.67,68,0,0,81.2,1,7,5.67,5.67,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
57,53,1961,1961-11-26,11,11,30.037,RAM,@,CHI,L 24-28,*,16,33,48.48,322,3,2,88.2,2,26,9.76,8.85,1,0,0.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
58,54,1961,1961-12-03,12,12,30.044,RAM,@,MIN,L 21-42,*,12,23,52.17,153,1,3,48.2,2,17,6.65,1.65,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
59,55,1961,1961-12-09,13,13,30.050,RAM,,BAL,W 34-17,*,14,23,60.87,211,2,0,120.0,1,8,9.17,10.91,1,16,16.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
60,56,1961,1961-12-17,14,14,30.058,RAM,,GNB,L 17-24,*,19,33,57.58,162,0,2,45.3,3,36,4.91,2.18,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
61,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Zeke Bratkowski,BratZe00
62,57,1962,1962-09-16,1,1,30.331,RAM,@,BAL,L 27-30,*,15,32,46.88,261,1,2,59.5,,,8.16,5.97,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
63,58,1962,1962-09-23,2,2,30.338,RAM,,CHI,L 23-27,*,16,31,51.61,264,1,3,51.7,1,15,8.52,4.81,5,15,3.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
64,59,1962,1962-09-30,3,3,30.345,RAM,,DAL,L 17-27,*,16,35,45.71,185,1,1,59.8,1,8,5.29,4.57,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
65,60,1962,1962-10-07,4,4,30.352,RAM,@,WAS,L 14-20,*,10,16,62.50,120,1,1,80.2,6,36,7.50,5.94,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
66,61,1962,1962-10-14,5,5,30.359,RAM,@,DET,L 10-13,*,1,9,11.11,37,1,1,41.7,1,9,4.11,1.33,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
67,62,1962,1962-10-21,6,6,31.001,RAM,,MIN,L 14-38,*,7,17,41.18,99,1,3,40.7,2,15,5.82,-0.94,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
68,63,1962,1962-10-28,7,7,31.008,RAM,@,SFO,W 28-14,*,10,17,58.82,144,1,0,106.0,1,11,8.47,9.65,1,0,0.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
69,64,1962,1962-11-04,8,8,31.015,RAM,,DET,L 3-12,*,14,26,53.85,149,0,1,54.8,5,47,5.73,4.00,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
70,65,1962,1962-11-11,9,9,31.022,RAM,,BAL,L 2-14,*,9,18,50.00,78,0,1,38.7,2,15,4.33,1.83,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
