,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 42_level_0,qb,qb_tag
9,10,1988,1988-11-28,13,13,23.266,RAI,@,SEA,L 27-35,*,4,19,21.05,89,1,1,42.2,2,20,4.68,3.37,0,0,,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Beuerlein,BeueSt00
10,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Steve Beuerlein,BeueSt00
11,11,1989,1989-09-10,1,1,24.187,RAI,,SDG,W 40-14,,15,22,68.18,206,2,0,128.2,3,27,9.36,11.18,1,-1,-1.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Beuerlein,BeueSt00
12,12,1989,1989-10-15,6,6,24.222,RAI,,KAN,W 20-14,,1,5,20.00,15,0,1,0.0,0,0,3.00,-6.00,1,-1,-1.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Beuerlein,BeueSt00
13,13,1989,1989-10-22,7,7,24.229,RAI,@,PHI,L 7-10,,5,8,62.50,75,1,1,93.2,1,8,9.38,6.25,2,6,3.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Beuerlein,BeueSt00
14,14,1989,1989-10-29,8,8,24.236,RAI,,WAS,W 37-24,*,11,22,50.00,154,2,1,84.3,0,0,7.00,6.77,1,6,6.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Beuerlein,BeueSt00
15,15,1989,1989-11-19,11,11,24.257,RAI,@,HOU,L 7-23,*,10,25,40.00,149,1,3,34.0,2,11,5.96,1.36,2,1,0.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Beuerlein,BeueSt00
16,16,1989,1989-11-26,12,12,24.264,RAI,,NWE,W 24-21,*,15,25,60.00,169,2,0,106.9,4,33,6.76,8.36,2,6,3.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Beuerlein,BeueSt00
17,17,1989,1989-12-03,13,13,24.271,RAI,,DEN,W 16-13,*,9,23,39.13,200,1,0,85.4,2,22,8.70,9.57,2,5,2.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Beuerlein,BeueSt00
18,18,1989,1989-12-10,14,14,24.278,RAI,,PHO,W 16-14,*,13,30,43.33,255,0,0,73.6,4,25,8.50,8.50,0,0,,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Beuerlein,BeueSt00
19,19,1989,1989-12-17,15,15,24.285,RAI,@,SEA,L 17-23,*,13,23,56.52,188,2,1,94.1,2,13,8.17,7.96,1,7,7.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Beuerlein,BeueSt00
20,20,1989,1989-12-24,16,16,24.292,RAI,@,NYG,L 17-34,*,16,34,47.06,266,2,2,69.0,4,36,7.82,6.35,4,10,2.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Beuerlein,BeueSt00
21,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Steve Beuerlein,BeueSt00
