,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
18,18,1993,1993-09-12,2,2,24.118,TAM,@,NYG,L 7-23,*,16,28,57.14,174,1,1,72.6,3,20,6.21,5.32,0,0,,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
19,19,1993,1993-09-26,3,4,24.132,TAM,@,CHI,L 17-47,*,13,32,40.63,240,1,2,51.6,2,25,7.50,5.31,1,4,4.00,0,0,0,2,,0,0,0,0,,Craig Erickson,EricCr00
20,20,1993,1993-10-03,4,5,24.139,TAM,,DET,W 27-10,*,14,25,56.00,210,2,0,110.4,3,14,8.40,10.00,1,1,1.00,0,0,0,1,,0,0,0,0,,Craig Erickson,EricCr00
21,21,1993,1993-10-10,5,6,24.146,TAM,@,MIN,L 0-15,*,12,29,41.38,122,0,4,14.5,3,12,4.21,-2.00,1,2,2.00,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
22,22,1993,1993-10-24,6,8,24.160,TAM,,GNB,L 14-37,*,8,20,40.00,151,2,2,60.6,0,0,7.55,5.05,1,3,3.00,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
23,23,1993,1993-10-31,7,9,24.167,TAM,@,ATL,W 31-24,*,18,28,64.29,318,4,2,112.8,2,11,11.36,11.00,3,8,2.67,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
24,24,1993,1993-11-07,8,10,24.174,TAM,@,DET,L 0-23,*,13,26,50.00,122,0,1,47.3,3,20,4.69,2.96,2,25,12.50,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
25,25,1993,1993-11-14,9,11,24.181,TAM,,SFO,L 21-45,*,17,27,62.96,239,2,1,100.7,2,15,8.85,8.67,1,5,5.00,0,0,0,1,,0,1,0,0,,Craig Erickson,EricCr00
26,26,1993,1993-11-21,10,12,24.188,TAM,,MIN,W 23-10,*,19,32,59.38,239,0,0,82.7,4,39,7.47,7.47,3,-2,-0.67,0,0,0,1,,0,2,0,0,,Craig Erickson,EricCr00
27,27,1993,1993-11-28,11,13,24.195,TAM,@,GNB,L 10-13,*,12,35,34.29,144,1,0,57.3,3,29,4.11,4.69,0,0,,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
28,28,1993,1993-12-05,12,14,24.202,TAM,,WAS,L 17-23,*,15,34,44.12,163,1,3,31.9,0,0,4.79,1.41,2,9,4.50,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
29,29,1993,1993-12-12,13,15,24.209,TAM,,CHI,W 13-10,*,12,21,57.14,128,0,1,55.3,3,16,6.10,3.95,3,5,1.67,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
30,30,1993,1993-12-19,14,16,24.216,TAM,@,RAI,L 20-27,*,21,34,61.76,295,0,0,89.7,5,30,8.68,8.68,2,20,10.00,0,0,0,1,,0,0,0,0,,Craig Erickson,EricCr00
31,31,1993,1993-12-26,15,17,24.223,TAM,@,DEN,W 17-10,*,14,30,46.67,176,2,1,73.7,2,5,5.87,5.70,6,16,2.67,0,0,0,3,,0,3,-2,0,,Craig Erickson,EricCr00
32,32,1993,1994-01-02,16,18,24.230,TAM,,SDG,L 17-32,*,21,41,51.22,272,2,3,58.2,0,0,6.63,4.32,0,0,,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
