,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Int,Yds,TD,PD,Pnt,Yds,Y/P,Blck,,
135,126,1964,1964-10-04,4,4,35.344,PIT,@,PHI,L 7-21,*,17,34,50.00,234,0,0,72.4,3,27,6.88,6.88,2,6,3.00,0,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,Ed Brown,BrowEd01
136,127,1964,1964-10-10,5,5,35.350,PIT,@,CLE,W 23-7,*,9,11,81.82,128,0,0,115.2,1,5,11.64,11.64,5,27,5.40,0,,,,,,,,,,,0,0,0,0,0,0,1,39,39.00,0,Ed Brown,BrowEd01
137,128,1964,1964-10-18,6,6,35.358,PIT,@,MIN,L 10-30,*,8,21,38.10,162,1,1,62.0,5,45,7.71,6.52,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,Ed Brown,BrowEd01
138,129,1964,1964-10-25,7,7,35.365,PIT,,PHI,L 10-34,*,5,21,23.81,80,0,1,23.1,2,16,3.81,1.67,1,17,17.00,0,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,Ed Brown,BrowEd01
139,130,1964,1964-11-01,8,8,36.006,PIT,,CLE,L 17-30,*,8,23,34.78,128,0,2,18.0,5,42,5.57,1.65,1,1,1.00,0,,,,,,,,,,,0,0,0,0,0,0,3,140,46.67,0,Ed Brown,BrowEd01
140,131,1964,1964-11-08,9,9,36.013,PIT,@,STL,L 30-34,*,7,15,46.67,128,1,1,71.0,5,43,8.53,6.87,2,6,3.00,0,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,Ed Brown,BrowEd01
141,132,1964,1964-11-15,10,10,36.020,PIT,,WAS,L 0-30,,9,20,45.00,131,0,3,27.3,2,22,6.55,-0.20,,,,,,,,,,,,,,,0,0,0,0,0,0,3,109,36.33,0,Ed Brown,BrowEd01
142,133,1964,1964-11-22,11,11,36.027,PIT,@,NYG,W 44-17,*,10,13,76.92,184,2,0,157.9,0,0,14.15,17.23,,,,,,,,,,,,,,,0,0,0,0,0,0,1,36,36.00,0,Ed Brown,BrowEd01
143,134,1964,1964-11-29,12,12,36.034,PIT,,STL,L 20-21,*,10,23,43.48,178,0,3,31.0,3,30,7.74,1.87,3,15,5.00,0,,,,,,,,,,,0,0,0,0,0,0,5,229,45.80,0,Ed Brown,BrowEd01
144,135,1964,1964-12-06,13,13,36.041,PIT,@,WAS,W 14-7,*,5,9,55.56,90,1,1,87.5,6,49,10.00,7.22,4,7,1.75,0,,,,,,,,,,,0,0,0,0,0,0,6,251,41.83,0,Ed Brown,BrowEd01
145,136,1964,1964-12-13,14,14,36.048,PIT,@,DAL,L 14-17,*,9,22,40.91,166,2,2,60.0,3,19,7.55,5.27,1,0,0.00,0,,,,,,,,,,,0,0,0,0,0,0,6,273,45.50,0,Ed Brown,BrowEd01
146,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Int,Yds,TD,PD,Pnt,Yds,Y/P,Blck,Ed Brown,BrowEd01
147,137,1965,1965-09-26,2,2,36.335,PIT,@,SFO,L 17-27,,1,3,33.33,15,0,0,50.7,0,0,5.00,5.00,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,Ed Brown,BrowEd01
148,138,1965,1965-11-14,9,9,37.019,PIT,@,DAL,L 17-24,,0,4,0.00,0,0,3,0.0,0,0,0.00,-33.75,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,Ed Brown,BrowEd01
149,139,1965,1965-11-21,10,10,37.026,PIT,,WAS,L 3-31,,6,11,54.55,108,0,2,48.9,3,26,9.82,1.64,1,-1,-1.00,0,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,Ed Brown,BrowEd01
150,140,1965,1965-12-18,14,14,37.053,BAL,@,RAM,W 20-17,,3,5,60.00,81,1,0,143.7,3,24,16.20,20.20,1,-2,-2.00,0,,,,,,,,,,,0,0,0,0,0,0,2,80,40.00,0,Ed Brown,BrowEd01
151,,,140 Games,,,,,,,78-57-5,,949,1987,47.76,15600,102,138,62.8,120,1727,7.85,5.75,265,960,3.62,14,1,-6,-6.00,0,1,1,100.0,1,2,50.0,15,94,1,8,0,0,264,10754,40.73,2,Ed Brown,BrowEd01
