,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
157,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Charlie Conerly,ConeCh00
158,146,1961,1961-09-17,1,1,39.363,NYG,,STL,L 10-21,*,9,21,42.86,75,0,2,13.1,6,44,3.57,-0.71,3,11,3.67,0,0,0,,0,0,0,0,0,,0,Charlie Conerly,ConeCh00
159,147,1961,1961-09-24,2,2,40.005,NYG,@,PIT,W 17-14,*,6,16,37.50,47,1,0,66.7,4,27,2.94,4.19,1,1,1.00,0,0,0,,0,0,0,0,0,,0,Charlie Conerly,ConeCh00
160,148,1961,1961-10-01,3,3,40.012,NYG,@,WAS,W 24-21,*,3,5,60.00,35,1,1,81.2,,,7.00,2.00,,,,,0,0,,0,0,0,0,0,,0,Charlie Conerly,ConeCh00
161,149,1961,1961-10-08,4,4,40.019,NYG,@,STL,W 24-9,,5,16,31.25,87,0,2,11.2,3,39,5.44,-0.19,1,-3,-3.00,0,0,0,,0,0,0,0,0,,0,Charlie Conerly,ConeCh00
162,150,1961,1961-10-22,6,6,40.033,NYG,,RAM,W 24-14,,5,11,45.45,111,2,1,83.7,1,6,10.09,9.64,1,1,1.00,0,0,0,,0,0,0,0,0,,0,Charlie Conerly,ConeCh00
163,151,1961,1961-10-29,7,7,40.040,NYG,,DAL,L 16-17,*,5,9,55.56,82,0,1,46.8,2,7,9.11,4.11,3,5,1.67,0,0,0,,0,0,0,0,0,,0,Charlie Conerly,ConeCh00
164,152,1961,1961-12-03,12,12,40.075,NYG,@,GNB,L 17-20,,1,6,16.67,-2,0,0,39.6,,,-0.33,-0.33,,,,,0,0,,0,0,0,0,0,,0,Charlie Conerly,ConeCh00
165,153,1961,1961-12-10,13,13,40.082,NYG,@,PHI,W 28-24,,6,13,46.15,153,3,0,129.2,2,7,11.77,16.38,2,2,1.00,0,0,0,,0,0,0,0,0,,0,Charlie Conerly,ConeCh00
166,154,1961,1961-12-17,14,14,40.089,NYG,,CLE,T 7-7,,4,9,44.44,46,0,1,20.8,1,4,5.11,0.11,2,-1,-0.50,0,0,0,,0,0,0,0,0,,0,Charlie Conerly,ConeCh00
167,,,154 Games,,,,,,,92-57-5,,1418,2833,50.05,19488,173,167,68.2,24,986,6.88,5.45,227,528,2.33,10,5,88,17.60,0,10,60,18,665,36.94,0,Charlie Conerly,ConeCh00
