,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
42,40,1951,1951-10-28,5,5,30.039,NYG,@,CLE,L 13-14,*,9,13,69.23,117,1,1,90.9,,31,9.00,7.08,1,-1,-1.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
43,41,1951,1951-11-04,6,6,30.046,NYG,,NYY,W 37-31,*,14,24,58.33,243,1,3,67.2,,8,10.13,5.33,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
44,42,1951,1951-11-11,7,7,30.053,NYG,,WAS,W 28-14,*,9,14,64.29,110,1,1,82.4,,19,7.86,6.07,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
45,43,1951,1951-11-18,8,8,30.060,NYG,,CLE,L 0-10,*,13,23,56.52,140,0,1,56.4,,39,6.09,4.13,2,-2,-1.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
46,44,1951,1951-11-25,9,9,30.067,NYG,@,CRD,W 10-0,*,4,10,40.00,46,0,1,15.0,,,4.60,0.10,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
47,45,1951,1951-12-02,10,10,30.074,NYG,,PIT,W 14-0,*,4,12,33.33,66,0,2,13.2,,21,5.50,-2.00,1,-15,-15.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
48,46,1951,1951-12-09,11,11,30.081,NYG,@,PHI,W 23-7,*,4,16,25.00,61,1,1,37.8,,9,3.81,2.25,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
49,47,1951,1951-12-16,12,12,30.088,NYG,@,NYY,W 27-17,*,3,9,33.33,93,2,1,72.9,,22,10.33,9.78,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Charlie Conerly,ConeCh00
51,48,1952,1952-09-28,1,1,31.009,NYG,@,DTX,W 24-6,*,7,15,46.67,78,1,0,84.9,,,5.20,6.53,3,17,5.67,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
52,49,1952,1952-10-04,2,2,31.015,NYG,@,PHI,W 31-7,*,6,12,50.00,111,1,1,75.3,,,9.25,7.17,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
53,50,1952,1952-10-12,3,3,31.023,NYG,@,CLE,W 17-9,*,4,9,44.44,101,1,2,83.3,,15,11.22,3.44,5,48,9.60,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
54,51,1952,1952-10-19,4,4,31.030,NYG,,CRD,L 23-24,*,9,23,39.13,152,3,2,65.6,,6,6.61,5.30,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
55,52,1952,1952-10-26,5,5,31.037,NYG,,PHI,L 10-14,*,10,16,62.50,96,0,0,79.2,,,6.00,6.00,1,0,0.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
56,53,1952,1952-11-02,6,6,31.044,NYG,@,CRD,W 28-6,*,6,16,37.50,122,2,3,65.1,,,7.63,1.69,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
57,54,1952,1952-11-09,7,7,31.051,NYG,,SFO,W 23-14,*,12,21,57.14,158,1,0,96.9,,,7.52,8.48,3,1,0.33,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
58,55,1952,1952-11-16,8,8,31.058,NYG,,GNB,L 3-17,*,6,18,33.33,42,0,1,19.2,,23,2.33,-0.17,1,2,2.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
59,56,1952,1952-11-23,9,9,31.065,NYG,@,WAS,W 14-10,*,2,6,33.33,9,0,1,2.8,,,1.50,-6.00,2,12,6.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
60,57,1952,1952-11-30,10,10,31.072,NYG,@,PIT,L 7-63,*,4,7,57.14,37,0,0,71.7,,,5.29,5.29,1,-10,-10.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
61,58,1952,1952-12-14,12,12,31.086,NYG,,CLE,W 37-34,*,16,26,61.54,184,4,0,122.4,,,7.08,10.15,5,9,1.80,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
62,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Charlie Conerly,ConeCh00
63,59,1953,1953-09-27,1,1,32.008,NYG,@,RAM,L 7-21,*,5,15,33.33,46,0,1,14.9,,11,3.07,0.07,3,4,1.33,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
64,60,1953,1953-10-03,2,2,32.014,NYG,@,PIT,L 14-24,*,15,30,50.00,156,2,2,59.9,,,5.20,3.53,1,-3,-3.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
65,61,1953,1953-10-11,3,3,32.022,NYG,@,WAS,L 9-13,*,12,27,44.44,62,0,4,12.0,,25,2.30,-4.37,1,2,2.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
66,62,1953,1953-10-18,4,4,32.029,NYG,,CRD,W 21-7,*,10,15,66.67,174,1,2,88.6,,19,11.60,6.93,1,2,2.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
67,63,1953,1953-10-25,5,5,32.036,NYG,,CLE,L 0-7,*,9,19,47.37,95,0,3,22.8,,29,5.00,-2.11,1,24,24.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
68,64,1953,1953-11-01,6,6,32.043,NYG,@,CRD,W 23-20,*,2,14,14.29,22,1,1,33.6,,33,1.57,-0.21,2,21,10.50,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
69,65,1953,1953-11-08,7,7,32.050,NYG,@,PHI,L 7-30,,10,19,52.63,68,1,1,56.5,,40,3.58,2.26,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
70,66,1953,1953-11-15,8,8,32.057,NYG,,PIT,L 10-14,*,17,36,47.22,191,1,1,61.2,,20,5.31,4.61,4,20,5.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
71,67,1953,1953-11-22,9,9,32.064,NYG,,WAS,L 21-24,*,17,26,65.38,222,1,2,72.9,,11,8.54,5.85,5,24,4.80,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
72,68,1953,1953-11-29,10,10,32.071,NYG,,PHI,W 37-28,*,12,30,40.00,250,3,0,103.5,,41,8.33,10.33,1,-5,-5.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
73,69,1953,1953-12-06,11,11,32.078,NYG,@,CLE,L 14-62,*,15,39,38.46,213,2,3,41.9,,20,5.46,3.03,1,2,2.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
74,70,1953,1953-12-13,12,12,32.085,NYG,,DET,L 16-27,*,19,33,57.58,212,1,5,47.3,,17,6.42,0.21,4,0,0.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
75,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Charlie Conerly,ConeCh00
76,71,1954,1954-09-26,1,1,33.007,NYG,@,CRD,W 41-10,*,8,12,66.67,136,2,0,144.4,,,11.33,14.67,1,2,2.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
77,72,1954,1954-10-02,2,2,33.013,NYG,@,BAL,L 14-20,*,10,25,40.00,65,0,0,47.9,,,2.60,2.60,1,3,3.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
78,73,1954,1954-10-10,3,3,33.021,NYG,@,WAS,W 51-21,*,17,34,50.00,237,4,0,112.0,,,6.97,9.32,1,8,8.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
79,74,1954,1954-10-17,4,4,33.028,NYG,,CRD,W 31-17,*,7,15,46.67,123,1,3,57.8,,,8.20,0.53,3,27,9.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
80,75,1954,1954-10-24,5,5,33.035,NYG,,WAS,W 24-7,*,12,20,60.00,185,3,3,90.6,,,9.25,5.50,3,20,6.67,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
81,76,1954,1954-10-31,6,6,33.042,NYG,@,CLE,L 14-24,*,5,15,33.33,64,0,2,8.1,,12,4.27,-1.73,7,8,1.14,1,,,,,1,6,0,0,,,Charlie Conerly,ConeCh00
82,77,1954,1954-11-07,7,7,33.049,NYG,@,PIT,W 30-6,*,13,20,65.00,137,3,2,84.8,,,6.85,5.35,2,13,6.50,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
83,78,1954,1954-11-14,8,8,33.056,NYG,,PHI,W 27-14,*,16,41,39.02,260,3,1,75.3,,,6.34,6.71,4,9,2.25,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
84,79,1954,1954-11-21,9,9,33.063,NYG,,RAM,L 16-17,*,14,27,51.85,225,1,0,92.4,,,8.33,9.07,2,17,8.50,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
85,80,1954,1954-11-28,10,10,33.070,NYG,,CLE,L 7-16,*,1,1,100.00,7,0,0,95.8,,8,7.00,7.00,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
86,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Charlie Conerly,ConeCh00
87,81,1955,1955-09-24,1,1,34.005,NYG,@,PHI,L 17-27,*,9,20,45.00,96,1,1,55.4,,,4.80,3.55,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
88,82,1955,1955-10-02,2,2,34.013,NYG,@,CRD,L 17-28,*,11,26,42.31,100,1,3,26.6,,,3.85,-0.58,2,7,3.50,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
89,83,1955,1955-10-09,3,3,34.020,NYG,@,PIT,L 23-30,,6,11,54.55,125,2,2,94.9,,,11.36,6.82,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
90,84,1955,1955-10-16,4,4,34.027,NYG,,CRD,W 10-0,,4,7,57.14,55,0,0,82.4,,7,7.86,7.86,2,-7,-3.50,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
91,85,1955,1955-10-23,5,5,34.034,NYG,,PIT,L 17-19,,13,15,86.67,141,1,0,128.1,,,9.40,10.73,2,-2,-1.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
92,86,1955,1955-10-30,6,6,34.041,NYG,,WAS,W 35-7,*,6,18,33.33,133,2,2,58.1,,,7.39,4.61,2,10,5.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
93,87,1955,1955-11-06,7,7,34.048,NYG,@,CLE,L 14-24,*,12,30,40.00,151,1,3,27.9,,,5.03,1.20,1,-2,-2.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
94,88,1955,1955-11-13,8,8,34.055,NYG,,BAL,W 17-7,,7,17,41.18,131,1,0,88.1,,9,7.71,8.88,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
