,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 40_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
18,18,2019,2019-09-16,2,2,,NYJ,,CLE,L 3-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Sam Darnold,DarnSa00
19,19,2019,2019-09-22,3,3,,NYJ,@,NWE,L 14-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Sam Darnold,DarnSa00
20,20,2019,2019-10-06,4,5,,NYJ,@,PHI,L 6-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Sam Darnold,DarnSa00
21,21,2019,2019-10-13,5,6,22.130,NYJ,,DAL,W 24-22,*,23,32,71.88,338,2,1,113.8,2,12,10.56,10.41,5,1,0.20,0,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
22,22,2019,2019-10-21,6,7,22.138,NYJ,,NWE,L 0-33,*,11,32,34.38,86,0,4,3.6,1,13,2.69,-2.94,2,-1,-0.50,0,0,0,1,1,0,0,0,0,60,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
23,23,2019,2019-10-27,7,8,22.144,NYJ,@,JAX,L 15-29,*,21,30,70.00,218,2,3,73.3,8,51,7.27,4.10,1,-1,-1.00,0,0,0,1,0,0,0,0,0,58,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
24,24,2019,2019-11-03,8,9,22.151,NYJ,@,MIA,L 18-26,*,27,39,69.23,260,1,1,85.4,3,22,6.67,6.03,2,1,0.50,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
25,25,2019,2019-11-10,9,10,22.158,NYJ,,NYG,W 34-27,*,19,30,63.33,230,1,0,97.9,2,12,7.67,8.33,3,25,8.33,1,1,6,0,0,0,0,0,0,65,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
26,26,2019,2019-11-17,10,11,22.165,NYJ,@,WAS,W 34-17,*,19,30,63.33,293,4,1,121.3,2,8,9.77,10.93,2,-3,-1.50,0,0,0,1,0,0,0,0,0,70,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
27,27,2019,2019-11-24,11,12,22.172,NYJ,,OAK,W 34-3,*,20,29,68.97,315,2,0,127.8,1,2,10.86,12.24,4,16,4.00,1,1,6,1,0,0,1,0,0,59,94%,0,0%,0,0%,,Sam Darnold,DarnSa00
28,28,2019,2019-12-01,12,13,22.179,NYJ,@,CIN,L 6-22,*,28,48,58.33,239,0,0,71.4,4,30,4.98,4.98,2,9,4.50,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
29,29,2019,2019-12-08,13,14,22.186,NYJ,,MIA,W 22-21,*,20,36,55.56,270,2,1,86.6,1,8,7.50,7.36,3,3,1.00,0,0,0,1,0,0,0,-4,0,71,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
30,30,2019,2019-12-12,14,15,22.190,NYJ,@,BAL,L 21-42,*,18,32,56.25,218,2,1,85.2,1,11,6.81,6.66,1,11,11.00,0,0,0,1,1,0,0,0,0,60,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
31,31,2019,2019-12-22,15,16,22.200,NYJ,,PIT,W 16-10,*,16,26,61.54,183,1,0,95.5,2,9,7.04,7.81,4,3,0.75,0,0,0,3,1,0,1,-6,0,61,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
32,32,2019,2019-12-29,16,17,22.207,NYJ,@,BUF,W 13-6,*,23,36,63.89,199,1,1,76.0,2,14,5.53,4.83,3,-2,-0.67,0,0,0,1,0,0,1,-3,0,67,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Sam Darnold,DarnSa00
34,33,2020,2020-09-13,1,1,23.100,NYJ,@,BUF,L 17-27,*,21,35,60.00,215,1,1,75.3,3,13,6.14,5.43,1,6,6.00,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
35,34,2020,2020-09-20,2,2,23.107,NYJ,,SFO,L 13-31,*,21,32,65.63,179,1,0,90.5,1,6,5.59,6.22,2,7,3.50,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
36,35,2020,2020-09-27,3,3,23.114,NYJ,@,IND,L 7-36,*,17,29,58.62,168,1,3,47.0,2,17,5.79,1.83,5,20,4.00,0,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
37,36,2020,2020-10-01,4,4,23.118,NYJ,,DEN,L 28-37,*,23,42,54.76,230,0,0,70.5,6,54,5.48,5.48,6,84,14.00,1,1,6,0,0,0,0,0,0,73,95%,0,0%,0,0%,,Sam Darnold,DarnSa00
38,37,2020,2020-10-11,5,5,,NYJ,,ARI,L 10-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Sam Darnold,DarnSa00
39,38,2020,2020-10-18,6,6,,NYJ,@,MIA,L 0-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Sam Darnold,DarnSa00
40,39,2020,2020-10-25,7,7,23.142,NYJ,,BUF,L 10-18,*,12,23,52.17,120,0,2,31.1,6,29,5.22,1.30,0,0,,0,0,0,1,0,0,0,0,0,57,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
41,40,2020,2020-11-01,8,8,23.149,NYJ,@,KAN,L 9-35,*,18,30,60.00,133,0,0,70.6,1,5,4.43,4.43,4,21,5.25,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
42,41,2020,2020-11-09,9,9,,NYJ,,NWE,L 27-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Sam Darnold,DarnSa00
43,42,2020,2020-11-22,10,11,,NYJ,@,LAC,L 28-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Sam Darnold,DarnSa00
44,43,2020,2020-11-29,11,12,23.177,NYJ,,MIA,L 3-20,*,16,27,59.26,197,0,2,51.0,3,24,7.30,3.96,2,9,4.50,0,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
45,44,2020,2020-12-06,12,13,23.184,NYJ,,LVR,L 28-31,*,14,23,60.87,186,2,1,97.4,3,16,8.09,7.87,3,26,8.67,1,1,6,2,2,0,0,0,0,62,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
46,45,2020,2020-12-13,13,14,23.191,NYJ,@,SEA,L 3-40,*,14,26,53.85,132,0,0,68.1,3,16,5.08,5.08,1,3,3.00,0,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
