,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 41_level_0,qb,qb_tag
13,14,2001,2001-12-23,14,15,,STL,@,CAR,W 38-32,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marc Bulger,BulgMa00
14,15,2001,2001-12-30,15,16,,STL,,IND,W 42-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marc Bulger,BulgMa00
15,16,2001,2002-01-06,16,17,,STL,,ATL,W 31-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marc Bulger,BulgMa00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Marc Bulger,BulgMa00
17,17,2002,2002-09-08,1,1,,STL,@,DEN,L 16-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marc Bulger,BulgMa00
18,18,2002,2002-09-15,2,2,,STL,,NYG,L 21-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marc Bulger,BulgMa00
19,19,2002,2002-09-23,3,3,,STL,@,TAM,L 14-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marc Bulger,BulgMa00
20,20,2002,2002-09-29,4,4,,STL,,DAL,L 10-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marc Bulger,BulgMa00
21,21,2002,2002-10-06,5,5,,STL,@,SFO,L 13-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Marc Bulger,BulgMa00
22,22,2002,2002-10-13,6,6,25.191,STL,,OAK,W 28-13,*,14,21,66.67,186,3,0,134.1,3,22,8.86,11.71,4,-1,-0.25,1,0,0,0,,0,0.0%,,1,6,1,0,0,0,0,0,,Marc Bulger,BulgMa00
23,23,2002,2002-10-20,7,7,25.198,STL,,SEA,W 37-20,*,22,40,55.00,265,1,1,73.4,1,5,6.63,6.00,3,-5,-1.67,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,,Marc Bulger,BulgMa00
24,24,2002,2002-11-03,8,9,25.212,STL,@,ARI,W 27-14,*,20,29,68.97,245,2,2,89.0,2,22,8.45,6.72,2,-4,-2.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,,Marc Bulger,BulgMa00
25,25,2002,2002-11-10,9,10,25.219,STL,,SDG,W 28-24,*,36,48,75.00,453,4,0,131.7,0,0,9.44,11.10,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,,Marc Bulger,BulgMa00
26,26,2002,2002-11-18,10,11,25.227,STL,,CHI,W 21-16,*,21,35,60.00,347,2,1,100.5,3,26,9.91,9.77,1,-1,-1.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,1,0,0,0,0,0,,Marc Bulger,BulgMa00
27,27,2002,2002-11-24,11,12,,STL,@,WAS,L 17-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marc Bulger,BulgMa00
28,28,2002,2002-12-01,12,13,,STL,@,PHI,L 3-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marc Bulger,BulgMa00
29,29,2002,2002-12-08,13,14,,STL,@,KAN,L 10-49,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Marc Bulger,BulgMa00
