,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,,
79,75,1980,1980-09-14,2,2,27.052,NWE,,ATL,L 21-37,*,17,31,54.84,169,2,1,78.6,2,16,5.45,5.29,5,27,5.40,0,,,,,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
80,76,1980,1980-09-21,3,3,27.059,NWE,@,SEA,W 37-31,*,15,24,62.50,271,3,1,123.4,,,11.29,11.92,5,15,3.00,0,,,,,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
81,77,1980,1980-09-29,4,4,27.067,NWE,,DEN,W 23-14,*,17,24,70.83,209,1,1,93.9,1,9,8.71,7.67,8,15,1.88,0,,,,,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
82,78,1980,1980-10-05,5,5,27.073,NWE,@,NYJ,W 21-11,*,6,9,66.67,35,0,0,73.8,,,3.89,3.89,1,-2,-2.00,0,,,,,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
83,79,1980,1980-10-12,6,6,27.080,NWE,,MIA,W 34-0,*,11,18,61.11,173,1,3,72.0,3,31,9.61,3.22,,,,,,,,,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
84,80,1980,1980-10-19,7,7,27.087,NWE,@,BAL,W 37-21,*,15,24,62.50,264,1,0,113.9,1,0,11.00,11.83,1,14,14.00,0,,,,,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
85,81,1980,1980-10-26,8,8,27.094,NWE,@,BUF,L 13-31,*,13,29,44.83,138,1,4,31.2,3,29,4.76,-0.76,1,4,4.00,0,,,,,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
86,82,1980,1980-11-02,9,9,27.101,NWE,,NYJ,W 34-21,*,12,26,46.15,166,2,1,76.8,1,4,6.38,6.19,2,-3,-1.50,0,,,,,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
87,83,1980,1980-11-10,10,10,27.109,NWE,@,HOU,L 34-38,*,25,39,64.10,374,3,2,99.7,,,9.59,8.82,1,8,8.00,0,,,,,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
88,84,1980,1980-11-16,11,11,27.115,NWE,,RAM,L 14-17,*,11,24,45.83,125,1,2,41.1,3,26,5.21,2.29,3,11,3.67,1,,,,,1,6,0,,0,0,0,0,Steve Grogan,GrogSt00
89,85,1980,1980-11-30,13,13,27.129,NWE,@,SFO,L 17-21,*,16,32,50.00,274,0,6,39.8,2,12,8.56,0.13,,,,,,,,,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
90,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Steve Grogan,GrogSt00
91,86,1981,1981-09-06,1,1,28.044,NWE,,BAL,L 28-29,*,14,27,51.85,261,2,2,79.4,3,11,9.67,7.81,0,0,,0,1,16,16.00,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
92,87,1981,1981-09-13,2,2,28.051,NWE,@,PHI,L 3-13,*,7,19,36.84,105,0,3,16.2,0,0,5.53,-1.58,2,2,1.00,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
93,88,1981,1981-10-11,6,6,28.079,NWE,@,NYJ,L 24-28,,19,32,59.38,330,1,2,78.9,4,39,10.31,8.13,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
