,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 42_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
9,7,1988,1988-10-09,6,6,26.151,PIT,@,PHO,L 14-31,,3,11,27.27,27,1,0,69.9,0,0,2.45,4.27,0,0,,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Bono,BonoSt00
10,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Steve Bono,BonoSt00
11,8,1989,1989-10-29,8,8,27.171,SFO,@,NYJ,W 23-10,,4,5,80.00,62,1,0,157.9,0,0,12.40,16.40,0,0,,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Bono,BonoSt00
12,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Steve Bono,BonoSt00
13,9,1991,1991-09-02,1,1,,SFO,@,NYG,L 14-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Bono,BonoSt00
14,10,1991,1991-09-08,2,2,,SFO,,SDG,W 34-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Bono,BonoSt00
15,11,1991,1991-09-15,3,3,,SFO,@,MIN,L 14-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Bono,BonoSt00
16,12,1991,1991-09-22,4,4,29.134,SFO,,RAM,W 27-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,0,0,0,,,0,0,0,,Steve Bono,BonoSt00
17,13,1991,1991-09-29,5,5,,SFO,@,RAI,L 6-12,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Bono,BonoSt00
18,14,1991,1991-10-13,6,7,,SFO,,ATL,L 34-39,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Bono,BonoSt00
19,15,1991,1991-10-20,7,8,29.162,SFO,,DET,W 35-3,,3,3,100.00,35,0,0,115.3,0,0,11.67,11.67,2,-3,-1.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Bono,BonoSt00
20,16,1991,1991-10-27,8,9,,SFO,@,PHI,W 23-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Bono,BonoSt00
21,17,1991,1991-11-03,9,10,29.176,SFO,@,ATL,L 14-17,,9,16,56.25,111,1,1,72.7,1,11,6.94,5.38,1,5,5.00,0,,0,0,,0,,,,0,0,1,,0,0,0,0,,Steve Bono,BonoSt00
22,18,1991,1991-11-10,10,11,29.183,SFO,@,NOR,L 3-10,*,15,32,46.88,131,0,0,58.2,3,29,4.09,4.09,1,16,16.00,0,,0,0,,0,,,,0,0,1,,0,0,0,0,,Steve Bono,BonoSt00
23,19,1991,1991-11-17,11,12,29.190,SFO,,PHO,W 14-10,*,20,35,57.14,187,0,0,72.0,3,18,5.34,5.34,3,-2,-0.67,0,,0,0,,0,,,,0,0,2,,0,0,-8,0,,Steve Bono,BonoSt00
24,20,1991,1991-11-25,12,13,29.198,SFO,@,RAM,W 33-10,*,18,33,54.55,306,1,1,83.6,0,0,9.27,8.52,3,-2,-0.67,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Bono,BonoSt00
25,21,1991,1991-12-01,13,14,29.204,SFO,,NOR,W 38-24,*,27,41,65.85,347,3,0,116.6,1,4,8.46,9.93,2,8,4.00,0,,0,0,,0,,,,0,0,1,,0,0,0,0,,Steve Bono,BonoSt00
26,22,1991,1991-12-08,14,15,29.211,SFO,@,SEA,W 24-22,*,25,44,56.82,280,3,2,79.7,2,19,6.36,5.68,4,6,1.50,0,,0,0,,0,,,,0,0,1,,0,0,0,0,,Steve Bono,BonoSt00
27,23,1991,1991-12-14,15,16,29.217,SFO,,KAN,W 28-14,*,24,33,72.73,220,3,0,120.8,1,10,6.67,8.48,1,18,18.00,0,,0,0,,0,,,,0,0,1,,0,0,0,0,,Steve Bono,BonoSt00
28,24,1991,1991-12-23,16,17,,SFO,,CHI,W 52-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Steve Bono,BonoSt00
29,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Steve Bono,BonoSt00
30,25,1992,1992-09-06,1,1,30.118,SFO,@,NYG,W 31-14,,15,22,68.18,187,2,0,124.6,0,0,8.50,10.32,4,13,3.25,0,,0,0,,0,0.0%,,,0,0,2,,0,1,-3,0,,Steve Bono,BonoSt00
31,26,1992,1992-09-13,2,2,30.125,SFO,,BUF,L 31-34,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Bono,BonoSt00
32,27,1992,1992-09-20,3,3,30.132,SFO,@,NYJ,W 31-14,,3,5,60.00,41,0,1,46.7,0,0,8.20,-0.80,4,-7,-1.75,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Bono,BonoSt00
33,28,1992,1992-09-27,4,4,30.139,SFO,@,NOR,W 16-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Bono,BonoSt00
34,29,1992,1992-10-04,5,5,30.146,SFO,,RAM,W 27-24,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Bono,BonoSt00
35,30,1992,1992-10-11,6,6,30.153,SFO,@,NWE,W 24-12,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Bono,BonoSt00
36,31,1992,1992-10-18,7,7,30.160,SFO,,ATL,W 56-17,,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,2,-2,-1.00,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Bono,BonoSt00
37,32,1992,1992-11-01,8,9,30.174,SFO,@,PHO,L 14-24,,17,24,70.83,222,0,1,82.3,2,14,9.25,7.38,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Bono,BonoSt00
38,33,1992,1992-11-09,9,10,30.182,SFO,@,ATL,W 41-3,,1,1,100.00,13,0,0,118.7,0,0,13.00,13.00,3,1,0.33,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Bono,BonoSt00
39,34,1992,1992-11-15,10,11,30.188,SFO,,NOR,W 21-20,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Bono,BonoSt00
