,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 48_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
19,19,2011,2011-09-25,3,3,23.321,STL,,BAL,L 7-37,*,16,32,50.00,166,1,1,62.8,5,34,5.19,4.41,3,22,7.33,0,0,0,0,,0,0.0%,,,0,0,2,1,0,1,0,0,,,,,,,,Sam Bradford,BradSa00
20,20,2011,2011-10-02,4,4,23.328,STL,,WAS,L 10-17,*,20,43,46.51,164,1,0,64.5,7,37,3.81,4.28,0,0,,0,0,0,0,,0,0.0%,,,0,0,2,1,0,1,0,0,,,,,,,,Sam Bradford,BradSa00
21,21,2011,2011-10-16,5,6,23.342,STL,@,GNB,L 3-24,*,29,45,64.44,328,0,1,76.9,3,22,7.29,6.29,2,0,0.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,-16,0,,,,,,,,Sam Bradford,BradSa00
22,22,2011,2011-10-23,6,7,,STL,@,DAL,L 7-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Sam Bradford,BradSa00
23,23,2011,2011-10-30,7,8,,STL,,NOR,W 31-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Sam Bradford,BradSa00
24,24,2011,2011-11-06,8,9,23.363,STL,@,ARI,L 13-19,*,23,36,63.89,255,0,1,73.3,4,22,7.08,5.83,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Sam Bradford,BradSa00
25,25,2011,2011-11-13,9,10,24.005,STL,@,CLE,W 13-12,*,15,25,60.00,155,1,1,74.6,1,7,6.20,5.20,4,3,0.75,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Sam Bradford,BradSa00
26,26,2011,2011-11-20,10,11,24.012,STL,,SEA,L 7-24,*,20,40,50.00,181,1,1,60.5,5,38,4.53,3.90,2,0,0.00,0,0,0,0,,0,0.0%,,,0,0,2,0,0,0,0,0,,,,,,,,Sam Bradford,BradSa00
27,27,2011,2011-11-27,11,12,24.019,STL,,ARI,L 20-23,*,17,31,54.84,203,1,0,85.8,2,17,6.55,7.19,0,0,,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,,,,,,,Sam Bradford,BradSa00
28,28,2011,2011-12-04,12,13,,STL,@,SFO,L 0-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Sam Bradford,BradSa00
