,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 54_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
52,50,2014,2014-09-14,2,2,26.320,CIN,,ATL,W 24-10,*,15,23,65.22,252,1,0,116.6,0,0,10.96,11.83,3,6,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
53,51,2014,2014-09-21,3,3,26.327,CIN,,TEN,W 33-7,*,15,23,65.22,169,0,1,68.9,0,0,7.35,5.39,3,3,1.00,0,1,1,18,18.00,1,100.0%,18.00,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,87%,0,0%,0,0%,,Andy Dalton,DaltAn00
54,52,2014,2014-10-05,4,5,26.341,CIN,@,NWE,L 17-43,*,15,24,62.50,204,2,0,117.4,1,8,8.50,10.17,2,16,8.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,90%,0,0%,0,0%,,Andy Dalton,DaltAn00
55,53,2014,2014-10-12,5,6,26.348,CIN,,CAR,T 37-37,*,33,43,76.74,323,2,2,93.5,1,3,7.51,6.35,4,25,6.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,81,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
56,54,2014,2014-10-19,6,7,26.355,CIN,@,IND,L 0-27,*,18,38,47.37,126,0,0,55.4,3,17,3.32,3.32,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
57,55,2014,2014-10-26,7,8,26.362,CIN,,BAL,W 27-24,*,21,28,75.00,266,0,1,89.3,2,27,9.50,7.89,6,14,2.33,2,0,0,0,,0,0.0%,,,2,12,0.0,0,0,0,,,1,1,0,0,0,0,69,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
58,56,2014,2014-11-02,8,9,27.004,CIN,,JAX,W 33-23,*,19,31,61.29,233,2,2,79.1,2,1,7.52,5.90,2,11,5.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
59,57,2014,2014-11-06,9,10,27.008,CIN,,CLE,L 3-24,*,10,33,30.30,86,0,3,2.0,2,14,2.61,-1.48,3,8,2.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,88%,0,0%,0,0%,,Andy Dalton,DaltAn00
60,58,2014,2014-11-16,10,11,27.018,CIN,@,NOR,W 27-10,*,16,22,72.73,220,3,0,143.9,1,1,10.00,12.73,5,12,2.40,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
61,59,2014,2014-11-23,11,12,27.025,CIN,@,HOU,W 22-13,*,24,35,68.57,233,1,1,84.6,0,0,6.66,5.94,7,6,0.86,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,81,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
62,60,2014,2014-11-30,12,13,27.032,CIN,@,TAM,W 14-13,*,19,27,70.37,176,1,3,60.6,2,11,6.52,2.26,3,7,2.33,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
63,61,2014,2014-12-07,13,14,27.039,CIN,,PIT,L 21-42,*,21,29,72.41,302,2,0,128.8,2,5,10.41,11.79,4,22,5.50,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,1,1,0,0,-5,0,51,84%,0,0%,0,0%,,Andy Dalton,DaltAn00
64,62,2014,2014-12-14,14,15,27.046,CIN,@,CLE,W 30-0,*,14,24,58.33,117,0,1,53.6,2,14,4.88,3.00,2,3,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,74,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
65,63,2014,2014-12-22,15,16,27.054,CIN,,DEN,W 37-28,*,17,25,68.00,146,2,1,93.1,0,0,5.84,5.64,6,25,4.17,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
66,64,2014,2014-12-28,16,17,27.060,CIN,@,PIT,L 17-27,*,27,38,71.05,244,2,2,83.7,3,23,6.42,5.11,3,8,2.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
