,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Unnamed: 28_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 40_level_0,qb,qb_tag
59,57,1999,1999-11-28,11,12,,JAX,@,BAL,W 30-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jay Fiedler,FiedJa00
60,58,1999,1999-12-02,12,13,,JAX,,PIT,W 20-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jay Fiedler,FiedJa00
61,59,1999,1999-12-13,13,14,,JAX,,DEN,W 27-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jay Fiedler,FiedJa00
62,60,1999,1999-12-19,14,15,,JAX,@,CLE,W 24-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jay Fiedler,FiedJa00
63,61,1999,1999-12-26,15,16,27.362,JAX,@,TEN,L 14-41,,8,22,36.36,101,0,2,13.6,3,18,4.59,0.50,1,7,7.00,0,0,0,0.0,,,,,,1,0,0,0,0,0,,Jay Fiedler,FiedJa00
64,62,1999,2000-01-02,16,17,28.004,JAX,,CIN,W 24-7,*,28,39,71.79,317,1,0,104.3,2,12,8.13,8.64,2,-2,-1.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
65,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Jay Fiedler,FiedJa00
66,63,2000,2000-09-03,1,1,28.249,MIA,,SEA,W 23-0,*,15,24,62.50,134,1,0,91.3,2,7,5.58,6.42,3,9,3.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
67,64,2000,2000-09-10,2,2,28.256,MIA,@,MIN,L 7-13,*,12,31,38.71,175,1,1,55.2,3,15,5.65,4.84,4,22,5.50,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
68,65,2000,2000-09-17,3,3,28.263,MIA,,BAL,W 19-6,*,11,16,68.75,160,1,1,95.8,1,8,10.00,8.44,4,8,2.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
69,66,2000,2000-09-24,4,4,28.270,MIA,,NWE,W 10-3,*,12,24,50.00,153,1,2,49.5,1,10,6.38,3.46,8,21,2.63,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
70,67,2000,2000-10-01,5,5,28.277,MIA,@,CIN,W 31-16,*,14,21,66.67,155,2,1,100.3,2,12,7.38,7.14,4,45,11.25,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
71,68,2000,2000-10-08,6,6,28.284,MIA,,BUF,W 22-13,*,14,24,58.33,142,1,1,71.9,1,8,5.92,4.88,5,29,5.80,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
72,69,2000,2000-10-23,7,8,28.299,MIA,@,NYJ,L 37-40,*,16,35,45.71,250,2,3,53.3,1,13,7.14,4.43,4,24,6.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
73,70,2000,2000-10-29,8,9,28.305,MIA,,GNB,W 28-20,*,16,25,64.00,158,1,0,95.1,1,2,6.32,7.12,5,6,1.20,1,1,6,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
74,71,2000,2000-11-05,9,10,28.312,MIA,@,DET,W 23-8,*,13,18,72.22,112,0,0,88.2,1,8,6.22,6.22,8,42,5.25,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
75,72,2000,2000-11-12,10,11,28.319,MIA,@,SDG,W 17-7,*,13,20,65.00,160,0,0,89.6,0,0,8.00,8.00,3,8,2.67,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
76,73,2000,2000-11-19,11,12,28.326,MIA,,NYJ,L 3-20,*,0,0,,0,0,,,1,1,,,0,0,,0,0,0,0.0,,,,,,0,,,0,0,0,,Jay Fiedler,FiedJa00
77,74,2000,2000-11-26,12,13,,MIA,@,IND,W 17-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jay Fiedler,FiedJa00
78,75,2000,2000-12-03,13,14,28.340,MIA,@,BUF,W 33-6,*,13,21,61.90,214,3,0,135.7,2,14,10.19,13.05,1,0,0.00,0,0,0,0.0,,,,,,1,1,0,0,-8,0,,Jay Fiedler,FiedJa00
79,76,2000,2000-12-10,14,15,28.347,MIA,,TAM,L 13-16,*,13,28,46.43,175,0,4,27.2,1,5,6.25,-0.18,2,2,1.00,0,0,0,0.0,,,,,,1,1,0,0,0,0,,Jay Fiedler,FiedJa00
80,77,2000,2000-12-17,15,16,28.354,MIA,,IND,L 13-20,*,12,25,48.00,150,0,1,50.4,4,18,6.00,4.20,1,29,29.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
81,78,2000,2000-12-24,16,17,28.361,MIA,@,NWE,W 27-24,*,30,45,66.67,264,1,0,89.5,2,8,5.87,6.31,2,22,11.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
82,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Jay Fiedler,FiedJa00
83,79,2001,2001-09-09,1,1,29.254,MIA,@,TEN,W 31-23,*,12,20,60.00,225,2,0,132.3,0,0,11.25,13.25,7,25,3.57,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
84,80,2001,2001-09-23,2,2,29.268,MIA,,OAK,W 18-15,*,16,34,47.06,217,0,2,43.4,1,2,6.38,3.74,8,34,4.25,2,2,12,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
85,81,2001,2001-09-30,3,3,29.275,MIA,@,STL,L 10-42,*,19,27,70.37,204,1,2,73.7,2,15,7.56,4.96,4,9,2.25,0,0,0,0.0,,,,,,2,2,0,0,0,0,,Jay Fiedler,FiedJa00
86,82,2001,2001-10-07,4,4,29.282,MIA,,NWE,W 30-10,*,11,21,52.38,87,1,1,59.0,0,0,4.14,2.95,7,37,5.29,0,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
87,83,2001,2001-10-14,5,5,29.289,MIA,@,NYJ,L 17-21,*,23,34,67.65,213,1,2,69.9,2,8,6.26,4.21,2,27,13.50,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
88,84,2001,2001-10-28,6,7,29.303,MIA,@,SEA,W 24-20,*,15,21,71.43,213,1,2,80.2,0,0,10.14,6.81,8,41,5.13,0,0,0,0.0,,,,,,1,0,0,0,0,0,,Jay Fiedler,FiedJa00
89,85,2001,2001-11-04,7,8,29.310,MIA,,CAR,W 23-6,*,20,33,60.61,287,1,1,86.3,1,9,8.70,7.94,4,4,1.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
90,86,2001,2001-11-11,8,9,29.317,MIA,@,IND,W 27-24,*,17,29,58.62,259,2,2,82.4,1,18,8.93,7.21,2,8,4.00,0,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
91,87,2001,2001-11-18,9,10,29.324,MIA,,NYJ,L 0-24,*,24,36,66.67,188,0,3,44.7,3,12,5.22,1.47,4,14,3.50,0,0,0,0.0,,,,,,2,1,0,0,0,0,,Jay Fiedler,FiedJa00
92,88,2001,2001-11-25,10,11,29.331,MIA,@,BUF,W 34-27,*,18,31,58.06,260,3,0,117.7,2,16,8.39,10.32,4,28,7.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
93,89,2001,2001-12-02,11,12,29.338,MIA,,DEN,W 21-10,*,18,28,64.29,176,1,0,93.7,0,0,6.29,7.00,4,2,0.50,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
94,90,2001,2001-12-10,12,13,29.346,MIA,,IND,W 41-6,*,18,26,69.23,191,3,0,128.8,1,8,7.35,9.65,1,9,9.00,1,1,6,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
95,91,2001,2001-12-16,13,14,29.352,MIA,@,SFO,L 0-21,*,16,28,57.14,149,0,3,32.3,6,42,5.32,0.50,4,33,8.25,0,0,0,0.0,,,,,,1,1,0,0,0,0,,Jay Fiedler,FiedJa00
96,92,2001,2001-12-22,14,15,29.358,MIA,@,NWE,L 13-20,*,21,37,56.76,320,1,0,94.4,2,10,8.65,9.19,3,13,4.33,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
97,93,2001,2001-12-30,15,16,30.001,MIA,,ATL,W 21-14,*,16,29,55.17,191,2,1,84.1,3,15,6.59,6.41,4,13,3.25,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
98,94,2001,2002-01-06,16,17,30.008,MIA,,BUF,W 34-7,*,9,16,56.25,110,1,0,98.4,3,23,6.88,8.13,7,24,3.43,1,1,6,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
99,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Jay Fiedler,FiedJa00
100,95,2002,2002-09-08,1,1,30.253,MIA,,DET,W 49-21,*,18,27,66.67,207,3,0,126.6,0,0,7.67,9.89,3,9,3.00,0,0,0,0.0,0,1,1,0,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
101,96,2002,2002-09-15,2,2,30.260,MIA,@,IND,W 21-13,*,13,18,72.22,187,2,1,119.4,1,8,10.39,10.11,7,30,4.29,1,1,6,0.0,0,0,0,0,,1,0,0,1,0,0,,Jay Fiedler,FiedJa00
102,97,2002,2002-09-22,3,3,30.267,MIA,,NYJ,W 30-3,*,16,30,53.33,185,1,0,83.3,1,2,6.17,6.83,2,5,2.50,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
103,98,2002,2002-09-29,4,4,30.274,MIA,@,KAN,L 30-48,*,29,45,64.44,310,1,4,54.9,2,16,6.89,3.33,3,15,5.00,1,1,6,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
104,99,2002,2002-10-06,5,5,30.281,MIA,,NWE,W 26-13,*,17,27,62.96,190,2,0,108.6,1,8,7.04,8.52,3,18,6.00,1,1,6,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
105,100,2002,2002-10-13,6,6,30.288,MIA,@,DEN,W 24-22,*,19,29,65.52,210,0,1,72.5,1,9,7.24,5.69,1,-9,-9.00,0,0,0,0.0,0,0,0,0,,1,1,0,0,0,0,,Jay Fiedler,FiedJa00
106,101,2002,2002-10-20,7,7,,MIA,,BUF,L 10-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jay Fiedler,FiedJa00
107,102,2002,2002-11-04,8,9,,MIA,@,GNB,L 10-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jay Fiedler,FiedJa00
108,103,2002,2002-11-10,9,10,,MIA,@,NYJ,L 10-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jay Fiedler,FiedJa00
109,104,2002,2002-11-17,10,11,,MIA,,BAL,W 26-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jay Fiedler,FiedJa00
110,105,2002,2002-11-24,11,12,,MIA,,SDG,W 30-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jay Fiedler,FiedJa00
111,106,2002,2002-12-01,12,13,30.337,MIA,@,BUF,L 21-38,,5,9,55.56,15,0,1,21.3,0,0,1.67,-3.33,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
112,107,2002,2002-12-09,13,14,30.345,MIA,,CHI,W 27-9,*,15,29,51.72,196,1,1,70.5,1,8,6.76,5.90,1,10,10.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
113,108,2002,2002-12-15,14,15,30.351,MIA,,OAK,W 23-17,*,21,32,65.63,237,1,0,98.0,3,24,7.41,8.03,4,10,2.50,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
114,109,2002,2002-12-21,15,16,30.357,MIA,@,MIN,L 17-20,*,15,21,71.43,177,2,1,108.6,1,7,8.43,8.19,2,2,1.00,0,0,0,0.0,0,0,0,0,,1,0,0,1,0,0,,Jay Fiedler,FiedJa00
115,110,2002,2002-12-29,16,17,31.000,MIA,@,NWE,L 24-27,*,11,25,44.00,110,1,0,70.4,2,7,4.40,5.20,2,9,4.50,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
116,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Jay Fiedler,FiedJa00
117,111,2003,2003-09-07,1,1,31.252,MIA,,HOU,L 20-21,*,17,32,53.13,227,3,2,81.1,2,12,7.09,6.16,3,2,0.67,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
118,112,2003,2003-09-14,2,2,31.259,MIA,@,NYJ,W 21-10,*,14,19,73.68,190,1,0,122.7,1,1,10.00,11.05,5,35,7.00,1,1,6,0.0,,,,,,1,1,0,0,0,0,,Jay Fiedler,FiedJa00
119,113,2003,2003-09-21,3,3,31.266,MIA,,BUF,W 17-7,*,16,28,57.14,154,1,2,54.8,1,7,5.50,3.00,2,13,6.50,0,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
120,114,2003,2003-10-05,4,5,31.280,MIA,@,NYG,W 23-10,*,14,26,53.85,167,0,0,73.7,2,16,6.42,6.42,4,12,3.00,0,0,0,0.0,0,0,0,0,,2,1,0,1,0,0,,Jay Fiedler,FiedJa00
121,115,2003,2003-10-12,5,6,31.287,MIA,@,JAX,W 24-10,*,14,27,51.85,147,0,1,52.5,1,4,5.44,3.78,3,3,1.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
122,116,2003,2003-10-19,6,7,31.294,MIA,,NWE,L 13-19,*,20,35,57.14,230,1,2,62.8,1,1,6.57,4.57,1,5,5.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
123,117,2003,2003-10-27,7,8,,MIA,@,SDG,W 26-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jay Fiedler,FiedJa00
124,118,2003,2003-11-02,8,9,,MIA,,IND,L 17-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jay Fiedler,FiedJa00
125,119,2003,2003-11-09,9,10,,MIA,@,TEN,L 7-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jay Fiedler,FiedJa00
126,120,2003,2003-11-16,10,11,,MIA,,BAL,W 9-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jay Fiedler,FiedJa00
127,121,2003,2003-11-23,11,12,31.329,MIA,,WAS,W 24-23,,5,10,50.00,59,0,0,68.3,0,0,5.90,5.90,3,-3,-1.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
128,122,2003,2003-11-27,12,13,31.333,MIA,@,DAL,W 40-21,*,16,20,80.00,239,3,0,156.0,0,0,11.95,14.95,4,-3,-0.75,1,1,6,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
129,123,2003,2003-12-07,13,14,31.343,MIA,@,NWE,L 0-12,*,13,31,41.94,111,0,2,25.1,5,45,3.58,0.68,0,0,,0,0,0,0.0,,,,,,2,1,0,0,0,0,,Jay Fiedler,FiedJa00
130,124,2003,2003-12-15,14,15,31.351,MIA,,PHI,L 27-34,*,21,40,52.50,240,0,2,50.0,2,19,6.00,3.75,4,16,4.00,1,1,6,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
131,125,2003,2003-12-21,15,16,31.357,MIA,@,BUF,W 20-3,*,8,17,47.06,46,1,1,48.9,2,9,2.71,1.24,2,2,1.00,0,0,0,0.0,0,0,0,0,,2,1,0,1,-5,0,,Jay Fiedler,FiedJa00
132,126,2003,2003-12-28,16,17,31.364,MIA,,NYJ,W 23-21,*,21,29,72.41,328,1,1,106.7,2,12,11.31,10.45,3,6,2.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
133,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Jay Fiedler,FiedJa00
134,127,2004,2004-09-11,1,1,32.257,MIA,,TEN,L 7-17,*,5,13,38.46,42,0,2,8.0,1,1,3.23,-3.69,1,0,0.00,0,0,0,0.0,,,,,,1,0,0,0,0,0,,Jay Fiedler,FiedJa00
135,128,2004,2004-09-19,2,2,,MIA,@,CIN,L 13-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jay Fiedler,FiedJa00
136,129,2004,2004-09-26,3,3,,MIA,,PIT,L 3-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jay Fiedler,FiedJa00
137,130,2004,2004-10-03,4,4,32.279,MIA,,NYJ,L 9-17,*,18,33,54.55,206,0,2,48.3,4,10,6.24,3.52,2,13,6.50,0,0,0,0.0,0,0,0,0,,2,2,0,0,0,0,,Jay Fiedler,FiedJa00
138,131,2004,2004-10-10,5,5,32.286,MIA,@,NWE,L 10-24,*,20,41,48.78,251,1,1,66.2,3,29,6.12,5.51,3,6,2.00,0,0,0,0.0,0,0,0,0,,2,1,0,1,0,0,,Jay Fiedler,FiedJa00
139,132,2004,2004-10-17,6,6,32.293,MIA,@,BUF,L 13-20,*,12,23,52.17,136,1,1,66.6,5,35,5.91,4.83,1,10,10.00,0,0,0,0.0,0,0,0,0,,1,0,0,0,0,0,,Jay Fiedler,FiedJa00
140,133,2004,2004-10-24,7,7,32.300,MIA,,STL,W 31-14,*,13,17,76.47,203,2,0,154.8,5,36,11.94,14.29,2,-2,-1.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,Jay Fiedler,FiedJa00
141,134,2004,2004-11-01,8,8,32.308,MIA,@,NYJ,L 14-41,*,20,41,48.78,218,2,2,60.8,4,37,5.32,4.10,1,26,26.00,0,0,0,0.0,,,,,,1,0,0,0,0,0,,Jay Fiedler,FiedJa00
142,135,2004,2004-11-07,9,9,32.314,MIA,,ARI,L 23-24,*,12,21,57.14,129,1,0,91.2,2,17,6.14,7.10,2,6,3.00,0,0,0,0.0,,,,,,1,1,0,0,0,0,,Jay Fiedler,FiedJa00
143,136,2004,2004-11-21,10,11,32.328,MIA,@,SEA,L 17-24,,1,1,100.00,1,0,0,79.2,1,0,1.00,1.00,0,0,,0,0,0,0.0,,,,,,1,0,0,0,0,0,,Jay Fiedler,FiedJa00
144,137,2004,2004-11-28,11,12,,MIA,@,SFO,W 24-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Jay Fiedler,FiedJa00
145,138,2004,2004-12-05,12,13,,MIA,,BUF,L 32-42,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Jay Fiedler,FiedJa00
146,139,2004,2004-12-12,13,14,,MIA,@,DEN,L 17-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Jay Fiedler,FiedJa00
147,140,2004,2004-12-20,14,15,,MIA,,NWE,W 29-28,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Jay Fiedler,FiedJa00
