,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 40_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
9,10,2002,2002-11-17,10,11,23.119,HOU,,JAX,L 21-24,*,22,30,73.33,228,1,1,92.1,4,34,7.60,6.77,7,33,4.71,2,2,12,1,0,0,1,0,0,,,,,,,,David Carr,CarrDa00
10,11,2002,2002-11-24,11,12,23.126,HOU,,NYG,W 16-14,*,10,23,43.48,103,0,0,57.0,5,14,4.48,4.48,6,54,9.00,0,0,0,0,,0,1,0,0,,,,,,,,David Carr,CarrDa00
11,12,2002,2002-12-01,12,13,23.133,HOU,@,IND,L 3-19,*,20,35,57.14,137,0,0,66.0,6,37,3.91,3.91,1,1,1.00,0,0,0,1,0,0,1,0,0,,,,,,,,David Carr,CarrDa00
12,13,2002,2002-12-08,13,14,23.140,HOU,@,PIT,W 24-6,*,3,10,30.00,33,0,0,40.8,4,23,3.30,3.30,3,6,2.00,0,0,0,2,0,0,2,-1,0,,,,,,,,David Carr,CarrDa00
13,14,2002,2002-12-15,14,15,23.147,HOU,,BAL,L 19-23,*,19,34,55.88,196,0,2,48.2,2,14,5.76,3.12,2,1,0.50,0,0,0,2,0,0,1,-2,0,,,,,,,,David Carr,CarrDa00
14,15,2002,2002-12-22,15,16,23.154,HOU,@,WAS,L 10-26,*,12,31,38.71,112,0,1,36.0,3,13,3.61,2.16,4,20,5.00,0,0,0,3,1,0,2,-11,0,,,,,,,,David Carr,CarrDa00
15,16,2002,2002-12-29,16,17,23.161,HOU,,TEN,L 3-13,*,21,40,52.50,214,0,1,57.7,3,18,5.35,4.23,3,7,2.33,0,0,0,1,0,0,1,0,0,,,,,,,,David Carr,CarrDa00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,David Carr,CarrDa00
17,17,2003,2003-09-07,1,1,24.048,HOU,@,MIA,W 21-20,*,17,31,54.84,266,1,0,94.3,0,0,8.58,9.23,1,2,2.00,0,0,0,0,,0,0,0,0,,,,,,,,David Carr,CarrDa00
18,18,2003,2003-09-14,2,2,24.055,HOU,@,NOR,L 10-31,*,17,36,47.22,213,0,2,42.9,5,30,5.92,3.42,4,14,3.50,1,1,6,0,,0,0,0,0,,,,,,,,David Carr,CarrDa00
