,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1998,1998-09-07,1,1,,DEN,,NWE,W 27-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Brian Griese,GrieBr00
13,14,1998,1998-12-13,14,15,,DEN,@,NYG,L 16-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Brian Griese,GrieBr00
14,15,1998,1998-12-21,15,16,,DEN,@,MIA,L 21-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Brian Griese,GrieBr00
15,16,1998,1998-12-27,16,17,,DEN,,SEA,W 28-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Brian Griese,GrieBr00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Brian Griese,GrieBr00
17,17,1999,1999-09-13,1,1,24.179,DEN,,MIA,L 21-38,*,24,40,60.00,270,3,0,105.2,2,30,6.75,8.25,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,2,1,0,1,-2,0,,Brian Griese,GrieBr00
18,18,1999,1999-09-19,2,2,24.185,DEN,@,KAN,L 10-26,*,11,16,68.75,107,0,1,61.2,2,16,6.69,3.88,2,0,0.00,0,0,0,0,,0,0.0%,,0,0,3,1,0,1,-2,0,,Brian Griese,GrieBr00
19,19,1999,1999-09-26,3,3,24.192,DEN,@,TAM,L 10-13,*,14,29,48.28,132,1,1,58.4,2,12,4.55,3.69,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,2,0,0,2,-3,0,,Brian Griese,GrieBr00
20,20,1999,1999-10-03,4,4,24.199,DEN,,NYJ,L 13-21,*,15,31,48.39,212,0,3,31.3,1,16,6.84,2.48,4,16,4.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,Brian Griese,GrieBr00
21,21,1999,1999-10-10,5,5,24.206,DEN,@,OAK,W 16-13,*,17,29,58.62,234,1,1,81.7,2,13,8.07,7.21,7,16,2.29,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-7,0,,Brian Griese,GrieBr00
22,22,1999,1999-10-17,6,6,24.213,DEN,,GNB,W 31-10,*,19,31,61.29,363,2,1,110.0,0,0,11.71,11.55,5,-4,-0.80,1,0,0,0,,0,0.0%,,1,6,1,0,0,1,0,0,,Brian Griese,GrieBr00
23,23,1999,1999-10-24,7,7,24.220,DEN,@,NWE,L 23-24,*,25,38,65.79,316,1,0,100.3,3,7,8.32,8.84,3,23,7.67,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,Brian Griese,GrieBr00
24,24,1999,1999-10-31,8,8,24.227,DEN,,MIN,L 20-23,*,24,40,60.00,274,1,1,78.5,4,18,6.85,6.23,7,10,1.43,0,0,0,0,,0,0.0%,,0,0,2,0,0,0,-7,0,,Brian Griese,GrieBr00
25,25,1999,1999-11-07,9,9,,DEN,@,SDG,W 33-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Brian Griese,GrieBr00
