,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
147,139,1998,1998-09-06,1,1,31.289,DAL,,ARI,W 38-10,*,22,32,68.75,256,2,2,87.5,0,0,8.00,6.44,5,43,8.60,2,0,0,0,,0,0.0%,,2,12,1,1,0,0,0,0,,Troy Aikman,AikmTr00
148,140,1998,1998-09-13,2,2,31.296,DAL,@,DEN,L 23-42,*,5,12,41.67,88,1,0,95.1,0,0,7.33,9.00,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
149,141,1998,1998-09-21,3,3,,DAL,@,NYG,W 31-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Troy Aikman,AikmTr00
150,142,1998,1998-09-27,4,4,,DAL,,OAK,L 12-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Troy Aikman,AikmTr00
151,143,1998,1998-10-04,5,5,,DAL,@,WAS,W 31-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Troy Aikman,AikmTr00
152,144,1998,1998-10-11,6,6,,DAL,,CAR,W 27-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Troy Aikman,AikmTr00
153,145,1998,1998-10-18,7,7,,DAL,@,CHI,L 12-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Troy Aikman,AikmTr00
154,146,1998,1998-11-02,8,9,31.346,DAL,@,PHI,W 34-0,*,14,26,53.85,171,2,0,100.0,2,8,6.58,8.12,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
155,147,1998,1998-11-08,9,10,31.352,DAL,,NYG,W 16-6,*,16,23,69.57,161,1,0,103.7,0,0,7.00,7.87,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
156,148,1998,1998-11-15,10,11,31.359,DAL,@,ARI,W 35-28,*,14,18,77.78,208,1,0,133.3,0,0,11.56,12.67,1,-2,-2.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
