,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
131,123,1979,1979-11-04,10,10,31.063,PIT,,WAS,W 38-7,*,15,27,55.56,311,4,1,120.5,1,7,11.52,12.81,,,,,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
132,124,1979,1979-11-11,11,11,31.070,PIT,@,KAN,W 30-3,*,17,29,58.62,232,3,2,90.0,1,4,8.00,6.97,2,10,5.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
133,125,1979,1979-11-18,12,12,31.077,PIT,@,SDG,L 7-35,*,18,36,50.00,153,0,5,21.9,3,29,4.25,-2.00,1,3,3.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
134,126,1979,1979-11-25,13,13,31.084,PIT,,CLE,W 33-30,*,30,44,68.18,364,1,1,91.5,1,13,8.27,7.70,3,43,14.33,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
135,127,1979,1979-12-02,14,14,31.091,PIT,,CIN,W 37-17,*,17,29,58.62,339,2,1,108.3,2,15,11.69,11.52,1,2,2.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
136,128,1979,1979-12-10,15,15,31.099,PIT,@,HOU,L 17-20,*,14,29,48.28,237,1,2,59.1,3,19,8.17,5.76,1,20,20.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
137,129,1979,1979-12-16,16,16,31.105,PIT,,BUF,W 28-0,*,14,27,51.85,209,1,2,59.0,1,8,7.74,5.15,2,10,5.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
138,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Terry Bradshaw,BradTe00
139,130,1980,1980-09-07,1,1,32.005,PIT,,HOU,W 31-17,*,12,24,50.00,254,2,2,80.9,2,17,10.58,8.50,2,6,3.00,1,,,,,1,6,0,0,,0,Terry Bradshaw,BradTe00
140,131,1980,1980-09-14,2,2,32.012,PIT,@,BAL,W 20-17,*,20,35,57.14,282,2,1,90.4,1,9,8.06,7.91,4,-2,-0.50,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
