,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 40_level_0,qb,qb_tag
9,10,2016,2016-11-20,10,11,22.037,LAR,,MIA,L 10-14,*,17,31,54.84,134,0,0,65.8,1,9,4.32,4.32,4,11,2.75,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Jared Goff,GoffJa00
10,11,2016,2016-11-27,11,12,22.044,LAR,@,NOR,L 21-49,*,20,32,62.50,214,3,1,100.3,3,36,6.69,7.16,0,0,,0,0,0,1,1,0,0,0,0,53,100%,0,0%,0,0%,,Jared Goff,GoffJa00
11,12,2016,2016-12-04,12,13,22.051,LAR,@,NWE,L 10-26,*,14,32,43.75,161,1,2,43.9,4,35,5.03,2.84,1,-1,-1.00,0,0,0,0,0,0,0,0,0,51,100%,0,0%,0,0%,,Jared Goff,GoffJa00
12,13,2016,2016-12-11,13,14,22.058,LAR,,ATL,L 14-42,*,24,41,58.54,235,0,2,54.4,3,27,5.73,3.54,1,2,2.00,1,1,6,1,1,0,0,0,0,72,100%,0,0%,0,0%,,Jared Goff,GoffJa00
13,14,2016,2016-12-15,14,15,22.062,LAR,@,SEA,L 3-24,*,13,25,52.00,135,0,0,67.9,4,31,5.40,5.40,0,0,,0,0,0,1,0,0,1,0,0,51,85%,0,0%,0,0%,,Jared Goff,GoffJa00
14,15,2016,2016-12-24,15,16,22.071,LAR,,SFO,L 21-22,*,11,24,45.83,90,1,2,35.1,4,12,3.75,0.83,2,4,2.00,0,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,,Jared Goff,GoffJa00
15,16,2016,2017-01-01,16,17,22.079,LAR,,ARI,L 6-44,*,13,20,65.00,120,0,0,81.2,7,72,6.00,6.00,0,0,,0,0,0,2,0,0,0,0,0,44,73%,0,0%,0,0%,,Jared Goff,GoffJa00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Jared Goff,GoffJa00
17,17,2017,2017-09-10,1,1,22.331,LAR,,IND,W 46-9,*,21,29,72.41,306,1,0,117.9,1,8,10.55,11.24,1,2,2.00,0,0,0,0,0,0,0,0,0,60,92%,0,0%,0,0%,,Jared Goff,GoffJa00
18,18,2017,2017-09-17,2,2,22.338,LAR,,WAS,L 20-27,*,14,24,58.33,219,1,1,85.2,2,12,9.13,8.08,3,1,0.33,0,0,0,1,0,0,0,0,0,50,100%,0,0%,0,0%,,Jared Goff,GoffJa00
