,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 42_level_0,qb,qb_tag
12,13,1999,1999-12-12,13,14,,MIN,@,KAN,L 28-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Daunte Culpepper,CulpDa00
13,14,1999,1999-12-20,14,15,,MIN,,GNB,W 24-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Daunte Culpepper,CulpDa00
14,15,1999,1999-12-26,15,16,,MIN,@,NYG,W 34-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Daunte Culpepper,CulpDa00
15,16,1999,2000-01-02,16,17,,MIN,,DET,W 24-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Daunte Culpepper,CulpDa00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Daunte Culpepper,CulpDa00
17,17,2000,2000-09-03,1,1,23.219,MIN,,CHI,W 30-27,*,13,23,56.52,190,0,1,65.5,1,2,8.26,6.30,13,73,5.62,3,0,0,0,,0,0.0%,,,3,18,1,0,0,1,0,0,,Daunte Culpepper,CulpDa00
18,18,2000,2000-09-10,2,2,23.226,MIN,,MIA,W 13-7,*,23,37,62.16,355,1,3,69.1,3,12,9.59,6.49,8,37,4.63,0,0,0,0,,0,0.0%,,,0,0,2,1,0,1,-2,0,,Daunte Culpepper,CulpDa00
19,19,2000,2000-09-17,3,3,23.233,MIN,@,NWE,W 21-13,*,19,28,67.86,177,2,1,93.9,4,16,6.32,6.14,12,59,4.92,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-1,0,,Daunte Culpepper,CulpDa00
20,20,2000,2000-10-01,4,5,23.247,MIN,@,DET,W 31-24,*,17,29,58.62,269,3,0,124.1,2,8,9.28,11.34,7,29,4.14,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Daunte Culpepper,CulpDa00
21,21,2000,2000-10-09,5,6,23.255,MIN,,TAM,W 30-23,*,15,19,78.95,231,2,1,130.5,6,24,12.16,11.89,7,35,5.00,1,0,0,0,,0,0.0%,,,1,6,2,0,0,1,-16,0,,Daunte Culpepper,CulpDa00
