,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East
1,Dallas Cowboys*,12,4,0,.750,384,208,176,11.0,0.0,11.0,5.8,5.2
2,Philadelphia Eagles+,9,7,0,.563,270,250,20,1.3,1.1,2.3,-1.1,3.4
3,Washington Redskins,8,8,0,.500,273,283,-10,-0.6,0.2,-0.4,-1.1,0.7
4,St. Louis Cardinals,6,10,0,.375,248,296,-48,-3.0,0.5,-2.5,-2.6,0.0
5,New York Giants,6,10,0,.375,264,298,-34,-2.1,-0.4,-2.5,-1.1,-1.3
6,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central
7,Minnesota Vikings*,8,7,1,.531,294,306,-12,-0.8,0.6,-0.2,1.0,-1.1
8,Green Bay Packers,8,7,1,.531,249,269,-20,-1.3,0.7,-0.6,-2.2,1.6
9,Detroit Lions,7,9,0,.438,290,300,-10,-0.6,-1.2,-1.8,-0.1,-1.7
10,Chicago Bears,7,9,0,.438,253,274,-21,-1.3,-1.1,-2.4,-2.7,0.3
11,Tampa Bay Buccaneers,5,11,0,.313,241,259,-18,-1.1,-2.2,-3.3,-4.1,0.8
12,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West
13,Los Angeles Rams*,12,4,0,.750,316,245,71,4.4,-1.2,3.2,1.3,1.9
14,Atlanta Falcons+,9,7,0,.563,240,290,-50,-3.1,-1.5,-4.6,-3.7,-0.9
15,New Orleans Saints,7,9,0,.438,281,298,-17,-1.1,-0.6,-1.7,-0.5,-1.2
16,San Francisco 49ers,2,14,0,.125,219,350,-131,-8.2,-0.9,-9.1,-4.6,-4.5
