,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East
1,New York Giants*,13,3,.813,335,211,124,7.8,-0.1,7.7,0.0,7.6
2,Philadelphia Eagles+,10,6,.625,396,299,97,6.1,-0.5,5.6,4.5,1.1
3,Washington Redskins+,10,6,.625,381,301,80,5.0,0.4,5.4,4.6,0.8
4,Dallas Cowboys,7,9,.438,244,308,-64,-4.0,0.3,-3.7,-4.8,1.1
5,Phoenix Cardinals,5,11,.313,268,396,-128,-8.0,1.3,-6.7,-1.9,-4.8
6,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central
7,Chicago Bears*,11,5,.688,348,280,68,4.3,-0.8,3.4,0.1,3.3
8,Tampa Bay Buccaneers,6,10,.375,264,367,-103,-6.4,-0.7,-7.1,-4.0,-3.2
9,Detroit Lions,6,10,.375,373,413,-40,-2.5,0.9,-1.6,4.2,-5.9
10,Green Bay Packers,6,10,.375,271,347,-76,-4.8,0.6,-4.1,-3.7,-0.4
11,Minnesota Vikings,6,10,.375,351,326,25,1.6,0.9,2.4,2.6,-0.2
12,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West
13,San Francisco 49ers*,14,2,.875,353,239,114,7.1,-1.4,5.8,1.2,4.6
14,New Orleans Saints+,8,8,.500,274,275,-1,-0.1,-1.2,-1.3,-4.7,3.4
15,Los Angeles Rams,5,11,.313,345,412,-67,-4.2,-0.1,-4.2,2.3,-6.5
16,Atlanta Falcons,5,11,.313,348,365,-17,-1.1,-1.1,-2.1,0.9,-3.1
