,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East
1,Washington Redskins*,10,6,.625,443,377,66,4.1,-1.3,2.9,6.8,-3.9
2,Dallas Cowboys+,8,8,.500,352,276,76,4.8,-1.6,3.1,-0.3,3.4
3,New York Giants,7,9,.438,299,358,-59,-3.7,0.7,-3.0,-1.8,-1.2
4,Arizona Cardinals,6,10,.375,245,382,-137,-8.6,-0.2,-8.8,-5.5,-3.2
5,Philadelphia Eagles,5,11,.313,272,357,-85,-5.3,1.1,-4.2,-3.3,-0.9
6,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central
7,Tampa Bay Buccaneers*,11,5,.688,270,235,35,2.2,0.4,2.6,-4.1,6.7
8,Minnesota Vikings+,10,6,.625,399,335,64,4.0,0.4,4.4,5.2,-0.8
9,Detroit Lions+,8,8,.500,322,323,-1,-0.1,2.0,1.9,0.1,1.8
10,Green Bay Packers,8,8,.500,357,341,16,1.0,0.6,1.6,2.5,-0.9
11,Chicago Bears,6,10,.375,272,341,-69,-4.3,2.3,-2.0,-3.0,1.0
12,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West
13,St. Louis Rams*,13,3,.813,526,242,284,17.8,-5.9,11.9,8.7,3.2
14,Carolina Panthers,8,8,.500,421,381,40,2.5,-3.6,-1.1,3.0,-4.0
15,Atlanta Falcons,5,11,.313,285,380,-95,-5.9,-1.1,-7.1,-4.0,-3.0
16,San Francisco 49ers,4,12,.250,295,453,-158,-9.9,-1.5,-11.3,-4.5,-6.8
17,New Orleans Saints,3,13,.188,260,434,-174,-10.9,-1.3,-12.1,-5.3,-6.9
