,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East
1,Dallas Cowboys*,11,3,0,.786,406,222,184,13.1,-3.3,9.9,8.3,1.6
2,Washington Redskins+,9,4,1,.692,276,190,86,6.1,-1.0,5.1,-0.6,5.8
3,Philadelphia Eagles,6,7,1,.462,221,302,-81,-5.8,1.5,-4.3,-2.7,-1.6
4,St. Louis Cardinals,4,9,1,.308,231,279,-48,-3.4,-0.8,-4.2,-4.0,-0.2
5,New York Giants,4,10,0,.286,228,362,-134,-9.6,1.6,-8.0,-1.7,-6.3
6,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central
7,Minnesota Vikings*,11,3,0,.786,245,139,106,7.6,-1.1,6.5,-3.4,9.9
8,Detroit Lions,7,6,1,.538,341,286,55,3.9,0.2,4.1,6.5,-2.4
9,Chicago Bears,6,8,0,.429,185,276,-91,-6.5,3.1,-3.4,-4.4,1.1
10,Green Bay Packers,4,8,2,.333,274,298,-24,-1.7,0.7,-1.0,1.4,-2.3
11,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West
12,San Francisco 49ers*,9,5,0,.643,300,216,84,6.0,0.3,6.3,2.4,3.8
13,Los Angeles Rams,8,5,1,.615,313,260,53,3.8,2.8,6.6,4.2,2.4
14,Atlanta Falcons,7,6,1,.538,274,277,-3,-0.2,1.5,1.3,0.3,1.0
15,New Orleans Saints,4,8,2,.333,266,347,-81,-5.8,3.0,-2.7,1.4,-4.1
