,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East
1,New York Giants*,12,4,0,.750,348,252,96,6.0,0.4,6.4,1.9,4.6
2,Philadelphia Eagles+,11,5,0,.688,342,274,68,4.3,0.8,5.1,1.9,3.2
3,Washington Redskins,10,6,0,.625,386,308,78,4.9,-0.9,4.0,3.8,0.2
4,Phoenix Cardinals,5,11,0,.313,258,377,-119,-7.4,0.3,-7.1,-4.0,-3.1
5,Dallas Cowboys,1,15,0,.063,204,393,-189,-11.8,1.4,-10.4,-7.6,-2.8
6,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central
7,Minnesota Vikings*,10,6,0,.625,351,275,76,4.8,-0.4,4.3,0.2,4.1
8,Green Bay Packers,10,6,0,.625,362,356,6,0.4,-1.3,-1.0,1.0,-2.0
9,Detroit Lions,7,9,0,.438,312,364,-52,-3.3,-0.2,-3.5,-1.7,-1.8
10,Chicago Bears,6,10,0,.375,358,377,-19,-1.2,1.2,0.0,1.8,-1.8
11,Tampa Bay Buccaneers,5,11,0,.313,320,419,-99,-6.2,1.1,-5.1,-0.4,-4.7
12,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West
13,San Francisco 49ers*,14,2,0,.875,442,253,189,11.8,-1.1,10.7,5.8,4.9
14,Los Angeles Rams+,11,5,0,.688,426,344,82,5.1,-0.5,4.6,5.7,-1.1
15,New Orleans Saints,9,7,0,.563,386,301,85,5.3,-0.7,4.6,2.3,2.2
16,Atlanta Falcons,3,13,0,.188,279,437,-158,-9.9,0.8,-9.1,-3.2,-5.9
