,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East
1,Dallas Cowboys*,12,4,.750,414,248,166,10.4,-0.3,10.1,5.6,4.5
2,New York Giants,9,7,.563,279,305,-26,-1.6,-0.1,-1.7,-2.7,1.0
3,Arizona Cardinals,8,8,.500,235,267,-32,-2.0,-0.3,-2.3,-5.6,3.3
4,Philadelphia Eagles,7,9,.438,308,308,0,0.0,0.6,0.6,-0.4,1.0
5,Washington Redskins,3,13,.188,320,412,-92,-5.8,-0.3,-6.1,0.3,-6.4
6,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central
7,Minnesota Vikings*,10,6,.625,356,314,42,2.6,0.6,3.2,2.4,0.8
8,Green Bay Packers+,9,7,.563,382,287,95,5.9,0.1,6.0,3.8,2.2
9,Detroit Lions+,9,7,.563,357,342,15,0.9,1.4,2.4,2.8,-0.4
10,Chicago Bears+,9,7,.563,271,307,-36,-2.3,0.3,-1.9,-3.2,1.3
11,Tampa Bay Buccaneers,6,10,.375,251,351,-100,-6.3,0.0,-6.2,-5.4,-0.8
12,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West
13,San Francisco 49ers*,13,3,.813,505,296,209,13.1,-1.4,11.6,9.9,1.7
14,New Orleans Saints,7,9,.438,348,407,-59,-3.7,0.1,-3.6,1.0,-4.6
15,Atlanta Falcons,7,9,.438,317,385,-68,-4.3,0.0,-4.3,-1.2,-3.1
16,Los Angeles Rams,4,12,.250,286,365,-79,-4.9,-0.3,-5.3,-3.2,-2.1
