,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East
1,Washington Football Team*,7,9,0,.438,335,329,6,0.4,-1.2,-0.8,-4.1,3.2
2,New York Giants,6,10,0,.375,280,357,-77,-4.8,0.4,-4.4,-6.7,2.3
3,Dallas Cowboys,6,10,0,.375,395,473,-78,-4.9,-0.2,-5.1,1.0,-6.1
4,Philadelphia Eagles,4,11,1,.281,334,418,-84,-5.3,0.8,-4.4,-2.8,-1.6
5,NFC North,NFC North,NFC North,NFC North,NFC North,NFC North,NFC North,NFC North,NFC North,NFC North,NFC North,NFC North,NFC North
6,Green Bay Packers*,13,3,0,.813,509,369,140,8.8,-1.1,7.7,5.9,1.8
7,Chicago Bears+,8,8,0,.500,372,370,2,0.1,0.1,0.2,-2.2,2.4
8,Minnesota Vikings,7,9,0,.438,430,475,-45,-2.8,0.4,-2.4,1.3,-3.8
9,Detroit Lions,5,11,0,.313,377,519,-142,-8.9,1.2,-7.7,-1.0,-6.7
10,NFC South,NFC South,NFC South,NFC South,NFC South,NFC South,NFC South,NFC South,NFC South,NFC South,NFC South,NFC South,NFC South
11,New Orleans Saints*,12,4,0,.750,482,337,145,9.1,0.5,9.6,5.1,4.5
12,Tampa Bay Buccaneers+,11,5,0,.688,492,355,137,8.6,0.8,9.4,6.5,2.8
13,Carolina Panthers,5,11,0,.313,350,402,-52,-3.3,2.2,-1.1,-2.4,1.3
14,Atlanta Falcons,4,12,0,.250,396,414,-18,-1.1,1.9,0.7,-0.1,0.8
15,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West
16,Seattle Seahawks*,12,4,0,.750,459,371,88,5.5,0.0,5.5,4.8,0.7
17,Los Angeles Rams+,10,6,0,.625,372,296,76,4.8,0.7,5.4,-0.8,6.2
18,Arizona Cardinals,8,8,0,.500,410,367,43,2.7,-0.1,2.6,1.5,1.0
19,San Francisco 49ers,6,10,0,.375,376,390,-14,-0.9,1.7,0.8,0.2,0.7
