,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East
1,Dallas Cowboys*,10,6,.625,381,275,106,6.6,-3.1,3.5,0.9,2.6
2,Arizona Cardinals+,9,7,.563,325,378,-53,-3.3,-4.1,-7.4,-1.6,-5.8
3,New York Giants,8,8,.500,287,309,-22,-1.4,-1.9,-3.2,-4.3,1.1
4,Washington Redskins,6,10,.375,319,421,-102,-6.4,-1.1,-7.5,-1.5,-6.0
5,Philadelphia Eagles,3,13,.188,161,344,-183,-11.4,-1.3,-12.8,-12.3,-0.5
6,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central
7,Minnesota Vikings*,15,1,.938,556,296,260,16.3,-1.4,14.9,13.2,1.6
8,Green Bay Packers+,11,5,.688,408,319,89,5.6,-0.6,5.0,4.3,0.7
9,Tampa Bay Buccaneers,8,8,.500,314,295,19,1.2,0.1,1.3,-2.3,3.5
10,Detroit Lions,5,11,.313,306,378,-72,-4.5,1.1,-3.4,-1.9,-1.5
11,Chicago Bears,4,12,.250,276,368,-92,-5.8,2.0,-3.7,-3.4,-0.3
12,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West
13,Atlanta Falcons*,14,2,.875,442,289,153,9.6,0.4,10.0,7.0,3.0
14,San Francisco 49ers+,12,4,.750,479,328,151,9.4,1.2,10.6,8.8,1.8
15,New Orleans Saints,6,10,.375,305,359,-54,-3.4,3.5,0.1,-1.5,1.6
16,Carolina Panthers,4,12,.250,336,413,-77,-4.8,3.5,-1.3,1.0,-2.4
17,St. Louis Rams,4,12,.250,285,378,-93,-5.8,3.5,-2.3,-2.3,0.0
