,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East
1,Dallas Cowboys*,12,4,.750,376,229,147,9.2,0.4,9.6,4.9,4.7
2,New York Giants+,11,5,.688,288,205,83,5.2,-0.5,4.6,-0.8,5.4
3,Philadelphia Eagles,8,8,.500,293,315,-22,-1.4,1.8,0.4,0.7,-0.3
4,Phoenix Cardinals,7,9,.438,326,269,57,3.6,0.4,3.9,1.9,2.1
5,Washington Redskins,4,12,.250,230,345,-115,-7.2,0.7,-6.5,-3.8,-2.7
6,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central
7,Detroit Lions*,10,6,.625,298,292,6,0.4,-0.7,-0.3,-0.3,0.0
8,Minnesota Vikings+,9,7,.563,277,290,-13,-0.8,0.7,-0.1,-1.3,1.2
9,Green Bay Packers+,9,7,.563,340,282,58,3.6,-0.4,3.2,2.7,0.5
10,Chicago Bears,7,9,.438,234,230,4,0.3,-0.5,-0.2,-4.6,4.3
11,Tampa Bay Buccaneers,5,11,.313,237,376,-139,-8.7,1.1,-7.6,-3.3,-4.3
12,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West
13,San Francisco 49ers*,10,6,.625,473,295,178,11.1,-1.5,9.7,9.9,-0.3
14,New Orleans Saints,8,8,.500,317,343,-26,-1.6,0.3,-1.3,0.7,-2.1
15,Atlanta Falcons,6,10,.375,316,385,-69,-4.3,-0.1,-4.4,0.8,-5.2
16,Los Angeles Rams,5,11,.313,221,367,-146,-9.1,0.7,-8.4,-5.0,-3.4
