,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East
1,Philadelphia Eagles*,11,5,.688,343,208,135,8.4,-0.7,7.7,0.9,6.8
2,Washington Redskins,8,8,.500,256,303,-47,-2.9,-0.7,-3.7,-4.0,0.4
3,New York Giants,7,9,.438,294,321,-27,-1.7,-0.1,-1.8,-1.8,0.0
4,Arizona Cardinals,7,9,.438,295,343,-48,-3.0,-1.2,-4.2,-1.5,-2.6
5,Dallas Cowboys,5,11,.313,246,338,-92,-5.8,-0.2,-6.0,-4.5,-1.5
6,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central
7,Chicago Bears*,13,3,.813,338,203,135,8.4,-0.5,7.9,0.9,7.1
8,Green Bay Packers+,12,4,.750,390,266,124,7.8,-1.1,6.6,4.0,2.6
9,Tampa Bay Buccaneers+,9,7,.563,324,280,44,2.8,1.3,4.0,0.7,3.3
10,Minnesota Vikings,5,11,.313,290,390,-100,-6.3,1.5,-4.7,-0.8,-3.9
11,Detroit Lions,2,14,.125,270,424,-154,-9.6,2.4,-7.2,-2.0,-5.2
12,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West
13,St. Louis Rams*,14,2,.875,503,273,230,14.4,-1.0,13.4,10.4,2.9
14,San Francisco 49ers+,12,4,.750,409,282,127,7.9,-1.1,6.8,4.2,2.7
15,New Orleans Saints,7,9,.438,333,409,-76,-4.8,-0.1,-4.8,-0.1,-4.7
16,Atlanta Falcons,7,9,.438,291,377,-86,-5.4,0.7,-4.7,-2.7,-2.0
17,Carolina Panthers,1,15,.063,253,410,-157,-9.8,0.9,-8.9,-4.6,-4.4
