,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East
1,Dallas Cowboys*,12,4,.750,435,291,144,9.0,0.7,9.7,6.2,3.5
2,Philadelphia Eagles+,10,6,.625,318,338,-20,-1.3,-0.5,-1.7,-1.9,0.2
3,Washington Redskins,6,10,.375,326,359,-33,-2.1,0.1,-1.9,-0.8,-1.2
4,New York Giants,5,11,.313,290,340,-50,-3.1,1.6,-1.5,-2.6,1.1
5,Arizona Cardinals,4,12,.250,275,422,-147,-9.2,1.7,-7.5,-3.5,-4.0
6,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central
7,Green Bay Packers*,11,5,.688,404,314,90,5.6,0.4,6.0,3.5,2.5
8,Detroit Lions+,10,6,.625,436,336,100,6.3,0.6,6.9,5.9,1.0
9,Chicago Bears,9,7,.563,392,360,32,2.0,0.3,2.3,3.1,-0.8
10,Minnesota Vikings,8,8,.500,412,385,27,1.7,2.0,3.7,5.1,-1.4
11,Tampa Bay Buccaneers,7,9,.438,238,335,-97,-6.1,1.1,-5.0,-6.9,1.9
12,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West
13,San Francisco 49ers*,11,5,.688,457,258,199,12.4,-0.7,11.8,6.5,5.3
14,Atlanta Falcons+,9,7,.563,362,349,13,0.8,-0.7,0.1,0.9,-0.9
15,St. Louis Rams,7,9,.438,309,418,-109,-6.8,0.4,-6.4,-1.8,-4.6
16,Carolina Panthers,7,9,.438,289,325,-36,-2.3,-1.5,-3.8,-4.1,0.3
17,New Orleans Saints,7,9,.438,319,348,-29,-1.8,-0.3,-2.2,-1.7,-0.4
