,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East
1,Dallas Cowboys*,10,6,.625,286,250,36,2.3,0.1,2.4,-2.9,5.3
2,Philadelphia Eagles+,10,6,.625,363,341,22,1.4,-0.8,0.6,2.1,-1.6
3,Washington Redskins,9,7,.563,364,312,52,3.3,-1.4,1.8,2.3,-0.4
4,Arizona Cardinals,7,9,.438,300,397,-97,-6.1,-1.4,-7.5,-1.7,-5.8
5,New York Giants,6,10,.375,242,297,-55,-3.4,-0.7,-4.1,-5.7,1.5
6,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central
7,Green Bay Packers*,13,3,.813,456,210,246,15.4,-0.1,15.3,8.7,6.6
8,Minnesota Vikings+,9,7,.563,298,315,-17,-1.1,0.9,-0.1,-0.9,0.7
9,Chicago Bears,7,9,.438,283,305,-22,-1.4,1.1,-0.2,-1.4,1.2
10,Tampa Bay Buccaneers,6,10,.375,221,293,-72,-4.5,1.5,-3.0,-5.9,2.9
11,Detroit Lions,5,11,.313,302,368,-66,-4.1,1.2,-2.9,-0.4,-2.5
12,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West
13,Carolina Panthers*,12,4,.750,367,218,149,9.3,-2.3,7.1,1.4,5.6
14,San Francisco 49ers+,12,4,.750,398,257,141,8.8,-0.8,8.0,3.7,4.3
15,St. Louis Rams,6,10,.375,303,409,-106,-6.6,0.3,-6.3,-1.7,-4.6
16,Atlanta Falcons,3,13,.188,309,461,-152,-9.5,0.4,-9.1,-0.2,-8.9
17,New Orleans Saints,3,13,.188,229,339,-110,-6.9,-1.2,-8.1,-7.1,-1.0
