,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East
1,New York Giants*,10,5,1,.656,307,265,42,2.6,-1.1,1.5,-1.8,3.3
2,Washington Redskins,8,7,1,.531,327,289,38,2.4,-1.1,1.3,-0.6,1.8
3,Philadelphia Eagles,6,9,1,.406,317,372,-55,-3.4,0.5,-3.0,-0.7,-2.3
4,Dallas Cowboys,6,10,0,.375,304,314,-10,-0.6,-0.1,-0.8,-1.7,1.0
5,Arizona Cardinals,4,12,0,.250,283,379,-96,-6.0,-0.4,-6.4,-2.6,-3.8
6,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central
7,Green Bay Packers*,13,3,0,.813,422,282,140,8.8,-1.1,7.7,5.3,2.4
8,Tampa Bay Buccaneers+,10,6,0,.625,299,263,36,2.3,0.5,2.7,-2.4,5.1
9,Detroit Lions+,9,7,0,.563,379,306,73,4.6,-0.6,4.0,3.0,0.9
10,Minnesota Vikings+,9,7,0,.563,354,359,-5,-0.3,0.2,-0.1,1.7,-1.8
11,Chicago Bears,4,12,0,.250,263,421,-158,-9.9,1.4,-8.5,-3.1,-5.3
12,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West
13,San Francisco 49ers*,13,3,0,.813,375,265,110,6.9,-1.8,5.1,2.4,2.7
14,Carolina Panthers,7,9,0,.438,265,314,-49,-3.1,-0.5,-3.6,-4.4,0.8
15,Atlanta Falcons,7,9,0,.438,320,361,-41,-2.6,-1.6,-4.2,-1.2,-2.9
16,New Orleans Saints,6,10,0,.375,237,327,-90,-5.6,-1.8,-7.4,-6.8,-0.6
17,St. Louis Rams,5,11,0,.313,299,359,-60,-3.8,-0.2,-4.0,-1.8,-2.2
