,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 48_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
206,195,2020,2020-09-27,3,3,35.133,ATL,,CHI,L 26-30,*,19,38,50.00,238,1,1,67.7,2,11,6.26,5.61,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,,Matt Ryan,RyanMa00
207,196,2020,2020-10-05,4,4,35.141,ATL,@,GNB,L 16-30,*,28,39,71.79,285,0,0,92.4,4,36,7.31,7.31,2,10,5.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Matt Ryan,RyanMa00
208,197,2020,2020-10-11,5,5,35.147,ATL,,CAR,L 16-23,*,21,37,56.76,226,0,1,63.6,2,19,6.11,4.89,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,65,100%,0,0%,0,0%,,Matt Ryan,RyanMa00
209,198,2020,2020-10-18,6,6,35.154,ATL,@,MIN,W 40-23,*,30,40,75.00,371,4,0,136.6,2,8,9.28,11.28,4,8,2.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,80,100%,0,0%,0,0%,,Matt Ryan,RyanMa00
210,199,2020,2020-10-25,7,7,35.161,ATL,,DET,L 22-23,*,31,42,73.81,338,1,0,105.1,2,16,8.05,8.52,0,0,,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,75,100%,0,0%,0,0%,,Matt Ryan,RyanMa00
211,200,2020,2020-10-29,8,8,35.165,ATL,@,CAR,W 25-17,*,21,30,70.00,281,0,1,85.6,2,11,9.37,7.87,6,27,4.50,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Matt Ryan,RyanMa00
212,201,2020,2020-11-08,9,9,35.175,ATL,,DEN,W 34-27,*,25,35,71.43,284,3,1,112.1,2,13,8.11,8.54,3,10,3.33,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Matt Ryan,RyanMa00
213,202,2020,2020-11-22,10,11,35.189,ATL,@,NOR,L 9-24,*,19,37,51.35,232,0,2,48.5,8,36,6.27,3.84,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Matt Ryan,RyanMa00
214,203,2020,2020-11-29,11,12,35.196,ATL,,LVR,W 43-6,*,22,39,56.41,185,2,1,75.3,1,6,4.74,4.62,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,69,88%,0,0%,0,0%,,Matt Ryan,RyanMa00
215,204,2020,2020-12-06,12,13,35.203,ATL,,NOR,L 16-21,*,19,39,48.72,273,1,0,80.4,3,11,7.00,7.51,0,0,,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,67,100%,0,0%,0,0%,,Matt Ryan,RyanMa00
216,205,2020,2020-12-13,13,14,35.210,ATL,@,LAC,L 17-20,*,21,32,65.63,224,1,3,57.3,2,14,7.00,3.41,1,3,3.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,,Matt Ryan,RyanMa00
217,206,2020,2020-12-20,14,15,35.217,ATL,,TAM,L 27-31,*,34,49,69.39,356,3,0,110.6,3,24,7.27,8.49,1,16,16.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,,Matt Ryan,RyanMa00
218,207,2020,2020-12-27,15,16,35.224,ATL,@,KAN,L 14-17,*,27,35,77.14,300,2,0,121.1,4,23,8.57,9.71,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,68,100%,0,0%,0,0%,,Matt Ryan,RyanMa00
219,208,2020,2021-01-03,16,17,35.231,ATL,@,TAM,L 27-44,*,29,44,65.91,265,2,0,97.3,1,7,6.02,6.93,3,1,0.33,1,0,0,0,,0,0.0%,,,1,6,2,1,0,0,-3,0,72,100%,0,0%,0,0%,,Matt Ryan,RyanMa00
220,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Matt Ryan,RyanMa00
221,209,2021,2021-09-12,1,1,36.118,ATL,,PHI,L 6-32,*,21,35,60.00,164,0,0,71.6,3,28,4.69,4.69,2,8,4.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,70,97%,0,0%,0,0%,,Matt Ryan,RyanMa00
222,210,2021,2021-09-19,2,2,36.125,ATL,@,TAM,L 25-48,*,35,46,76.09,300,2,3,80.0,1,7,6.52,4.46,2,3,1.50,0,0,0,0,,0,0.0%,,1,0,2,0,0,0,0,0,0,66,92%,0,0%,0,0%,,Matt Ryan,RyanMa00
223,211,2021,2021-09-26,3,3,36.132,ATL,@,NYG,W 17-14,*,27,36,75.00,243,2,0,111.2,3,16,6.75,7.86,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,62,100%,0,0%,0,0%,,Matt Ryan,RyanMa00
224,212,2021,2021-10-03,4,4,36.139,ATL,,WAS,L 30-34,*,25,42,59.52,283,4,0,111.5,1,8,6.74,8.64,1,17,17.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,,Matt Ryan,RyanMa00
225,213,2021,2021-10-10,5,5,36.146,ATL,,NYJ,W 27-20,*,33,45,73.33,342,2,0,109.7,0,0,7.60,8.49,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,78,100%,0,0%,0,0%,,Matt Ryan,RyanMa00
