,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
111,103,1958,1958-10-12,3,3,32.211,PHI,@,PIT,L 3-24,*,16,37,43.24,148,0,3,21.0,,,4.00,0.35,,,,,0,0,0,0,,,Norm Van Brocklin,VanBNo00
112,104,1958,1958-10-19,4,4,32.218,PHI,,SFO,L 24-30,*,18,33,54.55,208,2,1,81.4,1,6,6.30,6.15,1,1,1.00,0,0,0,0,0,,,Norm Van Brocklin,VanBNo00
113,105,1958,1958-10-26,5,5,32.225,PHI,@,GNB,L 35-38,*,22,39,56.41,293,3,2,84.7,,,7.51,6.74,,,,,0,0,0,0,,,Norm Van Brocklin,VanBNo00
114,106,1958,1958-11-02,6,6,32.232,PHI,@,CRD,T 21-21,*,25,48,52.08,292,2,3,58.7,1,11,6.08,4.10,1,0,0.00,0,0,0,0,0,,,Norm Van Brocklin,VanBNo00
115,107,1958,1958-11-09,7,7,32.239,PHI,,PIT,L 24-31,*,18,34,52.94,187,1,0,78.9,1,8,5.50,6.09,,,,,0,0,0,0,,,Norm Van Brocklin,VanBNo00
116,108,1958,1958-11-16,8,8,32.246,PHI,,CRD,W 49-21,*,19,29,65.52,318,2,1,111.0,,,10.97,10.79,,,,,0,0,0,0,,,Norm Van Brocklin,VanBNo00
117,109,1958,1958-11-23,9,9,32.253,PHI,@,CLE,L 14-28,*,18,29,62.07,210,1,0,95.5,,,7.24,7.93,1,-1,-1.00,0,0,0,0,0,,,Norm Van Brocklin,VanBNo00
118,110,1958,1958-11-30,10,10,32.260,PHI,@,NYG,L 10-24,*,17,29,58.62,212,1,3,53.3,,,7.31,3.34,,,,,0,0,0,0,,,Norm Van Brocklin,VanBNo00
119,111,1958,1958-12-07,11,11,32.267,PHI,,CLE,L 14-21,*,15,27,55.56,154,1,2,53.6,1,14,5.70,3.11,,,,,0,0,0,0,,,Norm Van Brocklin,VanBNo00
120,112,1958,1958-12-14,12,12,32.274,PHI,@,WAS,L 0-20,*,2,10,20.00,33,0,2,1.2,,,3.30,-5.70,,,,,0,0,0,0,,,Norm Van Brocklin,VanBNo00
121,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Norm Van Brocklin,VanBNo00
122,113,1959,1959-09-27,1,1,33.196,PHI,@,SFO,L 14-24,*,21,40,52.50,174,2,0,80.6,,,4.35,5.35,,,,,0,0,0,0,,,Norm Van Brocklin,VanBNo00
123,114,1959,1959-10-04,2,2,33.203,PHI,,NYG,W 49-21,*,12,20,60.00,196,2,0,126.2,,,9.80,11.80,3,0,0.00,1,1,6,0,0,,,Norm Van Brocklin,VanBNo00
124,115,1959,1959-10-11,3,3,33.210,PHI,,PIT,W 28-24,*,13,27,48.15,172,1,2,50.2,,,6.37,3.78,2,1,0.50,1,1,6,0,0,,,Norm Van Brocklin,VanBNo00
