,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,PD,,
27,24,1949,1949-09-23,1,1,29.059,RAM,,DET,W 27-24,,7,19,36.84,108,1,3,34.4,,,5.68,-0.37,,,,,,,,,0,0,,,,,Bob Waterfield,WateBo01
28,25,1949,1949-10-02,2,2,29.068,RAM,@,GNB,W 48-7,,6,14,42.86,84,0,0,62.8,,,6.00,6.00,,,,,,,,,0,0,,,,,Bob Waterfield,WateBo01
29,26,1949,1949-10-09,3,3,29.075,RAM,@,CHI,W 31-16,,16,33,48.48,211,3,2,74.2,,,6.39,5.48,,,,,,,,,0,0,,,,,Bob Waterfield,WateBo01
30,27,1949,1949-10-16,4,4,29.082,RAM,@,DET,W 21-10,,14,31,45.16,208,1,3,38.8,,,6.71,3.00,,,,,,,,,0,0,,,,,Bob Waterfield,WateBo01
31,28,1949,1949-10-23,5,5,29.089,RAM,,GNB,W 35-7,,6,12,50.00,77,1,3,58.7,,,6.42,-3.17,1,-5,-5.00,0,,,,,0,0,,,,,Bob Waterfield,WateBo01
32,29,1949,1949-10-30,6,6,29.096,RAM,,CHI,W 27-24,,24,42,57.14,303,1,3,57.9,,,7.21,4.48,2,2,1.00,0,,,,,0,0,,,,,Bob Waterfield,WateBo01
33,30,1949,1949-11-06,7,7,29.103,RAM,@,PHI,L 14-38,,17,28,60.71,162,1,1,73.8,,,5.79,4.89,,,,,,,,,0,0,,,,,Bob Waterfield,WateBo01
34,31,1949,1949-11-13,8,8,29.110,RAM,@,PIT,T 7-7,,10,19,52.63,109,0,2,30.3,,,5.74,1.00,1,-2,-2.00,0,,,,,0,0,,,,,Bob Waterfield,WateBo01
35,32,1949,1949-11-20,9,9,29.117,RAM,@,CRD,T 28-28,,13,29,44.83,182,1,2,48.3,,,6.28,3.86,,,,,,,,,0,0,,,,,Bob Waterfield,WateBo01
36,33,1949,1949-11-27,10,10,29.124,RAM,,NYY,W 42-20,,15,24,62.50,267,5,0,140.1,,,11.13,15.29,,,,,,,,,0,0,,,,,Bob Waterfield,WateBo01
37,34,1949,1949-12-04,11,11,29.131,RAM,,CRD,L 27-31,,15,28,53.57,222,1,4,52.1,,,7.93,2.21,1,1,1.00,0,,,,,0,0,,,,,Bob Waterfield,WateBo01
