,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 54_level_0,qb,qb_tag
82,79,2013,2013-12-22,15,16,25.318,DET,,NYG,L 20-23,*,25,42,59.52,222,0,2,53.9,2,15,5.29,3.14,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
83,80,2013,2013-12-29,16,17,25.325,DET,@,MIN,L 13-14,*,22,33,66.67,217,1,0,95.1,5,35,6.58,7.18,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
84,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Matthew Stafford,StafMa00
85,81,2014,2014-09-08,1,1,26.213,DET,,NYG,W 35-14,*,22,32,68.75,346,2,0,125.3,1,5,10.81,12.06,4,2,0.50,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
86,82,2014,2014-09-14,2,2,26.219,DET,@,CAR,L 7-24,*,27,48,56.25,291,1,1,72.5,4,38,6.06,5.54,1,8,8.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,72,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
87,83,2014,2014-09-21,3,3,26.226,DET,,GNB,W 19-7,*,22,34,64.71,246,0,2,61.6,2,8,7.24,4.59,6,8,1.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,75,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
88,84,2014,2014-09-28,4,4,26.233,DET,@,NYJ,W 24-17,*,24,34,70.59,293,2,0,116.4,4,21,8.62,9.79,6,8,1.33,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
89,85,2014,2014-10-05,5,5,26.240,DET,,BUF,L 14-17,*,18,31,58.06,231,1,1,78.8,6,27,7.45,6.65,3,8,2.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,0,0,1,0,0,62,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
90,86,2014,2014-10-12,6,6,26.247,DET,@,MIN,W 17-3,*,19,33,57.58,185,1,0,83.5,4,30,5.61,6.21,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
91,87,2014,2014-10-19,7,7,26.254,DET,,NOR,W 24-23,*,27,40,67.50,299,2,2,85.3,3,14,7.48,6.23,2,1,0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
92,88,2014,2014-10-26,8,8,26.261,DET,@,ATL,W 22-21,*,24,47,51.06,325,2,1,78.8,0,0,6.91,6.81,3,9,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,0,0,0,-5,0,75,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
93,89,2014,2014-11-09,9,10,26.275,DET,,MIA,W 20-16,*,25,40,62.50,280,2,1,89.6,3,19,7.00,6.88,2,-1,-0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
94,90,2014,2014-11-16,10,11,26.282,DET,@,ARI,L 6-14,*,18,30,60.00,183,0,1,63.6,4,19,6.10,4.60,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,56,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
95,91,2014,2014-11-23,11,12,26.289,DET,@,NWE,L 9-34,*,18,46,39.13,264,0,1,49.5,2,20,5.74,4.76,3,18,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,80,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
96,92,2014,2014-11-27,12,13,26.293,DET,,CHI,W 34-17,*,34,45,75.56,390,2,0,116.0,2,7,8.67,9.56,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,73,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
97,93,2014,2014-12-07,13,14,26.303,DET,,TAM,W 34-17,*,26,34,76.47,311,3,0,133.3,4,17,9.15,10.91,3,-2,-0.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,69,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
