,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
9,10,2015,2015-11-22,10,11,21.320,TAM,@,PHI,W 45-17,*,19,29,65.52,246,5,0,131.6,1,8,8.48,11.93,4,0,0.00,0,,0,0,1,0,0,0,0,0,78,100%,0,0%,0,0%,,Jameis Winston,WinsJa00
10,11,2015,2015-11-29,11,12,21.327,TAM,@,IND,L 12-25,*,20,36,55.56,245,1,1,74.4,5,33,6.81,6.11,3,27,9.00,0,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Jameis Winston,WinsJa00
11,12,2015,2015-12-06,12,13,21.334,TAM,,ATL,W 23-19,*,18,27,66.67,227,1,1,89.6,1,5,8.41,7.48,5,15,3.00,1,,1,6,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Jameis Winston,WinsJa00
12,13,2015,2015-12-13,13,14,21.341,TAM,,NOR,L 17-24,*,18,32,56.25,182,1,0,83.1,1,6,5.69,6.31,3,24,8.00,0,,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,,Jameis Winston,WinsJa00
13,14,2015,2015-12-17,14,15,21.345,TAM,@,STL,L 23-31,*,29,50,58.00,363,2,1,85.7,0,0,7.26,7.16,2,5,2.50,0,,0,0,1,1,0,0,-1,0,81,100%,0,0%,0,0%,,Jameis Winston,WinsJa00
14,15,2015,2015-12-27,15,16,21.355,TAM,,CHI,L 21-26,*,15,29,51.72,295,2,1,96.2,1,10,10.17,10.00,4,10,2.50,0,,0,0,0,0,0,1,0,0,56,100%,0,0%,0,0%,,Jameis Winston,WinsJa00
15,16,2015,2016-01-03,16,17,21.362,TAM,@,CAR,L 10-38,*,29,47,61.70,325,0,2,64.6,2,16,6.91,5.00,3,14,4.67,1,,1,6,0,0,0,0,0,0,74,100%,0,0%,0,0%,,Jameis Winston,WinsJa00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Jameis Winston,WinsJa00
17,17,2016,2016-09-11,1,1,22.249,TAM,@,ATL,W 31-24,*,23,32,71.88,281,4,1,125.1,0,0,8.78,9.88,4,3,0.75,0,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,,Jameis Winston,WinsJa00
18,18,2016,2016-09-18,2,2,22.256,TAM,@,ARI,L 7-40,*,27,52,51.92,243,1,4,39.2,3,22,4.67,1.60,3,9,3.00,0,,0,0,1,1,0,0,0,0,79,100%,0,0%,0,0%,,Jameis Winston,WinsJa00
19,19,2016,2016-09-25,3,3,22.263,TAM,,LAR,L 32-37,*,36,58,62.07,405,3,1,93.0,2,16,6.98,7.24,4,13,3.25,0,,0,0,1,1,0,1,0,0,90,100%,0,0%,0,0%,,Jameis Winston,WinsJa00
20,20,2016,2016-10-02,4,4,22.270,TAM,,DEN,L 7-27,*,17,35,48.57,179,0,2,40.1,5,36,5.11,2.54,5,19,3.80,1,,1,6,1,0,0,1,-16,0,71,100%,0,0%,0,0%,,Jameis Winston,WinsJa00
