,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
9,10,2005,2005-11-20,10,11,,SFO,,SEA,L 25-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Alex Smith,SmitAl03
10,11,2005,2005-11-27,11,12,,SFO,@,TEN,L 22-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Alex Smith,SmitAl03
11,12,2005,2005-12-04,12,13,21.211,SFO,,ARI,L 10-17,*,16,24,66.67,185,0,3,50.2,3,16,7.71,2.08,4,12,3.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,,,,,,,,Alex Smith,SmitAl03
12,13,2005,2005-12-11,13,14,21.218,SFO,@,SEA,L 3-41,*,9,22,40.91,77,0,1,31.8,4,26,3.50,1.45,6,20,3.33,0,0,0,0,,0,0.0%,,0,0,3,1,0,1,-2,0,,,,,,,,Alex Smith,SmitAl03
13,14,2005,2005-12-18,14,15,21.225,SFO,@,JAX,L 9-10,*,8,24,33.33,123,0,1,33.9,2,16,5.13,3.25,4,30,7.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Alex Smith,SmitAl03
14,15,2005,2005-12-24,15,16,21.231,SFO,@,STL,W 24-20,*,12,16,75.00,131,0,0,98.7,5,27,8.19,8.19,7,21,3.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,,,,,,,,Alex Smith,SmitAl03
15,16,2005,2006-01-01,16,17,21.239,SFO,,HOU,W 20-17,*,16,29,55.17,159,1,1,68.0,3,17,5.48,4.62,4,10,2.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,-8,0,,,,,,,,Alex Smith,SmitAl03
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Alex Smith,SmitAl03
17,17,2006,2006-09-10,1,1,22.126,SFO,@,ARI,L 27-34,*,23,40,57.50,288,1,0,88.3,1,2,7.20,7.70,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Alex Smith,SmitAl03
18,18,2006,2006-09-17,2,2,22.133,SFO,,STL,W 20-13,*,11,22,50.00,233,1,0,103.0,0,0,10.59,11.50,3,-1,-0.33,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Alex Smith,SmitAl03
