,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
117,112,2018,2018-12-30,16,17,30.031,SEA,,ARI,W 27-24,*,12,21,57.14,152,1,1,75.9,6,43,7.24,6.05,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
118,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Russell Wilson,WilsRu00
119,113,2019,2019-09-08,1,1,30.283,SEA,,CIN,W 21-20,*,14,20,70.00,195,2,0,134.4,4,35,9.75,11.75,4,8,2.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,51,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
120,114,2019,2019-09-15,2,2,30.290,SEA,@,PIT,W 28-26,*,29,35,82.86,300,3,0,131.0,4,26,8.57,10.29,6,22,3.67,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,78,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
121,115,2019,2019-09-22,3,3,30.297,SEA,,NOR,L 27-33,*,32,50,64.00,406,2,0,102.6,0,0,8.12,8.92,7,51,7.29,2,0,0,0,,0,0.0%,,2,12,0,0,0,0,0,0,83,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
122,116,2019,2019-09-29,4,4,30.304,SEA,@,ARI,W 27-10,*,22,28,78.57,240,1,0,114.3,4,15,8.57,9.29,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,2,0,0,1,0,0,62,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
123,117,2019,2019-10-03,5,5,30.308,SEA,,LAR,W 30-29,*,17,23,73.91,268,4,0,151.8,1,6,11.65,15.13,8,32,4.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
124,118,2019,2019-10-13,6,6,30.318,SEA,@,CLE,W 32-28,*,23,33,69.70,295,2,0,117.6,3,11,8.94,10.15,9,31,3.44,1,0,0,0,,0,0.0%,,1,6,1,0,0,0,0,0,81,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
125,119,2019,2019-10-20,7,7,30.325,SEA,,BAL,L 16-30,*,20,41,48.78,241,1,1,65.2,1,0,5.88,5.27,3,27,9.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
126,120,2019,2019-10-27,8,8,30.332,SEA,@,ATL,W 27-20,*,14,20,70.00,182,2,0,131.7,2,11,9.10,11.10,4,4,1.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
127,121,2019,2019-11-03,9,9,30.339,SEA,,TAM,W 40-34,*,29,43,67.44,378,5,0,133.7,3,31,8.79,11.12,1,21,21.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
128,122,2019,2019-11-11,10,10,30.347,SEA,@,SFO,W 27-24,*,24,34,70.59,232,1,1,86.9,5,43,6.82,6.09,6,53,8.83,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,73,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
