,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Mitchell Trubisky,TrubMi00
17,17,2018,2018-09-09,1,1,24.020,CHI,@,GNB,L 23-24,*,23,35,65.71,171,0,0,77.2,4,16,4.89,4.89,7,32,4.57,1,,1,6,2,1,0,1,0,0,70,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
18,18,2018,2018-09-17,2,2,24.028,CHI,,SEA,W 24-17,*,25,34,73.53,200,2,2,83.0,2,15,5.88,4.41,5,24,4.80,0,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
19,19,2018,2018-09-23,3,3,24.034,CHI,@,ARI,W 16-14,*,24,35,68.57,220,0,1,73.5,3,26,6.29,5.00,2,8,4.00,0,,0,0,1,1,0,0,0,0,74,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
20,20,2018,2018-09-30,4,4,24.041,CHI,,TAM,W 48-10,*,19,26,73.08,354,6,0,154.6,1,10,13.62,18.23,3,53,17.67,0,,0,0,0,0,0,0,0,0,59,97%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
21,21,2018,2018-10-14,5,6,24.055,CHI,@,MIA,L 28-31,*,22,31,70.97,316,3,1,122.5,2,13,10.19,10.68,8,47,5.88,0,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
22,22,2018,2018-10-21,6,7,24.062,CHI,,NWE,L 31-38,*,26,50,52.00,333,2,2,69.8,2,14,6.66,5.66,6,81,13.50,1,,1,6,0,0,0,0,0,0,82,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
23,23,2018,2018-10-28,7,8,24.069,CHI,,NYJ,W 24-10,*,16,29,55.17,220,2,0,102.7,2,4,7.59,8.97,6,51,8.50,0,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
24,24,2018,2018-11-04,8,9,24.076,CHI,@,BUF,W 41-9,*,12,20,60.00,135,1,1,76.0,1,9,6.75,5.50,1,6,6.00,0,,0,0,1,0,0,0,0,0,48,94%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
25,25,2018,2018-11-11,9,10,24.083,CHI,,DET,W 34-22,*,23,30,76.67,355,3,0,148.6,1,7,11.83,13.83,3,18,6.00,1,,1,6,0,0,0,0,0,0,57,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
26,26,2018,2018-11-18,10,11,24.090,CHI,,MIN,W 25-20,*,20,31,64.52,165,1,2,61.9,1,5,5.32,3.06,10,43,4.30,0,,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
27,27,2018,2018-11-22,11,12,,CHI,@,DET,W 23-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Mitchell Trubisky,TrubMi00
28,28,2018,2018-12-02,12,13,,CHI,@,NYG,L 27-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Mitchell Trubisky,TrubMi00
29,29,2018,2018-12-09,13,14,24.111,CHI,,LAR,W 15-6,*,16,30,53.33,110,1,3,33.3,1,10,3.67,-0.17,6,23,3.83,0,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
30,30,2018,2018-12-16,14,15,24.118,CHI,,GNB,W 24-17,*,20,28,71.43,235,2,0,120.4,1,3,8.39,9.82,3,16,5.33,0,,0,0,1,0,0,0,0,0,60,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
31,31,2018,2018-12-23,15,16,24.125,CHI,@,SFO,W 14-9,*,25,29,86.21,246,1,0,113.5,3,11,8.48,9.17,5,3,0.60,0,,0,0,1,1,0,0,-8,0,64,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
32,32,2018,2018-12-30,16,17,24.132,CHI,@,MIN,W 24-10,*,18,26,69.23,163,0,0,85.9,0,0,6.27,6.27,3,16,5.33,0,,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Mitchell Trubisky,TrubMi00
34,33,2019,2019-09-05,1,1,25.016,CHI,,GNB,L 3-10,*,26,45,57.78,228,0,1,62.1,5,20,5.07,4.07,3,11,3.67,0,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
