,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 48_level_0,qb,qb_tag
24,24,2017,2017-10-29,8,8,24.303,PHI,,SFO,W 33-10,*,18,32,56.25,211,2,1,84.2,3,19,6.59,6.44,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,61,87%,0,0%,0,0%,,Carson Wentz,WentCa00
25,25,2017,2017-11-05,9,9,24.310,PHI,,DEN,W 51-23,*,15,27,55.56,199,4,0,118.7,1,4,7.37,10.33,2,8,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,55,80%,0,0%,0,0%,,Carson Wentz,WentCa00
26,26,2017,2017-11-19,10,11,24.324,PHI,@,DAL,W 37-9,*,14,27,51.85,168,2,0,95.9,0,0,6.22,7.70,6,13,2.17,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,,Carson Wentz,WentCa00
27,27,2017,2017-11-26,11,12,24.331,PHI,,CHI,W 31-3,*,23,36,63.89,227,3,0,109.4,1,4,6.31,7.97,5,29,5.80,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,67,86%,0,0%,0,0%,,Carson Wentz,WentCa00
28,28,2017,2017-12-03,12,13,24.338,PHI,@,SEA,L 10-24,*,29,45,64.44,348,1,1,86.2,3,21,7.73,7.18,6,30,5.00,0,0,0,0,,0,0.0%,,,0,0,2,1,0,1,0,0,75,100%,0,0%,0,0%,,Carson Wentz,WentCa00
29,29,2017,2017-12-10,13,14,24.345,PHI,@,LAR,W 43-35,*,23,41,56.10,291,4,1,100.8,1,10,7.10,7.95,3,16,5.33,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,69,75%,0,0%,0,0%,,Carson Wentz,WentCa00
30,30,2017,2017-12-17,14,15,,PHI,@,NYG,W 34-29,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Carson Wentz,WentCa00
31,31,2017,2017-12-25,15,16,,PHI,,OAK,W 19-10,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Carson Wentz,WentCa00
32,32,2017,2017-12-31,16,17,,PHI,,DAL,L 0-6,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Carson Wentz,WentCa00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Carson Wentz,WentCa00
34,33,2018,2018-09-06,1,1,,PHI,,ATL,W 18-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Carson Wentz,WentCa00
35,34,2018,2018-09-16,2,2,,PHI,@,TAM,L 21-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Carson Wentz,WentCa00
36,35,2018,2018-09-23,3,3,25.267,PHI,,IND,W 20-16,*,25,37,67.57,255,1,1,84.9,5,28,6.89,6.22,3,10,3.33,0,0,0,0,,0,0.0%,,,0,0,1,1,0,1,0,0,82,100%,0,0%,0,0%,,Carson Wentz,WentCa00
37,36,2018,2018-09-30,4,4,25.274,PHI,@,TEN,L 23-26,*,33,50,66.00,348,2,0,99.4,4,33,6.96,7.76,2,8,4.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,78,100%,0,0%,0,0%,,Carson Wentz,WentCa00
38,37,2018,2018-10-07,5,5,25.281,PHI,,MIN,L 21-23,*,24,35,68.57,311,2,0,115.3,3,28,8.89,10.03,5,26,5.20,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,59,100%,0,0%,0,0%,,Carson Wentz,WentCa00
39,38,2018,2018-10-11,6,6,25.285,PHI,@,NYG,W 34-13,*,26,36,72.22,278,3,0,122.2,1,7,7.72,9.39,2,14,7.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,71,100%,0,0%,0,0%,,Carson Wentz,WentCa00
40,39,2018,2018-10-21,7,7,25.295,PHI,,CAR,L 17-21,*,30,37,81.08,310,2,0,119.6,4,26,8.38,9.46,3,3,1.00,0,0,0,0,,0,0.0%,,,0,0,2,1,0,2,0,0,67,100%,0,0%,0,0%,,Carson Wentz,WentCa00
41,40,2018,2018-10-28,8,8,25.302,PHI,@,JAX,W 24-18,*,21,30,70.00,286,3,1,119.6,4,24,9.53,10.03,6,28,4.67,0,1,1,4,4.00,0,100.0%,4.00,,0,0,1,1,0,0,0,0,62,100%,0,0%,0,0%,,Carson Wentz,WentCa00
42,41,2018,2018-11-11,9,10,25.316,PHI,,DAL,L 20-27,*,32,44,72.73,360,2,1,102.5,2,10,8.18,8.07,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Carson Wentz,WentCa00
43,42,2018,2018-11-18,10,11,25.323,PHI,@,NOR,L 7-48,*,19,33,57.58,156,0,3,31.9,3,18,4.73,0.64,1,6,6.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,51,100%,0,0%,0,0%,,Carson Wentz,WentCa00
44,43,2018,2018-11-25,11,12,25.330,PHI,,NYG,W 25-22,*,20,28,71.43,236,1,0,108.6,3,22,8.43,9.14,2,-2,-1.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,,Carson Wentz,WentCa00
45,44,2018,2018-12-03,12,13,25.338,PHI,,WAS,W 28-13,*,27,39,69.23,306,2,1,98.9,0,0,7.85,7.72,4,-4,-1.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,75,100%,0,0%,0,0%,,Carson Wentz,WentCa00
46,45,2018,2018-12-09,13,14,25.344,PHI,@,DAL,L 23-29,*,22,32,68.75,228,3,0,120.3,2,6,7.13,9.00,4,-3,-0.75,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,52,100%,0,0%,0,0%,,Carson Wentz,WentCa00
47,46,2018,2018-12-16,14,15,,PHI,@,LAR,W 30-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Carson Wentz,WentCa00
48,47,2018,2018-12-23,15,16,,PHI,,HOU,W 32-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Carson Wentz,WentCa00
