,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,,
97,90,1977,1977-10-09,4,4,35.246,DAL,@,STL,W 30-24,*,18,29,62.07,153,1,0,87.3,3,29,5.28,5.97,3,10,3.33,0,,,,,0,0,Roger Staubach,StauRo00
98,91,1977,1977-10-16,5,5,35.253,DAL,,WAS,W 34-16,*,15,28,53.57,250,2,0,107.7,2,20,8.93,10.36,3,25,8.33,0,,,,,0,0,Roger Staubach,StauRo00
99,92,1977,1977-10-23,6,6,35.260,DAL,@,PHI,W 16-10,*,15,26,57.69,172,0,0,77.7,5,21,6.62,6.62,4,30,7.50,0,,,,,0,0,Roger Staubach,StauRo00
100,93,1977,1977-10-30,7,7,35.267,DAL,,DET,W 37-0,*,16,25,64.00,179,3,0,124.8,,,7.16,9.56,2,7,3.50,0,,,,,0,0,Roger Staubach,StauRo00
101,94,1977,1977-11-06,8,8,35.274,DAL,@,NYG,W 24-10,*,14,25,56.00,190,1,0,93.7,3,20,7.60,8.40,,,,,,,,,0,0,Roger Staubach,StauRo00
102,95,1977,1977-11-14,9,9,35.282,DAL,,STL,L 17-24,*,11,20,55.00,102,1,2,46.2,3,22,5.10,1.60,3,30,10.00,0,,,,,0,0,Roger Staubach,StauRo00
103,96,1977,1977-11-20,10,10,35.288,DAL,@,PIT,L 13-28,*,18,36,50.00,230,1,2,56.5,3,29,6.39,4.44,,,,,,,,,0,0,Roger Staubach,StauRo00
104,97,1977,1977-11-27,11,11,35.295,DAL,@,WAS,W 14-7,*,10,24,41.67,138,1,1,57.3,1,6,5.75,4.71,5,26,5.20,0,,,,,0,0,Roger Staubach,StauRo00
105,98,1977,1977-12-04,12,12,35.302,DAL,,PHI,W 24-14,*,13,26,50.00,183,1,2,53.8,2,19,7.04,4.35,6,1,0.17,0,,,,,0,0,Roger Staubach,StauRo00
106,99,1977,1977-12-12,13,13,35.310,DAL,@,SFO,W 42-35,*,14,19,73.68,220,3,0,151.3,2,5,11.58,14.74,9,23,2.56,1,,,,,1,6,Roger Staubach,StauRo00
