,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
29,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Frank Tripucka,TripFr00
30,27,1960,1960-09-09,1,1,32.276,DEN,@,BOS,W 13-10,*,10,15,66.67,180,1,1,102.1,,,12.00,10.33,,,,,0,0,Frank Tripucka,TripFr00
31,28,1960,1960-09-18,2,2,32.285,DEN,@,BUF,W 27-21,*,14,26,53.85,156,2,2,65.5,,,6.00,4.08,4,-2,-0.50,0,0,0,Frank Tripucka,TripFr00
32,29,1960,1960-09-23,3,3,32.290,DEN,@,NYT,L 24-28,*,14,29,48.28,214,1,1,70.2,,,7.38,6.52,,,,,0,0,Frank Tripucka,TripFr00
33,30,1960,1960-10-02,4,4,32.299,DEN,,OAK,W 31-14,*,9,19,47.37,116,2,2,62.5,,,6.11,3.47,,,,,0,0,Frank Tripucka,TripFr00
34,31,1960,1960-10-16,5,6,32.313,DEN,,LAC,L 19-23,*,16,32,50.00,155,0,2,37.9,,,4.84,2.03,,,,,0,0,Frank Tripucka,TripFr00
35,32,1960,1960-10-23,6,7,32.320,DEN,,BOS,W 31-24,*,20,37,54.05,287,4,2,93.0,,,7.76,7.49,1,0,0.00,0,0,0,Frank Tripucka,TripFr00
36,33,1960,1960-10-30,7,8,32.327,DEN,,DTX,L 14-17,*,14,31,45.16,179,1,2,47.6,,,5.77,3.52,,,,,0,0,Frank Tripucka,TripFr00
37,34,1960,1960-11-06,8,9,32.334,DEN,,HOU,L 25-45,*,30,52,57.69,375,3,2,83.4,,,7.21,6.63,2,1,0.50,0,0,0,Frank Tripucka,TripFr00
38,35,1960,1960-11-13,9,10,32.341,DEN,@,DTX,L 7-34,*,18,33,54.55,136,0,4,25.1,,,4.12,-1.33,,,,,0,0,Frank Tripucka,TripFr00
