,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
24,23,1991,1991-09-08,2,2,,NOR,@,KAN,W 17-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Walsh,WalsSt00
25,24,1991,1991-09-15,3,3,,NOR,,RAM,W 24-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Walsh,WalsSt00
26,25,1991,1991-09-22,4,4,,NOR,,MIN,W 26-0,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Walsh,WalsSt00
27,26,1991,1991-09-29,5,5,,NOR,@,ATL,W 27-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Walsh,WalsSt00
28,27,1991,1991-10-13,6,7,24.316,NOR,@,PHI,W 13-6,,8,17,47.06,96,1,0,84.4,0,0,5.65,6.82,0,0,,0,0,0,0,,0,0,0,0,,Steve Walsh,WalsSt00
29,28,1991,1991-10-20,7,8,24.323,NOR,,TAM,W 23-7,*,19,31,61.29,205,1,2,64.6,0,0,6.61,4.35,2,2,1.00,0,0,0,0,,0,0,0,0,,Steve Walsh,WalsSt00
30,29,1991,1991-10-27,8,9,,NOR,,CHI,L 17-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Walsh,WalsSt00
31,30,1991,1991-11-03,9,10,24.337,NOR,@,RAM,W 24-17,*,17,33,51.52,269,2,1,86.6,0,0,8.15,8.00,0,0,,0,0,0,0,,0,0,0,0,,Steve Walsh,WalsSt00
32,31,1991,1991-11-10,10,11,24.344,NOR,,SFO,W 10-3,*,10,25,40.00,116,1,1,51.4,1,7,4.64,3.64,3,-5,-1.67,0,0,0,0,,0,0,0,0,,Steve Walsh,WalsSt00
33,32,1991,1991-11-17,11,12,24.351,NOR,@,SDG,L 21-24,*,21,34,61.76,203,2,1,85.8,1,10,5.97,5.82,1,3,3.00,0,0,0,0,,0,0,0,0,,Steve Walsh,WalsSt00
34,33,1991,1991-11-24,12,13,24.358,NOR,,ATL,L 20-23,*,15,34,44.12,194,0,1,50.4,0,0,5.71,4.38,0,0,,0,0,0,0,,0,0,0,0,,Steve Walsh,WalsSt00
35,34,1991,1991-12-01,13,14,25.000,NOR,@,SFO,L 24-38,*,25,42,59.52,317,2,0,99.0,0,0,7.55,8.50,2,0,0.00,0,0,0,2,,0,1,-20,0,,Steve Walsh,WalsSt00
36,35,1991,1991-12-08,14,15,25.007,NOR,@,DAL,L 14-23,*,26,39,66.67,238,2,0,100.2,1,9,6.10,7.13,0,0,,0,0,0,1,,0,0,0,0,,Steve Walsh,WalsSt00
37,36,1991,1991-12-16,15,16,,NOR,,RAI,W 27-0,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Walsh,WalsSt00
38,37,1991,1991-12-22,16,17,,NOR,@,PHO,W 27-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Walsh,WalsSt00
39,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Steve Walsh,WalsSt00
