,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 42_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
113,105,1994,1994-09-18,3,3,32.342,SFO,@,RAM,W 34-19,*,31,39,79.49,355,2,0,121.7,2,6,9.10,10.13,5,23,4.60,2,0,0,0,,0,0.0%,,,2,12,0,,0,0,0,0,,Steve Young,YounSt00
114,106,1994,1994-09-25,4,4,32.349,SFO,,NOR,W 24-13,*,25,39,64.10,247,2,2,77.6,5,23,6.33,5.05,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
115,107,1994,1994-10-02,5,5,32.356,SFO,,PHI,L 8-40,*,11,23,47.83,99,0,2,23.6,1,4,4.30,0.39,3,5,1.67,1,0,0,0,,0,0.0%,,,1,6,1,0,0,1,-4,0,,Steve Young,YounSt00
116,108,1994,1994-10-09,6,6,32.363,SFO,@,DET,W 27-21,*,19,25,76.00,152,1,0,104.1,2,9,6.08,6.88,4,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
117,109,1994,1994-10-16,7,7,33.005,SFO,@,ATL,W 42-3,*,15,16,93.75,143,4,0,143.5,1,5,8.94,13.94,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
118,110,1994,1994-10-23,8,8,33.012,SFO,,TAM,W 41-16,*,20,26,76.92,255,1,0,119.9,2,13,9.81,10.58,2,31,15.50,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
119,111,1994,1994-11-06,9,10,33.026,SFO,@,WAS,W 37-22,*,15,25,60.00,291,1,1,97.2,1,3,11.64,10.64,1,1,1.00,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,Steve Young,YounSt00
120,112,1994,1994-11-13,10,11,33.033,SFO,,DAL,W 21-14,*,12,21,57.14,183,2,0,117.8,3,22,8.71,10.62,8,60,7.50,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,Steve Young,YounSt00
121,113,1994,1994-11-20,11,12,33.040,SFO,,RAM,W 31-27,*,30,44,68.18,325,4,0,120.0,0,0,7.39,9.20,10,23,2.30,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
122,114,1994,1994-11-28,12,13,33.048,SFO,@,NOR,W 35-14,*,24,30,80.00,281,4,0,145.3,2,11,9.37,12.03,7,43,6.14,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,Steve Young,YounSt00
