,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
134,126,1983,1983-09-11,2,2,34.002,WAS,@,PHI,W 23-13,*,15,26,57.69,142,1,0,85.7,2,7,5.46,6.23,1,8,8.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
135,127,1983,1983-09-18,3,3,34.009,WAS,,KAN,W 27-12,*,12,27,44.44,153,2,2,56.6,0,0,5.67,3.81,2,13,6.50,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
136,128,1983,1983-09-25,4,4,34.016,WAS,@,SEA,W 27-17,*,9,16,56.25,162,3,0,130.7,0,0,10.13,13.88,5,18,3.60,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
137,129,1983,1983-10-02,5,5,34.023,WAS,,RAI,W 37-35,*,23,39,58.97,417,3,0,121.4,6,56,10.69,12.23,2,-3,-1.50,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
138,130,1983,1983-10-09,6,6,34.030,WAS,@,STL,W 38-14,*,14,25,56.00,138,2,0,98.4,0,0,5.52,7.12,0,0,,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
139,131,1983,1983-10-17,7,7,34.038,WAS,@,GNB,L 47-48,*,27,39,69.23,398,2,0,119.4,4,30,10.21,11.23,1,14,14.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
140,132,1983,1983-10-23,8,8,34.044,WAS,,DET,W 38-17,*,15,23,65.22,247,2,0,130.2,2,15,10.74,12.48,2,8,4.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
141,133,1983,1983-10-31,9,9,34.052,WAS,@,SDG,W 27-24,*,25,46,54.35,324,1,1,74.9,1,11,7.04,6.50,2,15,7.50,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
142,134,1983,1983-11-06,10,10,34.058,WAS,,STL,W 45-7,*,13,24,54.17,167,0,1,58.9,1,7,6.96,5.08,1,5,5.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
143,135,1983,1983-11-13,11,11,34.065,WAS,@,NYG,W 33-17,*,18,28,64.29,157,1,0,90.9,4,19,5.61,6.32,3,8,2.67,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
144,136,1983,1983-11-20,12,12,34.072,WAS,@,RAM,W 42-20,*,17,29,58.62,239,1,0,96.8,0,0,8.24,8.93,4,26,6.50,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
145,137,1983,1983-11-27,13,13,34.079,WAS,,PHI,W 28-24,*,16,26,61.54,248,2,1,102.7,0,0,9.54,9.35,4,27,6.75,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
146,138,1983,1983-12-04,14,14,34.086,WAS,,ATL,W 37-21,*,17,28,60.71,221,3,0,121.3,1,6,7.89,10.04,2,15,7.50,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
147,139,1983,1983-12-11,15,15,34.093,WAS,@,DAL,W 31-10,*,11,17,64.71,203,2,1,120.5,4,33,11.94,11.65,3,24,8.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
148,140,1983,1983-12-17,16,16,34.099,WAS,,NYG,W 31-22,*,16,28,57.14,173,2,4,59.7,6,32,6.18,1.18,2,20,10.00,1,0,0,,0,1,6,0,0,,0,Joe Theismann,TheiJo00
149,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Joe Theismann,TheiJo00
150,141,1984,1984-09-02,1,1,34.359,WAS,,MIA,L 17-35,*,21,36,58.33,204,0,2,51.2,2,11,5.67,3.17,2,20,10.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
151,142,1984,1984-09-10,2,2,35.001,WAS,@,SFO,L 31-37,*,24,43,55.81,331,2,0,96.2,4,22,7.70,8.63,7,35,5.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
152,143,1984,1984-09-16,3,3,35.007,WAS,,NYG,W 30-14,*,15,30,50.00,145,0,2,36.1,2,16,4.83,1.83,4,17,4.25,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
153,144,1984,1984-09-23,4,4,35.014,WAS,@,NWE,W 26-10,*,11,19,57.89,110,1,0,92.0,2,13,5.79,6.84,4,34,8.50,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
154,145,1984,1984-09-30,5,5,35.021,WAS,,PHI,W 20-0,*,9,20,45.00,114,1,1,59.2,3,28,5.70,4.45,6,56,9.33,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
155,146,1984,1984-10-07,6,6,35.028,WAS,@,IND,W 35-7,*,17,20,85.00,267,4,1,137.5,1,6,13.35,15.10,1,4,4.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
156,147,1984,1984-10-14,7,7,35.035,WAS,,DAL,W 34-14,*,11,17,64.71,182,3,0,140.2,0,0,10.71,14.24,4,33,8.25,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
157,148,1984,1984-10-21,8,8,35.042,WAS,@,STL,L 24-26,*,15,29,51.72,224,2,0,100.4,4,31,7.72,9.10,2,3,1.50,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
158,149,1984,1984-10-28,9,9,35.049,WAS,@,NYG,L 13-37,*,21,41,51.22,255,1,1,68.6,3,26,6.22,5.61,3,25,8.33,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
159,150,1984,1984-11-05,10,10,35.057,WAS,,ATL,W 27-14,*,19,25,76.00,170,1,1,90.4,4,41,6.80,5.80,8,26,3.25,1,0,0,,0,1,6,0,0,,0,Joe Theismann,TheiJo00
160,151,1984,1984-11-11,11,11,35.063,WAS,,DET,W 28-14,*,17,36,47.22,203,1,0,74.2,5,35,5.64,6.19,1,-2,-2.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
161,152,1984,1984-11-18,12,12,35.070,WAS,@,PHI,L 10-16,*,21,38,55.26,149,1,3,40.4,1,5,3.92,0.89,4,23,5.75,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
162,153,1984,1984-11-25,13,13,35.077,WAS,,BUF,W 41-14,*,26,33,78.79,311,2,1,113.5,1,6,9.42,9.27,4,3,0.75,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
163,154,1984,1984-11-29,14,14,35.081,WAS,@,MIN,W 31-17,*,19,24,79.17,223,2,0,133.2,2,6,9.29,10.96,1,-1,-1.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
164,155,1984,1984-12-09,15,15,35.091,WAS,@,DAL,W 30-28,*,17,31,54.84,205,1,0,86.1,8,57,6.61,7.26,6,18,3.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
165,156,1984,1984-12-16,16,16,35.098,WAS,,STL,W 29-27,*,20,35,57.14,298,2,1,92.3,6,38,8.51,8.37,5,20,4.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
166,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Joe Theismann,TheiJo00
167,157,1985,1985-09-09,1,1,36.000,WAS,@,DAL,L 14-44,*,15,35,42.86,206,1,5,32.3,1,6,5.89,0.03,2,3,1.50,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
168,158,1985,1985-09-15,2,2,36.006,WAS,,HOU,W 16-13,*,15,22,68.18,138,1,1,81.2,5,45,6.27,5.14,2,9,4.50,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
169,159,1985,1985-09-22,3,3,36.013,WAS,,PHI,L 6-19,*,15,34,44.12,124,0,1,41.8,1,7,3.65,2.32,1,25,25.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
170,160,1985,1985-09-29,4,4,36.020,WAS,@,CHI,L 10-45,*,21,39,53.85,209,0,2,47.9,4,25,5.36,3.05,4,7,1.75,0,0,0,,0,0,0,1,1,1.00,0,Joe Theismann,TheiJo00
171,161,1985,1985-10-07,5,5,36.028,WAS,,STL,W 27-10,*,11,20,55.00,83,2,0,98.5,2,16,4.15,6.15,3,12,4.00,1,0,0,,0,1,6,0,0,,0,Joe Theismann,TheiJo00
172,162,1985,1985-10-13,6,6,36.034,WAS,,DET,W 24-3,*,18,25,72.00,153,0,0,87.6,3,30,6.12,6.12,1,0,0.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
173,163,1985,1985-10-20,7,7,36.041,WAS,@,NYG,L 3-17,*,22,38,57.89,272,0,3,47.3,7,65,7.16,3.61,0,0,,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
174,164,1985,1985-10-27,8,8,36.048,WAS,@,CLE,W 14-7,*,16,23,69.57,166,1,1,86.5,2,24,7.22,6.13,4,5,1.25,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
175,165,1985,1985-11-03,9,9,36.055,WAS,@,ATL,W 44-10,*,13,24,54.17,178,1,0,92.0,3,24,7.42,8.25,3,16,5.33,1,0,0,,0,1,6,0,0,,0,Joe Theismann,TheiJo00
176,166,1985,1985-11-10,10,10,36.062,WAS,,DAL,L 7-13,*,14,31,45.16,195,1,3,37.1,6,52,6.29,2.58,4,29,7.25,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
177,167,1985,1985-11-18,11,11,36.070,WAS,,NYG,W 23-21,*,7,10,70.00,50,1,0,114.6,3,20,5.00,7.00,1,9,9.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
178,,,167 Games,,,,,,,105-62-0,,2044,3602,56.75,25206,160,138,77.4,340,2757,7.00,6.16,355,1815,5.11,17,17,162,9.53,0,17,102,1,1,1.00,0,Joe Theismann,TheiJo00
