,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
24,23,1988,1988-09-11,2,2,26.002,IND,,CHI,L 13-17,*,4,15,26.67,78,0,2,9.2,2,13,5.20,-0.80,0,0,,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
25,24,1988,1988-09-19,3,3,26.010,IND,@,CLE,L 17-23,*,10,19,52.63,80,0,1,41.6,0,0,4.21,1.84,0,0,,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
26,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Jack Trudeau,TrudJa00
27,25,1989,1989-09-24,3,3,27.015,IND,,ATL,W 13-9,,2,6,33.33,20,0,0,43.7,0,0,3.33,3.33,3,0,0.00,1,1,6,0,,0,0,0,0,,Jack Trudeau,TrudJa00
28,26,1989,1989-10-01,4,4,27.022,IND,@,NYJ,W 17-10,*,17,30,56.67,246,1,1,80.7,2,4,8.20,7.37,4,-3,-0.75,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
29,27,1989,1989-10-08,5,5,27.029,IND,,BUF,W 37-14,*,13,24,54.17,193,0,1,63.4,3,16,8.04,6.17,6,4,0.67,1,1,6,0,,0,0,0,0,,Jack Trudeau,TrudJa00
30,28,1989,1989-10-15,6,6,27.036,IND,@,DEN,L 3-14,*,12,28,42.86,100,0,1,37.8,1,10,3.57,1.96,4,9,2.25,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
31,29,1989,1989-10-22,7,7,27.043,IND,@,CIN,W 23-12,*,14,27,51.85,168,2,1,80.5,0,0,6.22,6.04,1,6,6.00,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
32,30,1989,1989-10-29,8,8,27.050,IND,,NWE,L 20-23,*,16,33,48.48,247,2,0,93.9,3,20,7.48,8.70,4,13,3.25,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
33,31,1989,1989-11-05,9,9,27.057,IND,@,MIA,L 13-19,*,20,38,52.63,215,1,2,56.4,1,8,5.66,3.82,2,12,6.00,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
