,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 40_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
21,21,2019,2019-10-06,5,5,22.272,BAL,@,PIT,W 26-23,*,19,28,67.86,161,1,3,54.9,5,22,5.75,1.64,14,70,5.00,0,0,0,1,0,0,1,0,0,79,100%,0,0%,0,0%,,Lamar Jackson,JackLa00
22,22,2019,2019-10-13,6,6,22.279,BAL,,CIN,W 23-17,*,21,33,63.64,236,0,0,84.9,1,8,7.15,7.15,19,152,8.00,1,1,6,0,0,0,0,0,0,79,100%,0,0%,0,0%,,Lamar Jackson,JackLa00
23,23,2019,2019-10-20,7,7,22.286,BAL,@,SEA,W 30-16,*,9,20,45.00,143,0,0,69.4,1,2,7.15,7.15,14,116,8.29,1,1,6,2,0,0,0,0,0,58,100%,0,0%,0,0%,,Lamar Jackson,JackLa00
24,24,2019,2019-11-03,8,9,22.300,BAL,,NWE,W 37-20,*,17,23,73.91,163,1,0,107.7,1,1,7.09,7.96,16,61,3.81,2,2,12,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Lamar Jackson,JackLa00
25,25,2019,2019-11-10,9,10,22.307,BAL,@,CIN,W 49-13,*,15,17,88.24,223,3,0,158.3,0,0,13.12,16.65,7,65,9.29,1,1,6,0,0,0,0,0,0,35,76%,0,0%,0,0%,,Lamar Jackson,JackLa00
26,26,2019,2019-11-17,10,11,22.314,BAL,,HOU,W 41-7,*,17,24,70.83,222,4,0,139.2,0,0,9.25,12.58,10,79,7.90,0,0,0,0,0,0,0,0,0,58,87%,0,0%,0,0%,,Lamar Jackson,JackLa00
27,27,2019,2019-11-25,11,12,22.322,BAL,@,LAR,W 45-6,*,15,20,75.00,169,5,0,139.4,2,9,8.45,13.45,8,95,11.88,0,0,0,1,0,0,1,0,0,61,79%,0,0%,0,0%,,Lamar Jackson,JackLa00
28,28,2019,2019-12-01,12,13,22.328,BAL,,SFO,W 20-17,*,14,23,60.87,105,1,0,86.3,1,0,4.57,5.43,16,101,6.31,1,1,6,1,1,0,0,0,0,65,100%,0,0%,0,0%,,Lamar Jackson,JackLa00
29,29,2019,2019-12-08,13,14,22.335,BAL,@,BUF,W 24-17,*,16,25,64.00,145,3,1,102.5,1,6,5.80,6.40,11,40,3.64,0,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,,Lamar Jackson,JackLa00
30,30,2019,2019-12-12,14,15,22.339,BAL,,NYJ,W 42-21,*,15,23,65.22,212,5,0,134.4,1,0,9.22,13.57,8,86,10.75,0,0,0,1,0,0,1,0,0,54,86%,0,0%,0,0%,,Lamar Jackson,JackLa00
31,31,2019,2019-12-22,15,16,22.349,BAL,@,CLE,W 31-15,*,20,31,64.52,238,3,0,120.1,0,0,7.68,9.61,17,103,6.06,0,0,0,2,1,0,1,0,0,73,100%,0,0%,0,0%,,Lamar Jackson,JackLa00
32,32,2019,2019-12-29,16,17,,BAL,,PIT,W 28-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Lamar Jackson,JackLa00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Lamar Jackson,JackLa00
34,33,2020,2020-09-13,1,1,23.250,BAL,,CLE,W 38-6,*,20,25,80.00,275,3,0,152.1,2,14,11.00,13.40,7,45,6.43,0,0,0,1,0,0,0,0,0,53,90%,0,0%,0,0%,,Lamar Jackson,JackLa00
35,34,2020,2020-09-20,2,2,23.257,BAL,@,HOU,W 33-16,*,18,24,75.00,204,1,0,113.9,4,27,8.50,9.33,16,54,3.38,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,,Lamar Jackson,JackLa00
36,35,2020,2020-09-28,3,3,23.265,BAL,,KAN,L 20-34,*,15,28,53.57,97,1,0,73.1,4,27,3.46,4.18,9,83,9.22,0,0,0,2,1,0,0,0,0,56,100%,0,0%,0,0%,,Lamar Jackson,JackLa00
37,36,2020,2020-10-04,4,4,23.271,BAL,@,WAS,W 31-17,*,14,21,66.67,193,2,1,107.8,1,2,9.19,8.95,7,53,7.57,1,1,6,0,0,0,0,0,0,47,82%,0,0%,0,0%,,Lamar Jackson,JackLa00
38,37,2020,2020-10-11,5,5,23.278,BAL,,CIN,W 27-3,*,19,37,51.35,180,2,1,71.9,1,9,4.86,4.73,2,3,1.50,0,0,0,0,0,0,0,0,0,62,99%,0,0%,0,0%,,Lamar Jackson,JackLa00
39,38,2020,2020-10-18,6,6,23.285,BAL,@,PHI,W 30-28,*,16,27,59.26,186,1,0,92.5,3,13,6.89,7.63,9,108,12.00,1,1,6,0,0,0,0,0,0,73,100%,0,0%,0,0%,,Lamar Jackson,JackLa00
40,39,2020,2020-11-01,7,8,23.299,BAL,,PIT,L 24-28,*,13,28,46.43,208,2,2,65.8,4,16,7.43,5.64,16,65,4.06,0,0,0,3,2,0,1,0,0,82,100%,0,0%,0,0%,,Lamar Jackson,JackLa00
41,40,2020,2020-11-08,8,9,23.306,BAL,@,IND,W 24-10,*,19,23,82.61,170,0,0,97.5,2,14,7.39,7.39,13,58,4.46,1,1,6,0,0,0,0,0,0,64,100%,0,0%,0,0%,,Lamar Jackson,JackLa00
