,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
18,18,1992,1992-09-13,2,2,26.072,PIT,,NYJ,W 27-10,*,11,22,50.00,185,0,2,40.9,5,30,8.41,4.32,3,-5,-1.67,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
19,19,1992,1992-09-20,3,3,26.079,PIT,@,SDG,W 23-6,*,17,24,70.83,215,2,1,108.9,1,10,8.96,8.75,4,-3,-0.75,1,1,6,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
20,20,1992,1992-09-27,4,4,26.086,PIT,@,GNB,L 3-17,*,16,41,39.02,224,0,0,57.4,2,16,5.46,5.46,1,5,5.00,0,0,0,1,,0,0,0,0,,Neil O'Donnell,ODonNe00
21,21,1992,1992-10-11,5,6,26.100,PIT,@,CLE,L 9-17,*,25,32,78.13,241,0,0,98.0,1,11,7.53,7.53,3,7,2.33,0,0,0,1,,0,1,-13,0,,Neil O'Donnell,ODonNe00
22,22,1992,1992-10-19,6,7,26.108,PIT,,CIN,W 20-0,*,23,37,62.16,287,2,0,104.2,4,36,7.76,8.84,0,0,,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
23,23,1992,1992-10-25,7,8,26.114,PIT,@,KAN,W 27-3,*,13,22,59.09,114,1,0,88.1,1,5,5.18,6.09,5,0,0.00,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
24,24,1992,1992-11-01,8,9,26.121,PIT,,HOU,W 21-20,*,14,22,63.64,201,2,1,104.5,3,20,9.14,8.91,2,2,1.00,0,0,0,1,,0,1,0,0,,Neil O'Donnell,ODonNe00
25,25,1992,1992-11-08,9,10,26.128,PIT,@,BUF,L 20-28,*,15,24,62.50,158,2,0,109.4,1,12,6.58,8.25,0,0,,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
26,26,1992,1992-11-15,10,11,26.135,PIT,,DET,W 17-14,*,17,31,54.84,182,1,1,69.6,3,33,5.87,5.06,2,8,4.00,0,0,0,1,,0,1,0,0,,Neil O'Donnell,ODonNe00
27,27,1992,1992-11-22,11,12,,PIT,,IND,W 30-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Neil O'Donnell,ODonNe00
28,28,1992,1992-11-29,12,13,26.149,PIT,@,CIN,W 21-9,*,10,18,55.56,149,0,1,59.7,1,8,8.28,5.78,3,-4,-1.33,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
29,29,1992,1992-12-06,13,14,26.156,PIT,,SEA,W 20-14,*,10,17,58.82,104,1,3,56.6,2,5,6.12,-0.65,1,0,0.00,0,0,0,1,,0,1,-7,0,,Neil O'Donnell,ODonNe00
30,30,1992,1992-12-13,14,15,,PIT,@,CHI,L 6-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Neil O'Donnell,ODonNe00
31,31,1992,1992-12-20,15,16,,PIT,,MIN,L 3-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Neil O'Donnell,ODonNe00
32,32,1992,1992-12-27,16,17,,PIT,,CLE,W 23-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Neil O'Donnell,ODonNe00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Neil O'Donnell,ODonNe00
34,33,1993,1993-09-05,1,1,27.064,PIT,,SFO,L 13-24,,9,16,56.25,92,0,0,72.9,2,18,5.75,5.75,1,9,9.00,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
35,34,1993,1993-09-12,2,2,27.071,PIT,@,RAM,L 0-27,*,17,33,51.52,169,0,1,53.7,5,49,5.12,3.76,2,0,0.00,0,0,0,2,,0,0,-2,0,,Neil O'Donnell,ODonNe00
36,35,1993,1993-09-19,3,3,27.078,PIT,,CIN,W 34-7,*,21,25,84.00,189,3,0,137.7,1,8,7.56,9.96,0,0,,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
37,36,1993,1993-09-27,4,4,27.086,PIT,@,ATL,W 45-17,*,19,25,76.00,259,2,0,135.2,0,0,10.36,11.96,2,8,4.00,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
38,37,1993,1993-10-10,5,6,27.099,PIT,,SDG,W 16-3,*,16,25,64.00,156,0,0,81.4,0,0,6.24,6.24,1,2,2.00,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
39,38,1993,1993-10-17,6,7,27.106,PIT,,NOR,W 37-14,*,12,25,48.00,137,1,1,61.6,1,11,5.48,4.48,0,0,,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
40,39,1993,1993-10-24,7,8,27.113,PIT,@,CLE,L 23-28,*,25,39,64.10,355,0,1,82.7,2,7,9.10,7.95,2,11,5.50,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
41,40,1993,1993-11-07,8,10,27.127,PIT,@,CIN,W 24-16,*,14,34,41.18,244,2,1,73.7,0,0,7.18,7.03,6,8,1.33,0,0,0,1,,0,0,0,0,,Neil O'Donnell,ODonNe00
42,41,1993,1993-11-15,9,11,27.135,PIT,,BUF,W 23-0,*,16,27,59.26,212,1,0,96.5,4,39,7.85,8.59,0,0,,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
43,42,1993,1993-11-21,10,12,27.141,PIT,@,DEN,L 13-37,*,18,32,56.25,197,0,1,61.6,4,30,6.16,4.75,2,7,3.50,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
44,43,1993,1993-11-28,11,13,27.148,PIT,@,HOU,L 3-23,*,13,26,50.00,153,0,0,68.3,4,35,5.88,5.88,1,27,27.00,0,0,0,1,,0,0,0,0,,Neil O'Donnell,ODonNe00
45,44,1993,1993-12-05,12,14,27.155,PIT,,NWE,W 17-14,*,17,32,53.13,115,2,0,82.2,3,23,3.59,4.84,0,0,,0,0,0,1,,0,0,0,0,,Neil O'Donnell,ODonNe00
46,45,1993,1993-12-13,13,15,27.163,PIT,@,MIA,W 21-20,*,16,28,57.14,163,1,0,85.9,2,18,5.82,6.54,3,6,2.00,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
47,46,1993,1993-12-19,14,16,27.169,PIT,,HOU,L 17-26,*,15,37,40.54,256,1,1,62.4,4,31,6.92,6.24,1,1,1.00,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
48,47,1993,1993-12-26,15,17,27.176,PIT,@,SEA,L 6-16,*,20,43,46.51,285,0,1,58.8,2,21,6.63,5.58,4,33,8.25,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
49,48,1993,1994-01-02,16,18,27.183,PIT,,CLE,W 16-9,*,22,39,56.41,226,1,0,81.8,7,41,5.79,6.31,1,-1,-1.00,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Neil O'Donnell,ODonNe00
51,49,1994,1994-09-04,1,1,28.063,PIT,,DAL,L 9-26,*,13,26,50.00,127,0,0,64.1,9,56,4.88,4.88,2,7,3.50,1,1,6,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
52,50,1994,1994-09-11,2,2,28.070,PIT,@,CLE,W 17-10,*,15,25,60.00,199,1,0,98.6,0,0,7.96,8.76,4,15,3.75,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
53,51,1994,1994-09-18,3,3,28.077,PIT,,IND,W 31-21,*,22,35,62.86,254,2,1,91.8,2,15,7.26,7.11,1,4,4.00,0,0,0,1,1,0,0,0,0,,Neil O'Donnell,ODonNe00
54,52,1994,1994-09-25,4,4,28.084,PIT,@,SEA,L 13-30,*,21,43,48.84,282,1,4,39.1,0,0,6.56,2.84,1,8,8.00,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
55,53,1994,1994-10-03,5,5,28.092,PIT,,HOU,W 30-14,*,9,17,52.94,154,1,0,103.6,1,3,9.06,10.24,1,2,2.00,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
56,54,1994,1994-10-16,6,7,28.105,PIT,,CIN,W 14-10,*,15,22,68.18,190,2,0,125.2,8,61,8.64,10.45,4,10,2.50,0,0,0,2,0,0,1,0,0,,Neil O'Donnell,ODonNe00
