,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 40_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
72,68,1992,1992-11-01,8,9,27.084,ATL,,RAM,W 30-28,*,13,22,59.09,147,1,0,94.3,3,19,6.68,7.59,2,21,10.50,0,,,,,,,0,0,1,,0,0,0,0,,Chris Miller,MillCh00
73,69,1992,1992-11-09,9,10,,ATL,,SFO,L 3-41,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
74,70,1992,1992-11-15,10,11,,ATL,,PHO,W 20-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
75,71,1992,1992-11-22,11,12,,ATL,@,BUF,L 14-41,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
76,72,1992,1992-11-29,12,13,,ATL,,NWE,W 34-0,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
77,73,1992,1992-12-03,13,14,,ATL,@,NOR,L 14-22,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
78,74,1992,1992-12-13,14,15,,ATL,@,TAM,W 35-7,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
79,75,1992,1992-12-21,15,16,,ATL,,DAL,L 17-41,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
80,76,1992,1992-12-27,16,17,,ATL,@,RAM,L 27-38,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
81,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Chris Miller,MillCh00
82,77,1993,1993-09-05,1,1,28.027,ATL,@,DET,L 13-30,*,26,50,52.00,260,1,2,57.1,6,44,5.20,3.80,2,11,5.50,0,,,,,,,0,0,2,,0,0,0,0,,Chris Miller,MillCh00
83,78,1993,1993-09-12,2,2,28.034,ATL,,NOR,L 31-34,*,6,15,40.00,85,0,1,31.3,2,18,5.67,2.67,0,0,,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
84,79,1993,1993-09-19,3,3,,ATL,@,SFO,L 30-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Chris Miller,MillCh00
85,80,1993,1993-09-27,4,4,28.049,ATL,,PIT,L 17-45,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
86,81,1993,1993-10-03,5,5,,ATL,@,CHI,L 0-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Miller,MillCh00
87,82,1993,1993-10-14,6,7,,ATL,,RAM,W 30-24,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
88,83,1993,1993-10-24,7,8,,ATL,@,NOR,W 26-15,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
89,84,1993,1993-10-31,8,9,,ATL,,TAM,L 24-31,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
90,85,1993,1993-11-14,9,11,,ATL,@,RAM,W 13-0,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
91,86,1993,1993-11-21,10,12,,ATL,,DAL,W 27-14,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
92,87,1993,1993-11-28,11,13,,ATL,,CLE,W 17-14,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
93,88,1993,1993-12-05,12,14,,ATL,@,HOU,L 17-33,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
94,89,1993,1993-12-11,13,15,,ATL,,SFO,W 27-24,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
95,90,1993,1993-12-19,14,16,,ATL,@,WAS,L 17-30,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
96,91,1993,1993-12-26,15,17,,ATL,@,CIN,L 17-21,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
97,92,1993,1994-01-02,16,18,,ATL,,PHO,L 10-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
98,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Chris Miller,MillCh00
99,93,1994,1994-09-04,1,1,29.026,RAM,,ARI,W 14-12,*,6,16,37.50,131,0,1,41.4,5,29,8.19,5.38,1,-2,-2.00,0,,,,,,,0,0,1,0,0,0,0,0,,Chris Miller,MillCh00
100,94,1994,1994-09-11,2,2,29.033,RAM,@,ATL,L 13-31,*,10,20,50.00,187,1,3,59.8,2,24,9.35,3.60,1,12,12.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
101,95,1994,1994-09-18,3,3,29.040,RAM,,SFO,L 19-34,*,8,19,42.11,86,1,0,73.6,1,10,4.53,5.58,1,9,9.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
102,96,1994,1994-09-25,4,4,,RAM,@,KAN,W 16-0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Miller,MillCh00
103,97,1994,1994-10-02,5,5,,RAM,,ATL,L 5-8,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Miller,MillCh00
104,98,1994,1994-10-09,6,6,29.061,RAM,@,GNB,L 17-24,*,18,29,62.07,166,2,1,86.3,3,19,5.72,5.55,2,-1,-0.50,0,,,,,,,0,0,3,1,0,1,-5,0,,Chris Miller,MillCh00
105,99,1994,1994-10-16,7,7,29.068,RAM,,NYG,W 17-10,*,13,26,50.00,197,2,1,84.9,3,28,7.58,7.38,5,13,2.60,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
106,100,1994,1994-10-23,8,8,29.075,RAM,@,NOR,L 34-37,*,7,11,63.64,88,1,2,79.2,0,0,8.00,1.64,1,10,10.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
107,101,1994,1994-11-06,9,10,29.089,RAM,,DEN,W 27-21,,3,4,75.00,21,0,0,86.5,0,0,5.25,5.25,0,0,,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
108,102,1994,1994-11-13,10,11,29.096,RAM,,RAI,L 17-20,,13,26,50.00,131,1,1,61.5,2,15,5.04,4.08,1,9,9.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
109,103,1994,1994-11-20,11,12,29.103,RAM,@,SFO,L 27-31,*,16,33,48.48,228,2,0,91.5,2,11,6.91,8.12,1,8,8.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
110,104,1994,1994-11-27,12,13,29.110,RAM,@,SDG,L 17-31,*,26,47,55.32,298,2,4,53.3,4,20,6.34,3.36,0,0,,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
111,105,1994,1994-12-04,13,14,29.117,RAM,,NOR,L 15-31,*,17,24,70.83,198,2,0,123.3,3,26,8.25,9.92,4,18,4.50,0,,,,,,,0,0,1,1,0,0,0,0,,Chris Miller,MillCh00
112,106,1994,1994-12-11,14,15,,RAM,@,TAM,L 14-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Chris Miller,MillCh00
113,107,1994,1994-12-18,15,16,29.131,RAM,@,CHI,L 13-27,,9,22,40.91,69,0,0,49.2,1,0,3.14,3.14,1,7,7.00,0,,,,,,,0,0,1,0,0,1,0,0,,Chris Miller,MillCh00
114,108,1994,1994-12-24,16,17,29.137,RAM,,WAS,L 21-24,*,27,40,67.50,304,2,1,96.2,2,11,7.60,7.48,2,17,8.50,0,,,,,,,0,0,1,0,0,1,0,0,,Chris Miller,MillCh00
115,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Chris Miller,MillCh00
116,109,1995,1995-09-03,1,1,30.025,STL,@,GNB,W 17-14,*,19,30,63.33,166,2,0,100.1,5,33,5.53,6.87,3,6,2.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
117,110,1995,1995-09-10,2,2,30.032,STL,,NOR,W 17-13,*,12,31,38.71,188,1,0,70.4,3,17,6.06,6.71,2,-3,-1.50,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
118,111,1995,1995-09-17,3,3,30.039,STL,@,CAR,W 31-10,*,15,26,57.69,225,1,0,99.0,2,20,8.65,9.42,3,21,7.00,0,,,,,,,0,0,1,0,0,1,0,0,,Chris Miller,MillCh00
119,112,1995,1995-09-24,4,4,30.046,STL,,CHI,W 34-28,*,21,31,67.74,231,3,0,121.8,1,9,7.45,9.39,1,13,13.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
120,113,1995,1995-10-01,5,5,30.053,STL,@,IND,L 18-21,*,26,45,57.78,326,2,2,76.7,2,21,7.24,6.13,1,5,5.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
121,114,1995,1995-10-12,6,7,30.064,STL,,ATL,W 21-19,*,27,38,71.05,328,2,1,103.8,1,10,8.63,8.50,2,-3,-1.50,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
122,115,1995,1995-10-22,7,8,30.074,STL,,SFO,L 10-44,*,8,22,36.36,141,0,4,19.5,2,15,6.41,-1.77,2,8,4.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
123,116,1995,1995-10-29,8,9,30.081,STL,@,PHI,L 9-20,*,26,43,60.47,262,1,2,66.2,6,38,6.09,4.47,2,7,3.50,0,,,,,,,0,0,1,1,0,0,0,0,,Chris Miller,MillCh00
124,117,1995,1995-11-05,9,10,30.088,STL,@,NOR,L 10-19,*,12,24,50.00,164,1,1,68.8,2,20,6.83,5.79,1,3,3.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
125,118,1995,1995-11-12,10,11,30.095,STL,,CAR,W 28-17,*,19,32,59.38,216,2,1,87.5,3,25,6.75,6.59,2,5,2.50,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
126,119,1995,1995-11-19,11,12,30.102,STL,@,ATL,L 6-31,*,30,44,68.18,236,1,1,79.4,1,11,5.36,4.80,1,0,0.00,0,,,,,,,0,0,1,1,0,0,-5,0,,Chris Miller,MillCh00
127,120,1995,1995-11-26,12,13,30.109,STL,@,SFO,L 13-41,*,12,24,50.00,70,1,2,35.4,1,2,2.92,0.00,1,5,5.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
128,121,1995,1995-12-03,13,14,30.116,STL,@,NYJ,W 23-20,*,5,15,33.33,70,1,1,43.8,2,23,4.67,3.00,1,0,0.00,0,,,,,,,0,0,1,0,0,1,-1,0,,Chris Miller,MillCh00
129,122,1995,1995-12-10,14,15,,STL,,BUF,L 27-45,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Miller,MillCh00
130,123,1995,1995-12-17,15,16,,STL,,WAS,L 23-35,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
131,124,1995,1995-12-24,16,17,,STL,,MIA,L 22-41,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Chris Miller,MillCh00
132,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Chris Miller,MillCh00
133,125,1999,1999-09-13,1,1,,DEN,,MIA,L 21-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Miller,MillCh00
134,126,1999,1999-09-19,2,2,,DEN,@,KAN,L 10-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Miller,MillCh00
135,127,1999,1999-09-26,3,3,,DEN,@,TAM,L 10-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Miller,MillCh00
136,128,1999,1999-10-03,4,4,,DEN,,NYJ,L 13-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Miller,MillCh00
137,129,1999,1999-10-10,5,5,,DEN,@,OAK,W 16-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Chris Miller,MillCh00
138,130,1999,1999-10-17,6,6,,DEN,,GNB,W 31-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Chris Miller,MillCh00
139,131,1999,1999-10-24,7,7,,DEN,@,NWE,L 23-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Chris Miller,MillCh00
140,132,1999,1999-10-31,8,8,,DEN,,MIN,L 20-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Chris Miller,MillCh00
